revision_id	scope	prior_reading	v53_revision	reason	anchor_consequence	status
R01	global/V49	Vollständige Kartenwerte wurden wie lokale Prosa aneinandergereiht.	Die vollständige Prosa ist nur Ganzfeld-/Ganzartikel-Expansion nach eingefrorener Kartenfolge.	V52 erlaubt nur parataktische Notation und FIELD := NONCLOSE* TERMINAL?.	U bleibt U; Quellenwörter werden nicht zu stillen Kartenglossen.	REPAIRED
R02	global/arguments	<ARG_AIIN> und andere RIGHT-Klassen konnten lokale Ganzkartenwerte erben.	Alle <ARG_...>-Klassen bleiben opak, auch wenn eine gleich geschriebene exakte Ganzkarte ein Merkwort besitzt.	V52 untersagt Merkwortvererbung aus AIIN=MASS? auf <ARG_AIIN>.	Keine verdeckten Maße, Ziele oder Teile in Argumenten.	REPAIRED
R03	global/CLOSE	CLOSE wurde als gesprochenes „beenden“, „lagern“ oder „abkühlen“ ausgegeben.	CLOSE/CLOSE_B3 markiert nur den formalen Feldschluss.	Alle 90 V52-Schlüsse sind positionsgebunden und semantisch nicht isoliert.	Lagerung, Kühlung und Gefäßschluss sind nur kreative Artikelhandlungen.	REPAIRED
R04	global/line	Physische Zeile wurde als Satz oder Klausel behandelt.	Nur das V49-Feld ist die minimale geordnete Einheit; Zeilenumbruch bleibt Reflow.	V19/V52 warnen ausdrücklich vor Zeile=Satz.	Die fünf Artikel werden über 20 Felder, nicht über Schriftzeilen, ediert.	REPAIRED
R05	V49 host OR	OR=ANSATZ mit implizitem Stoffobjekt.	OR=BEREITUNG? als schwaches Ganzhost-Merkwort.	V50 entfernt die historisch irreführende Batch-Spezifik und jedes stille Objekt.	Alle f10r/f55v-OR-Vorkommen bleiben generisch.	REPAIRED
R06	V49 host CHEY	CHEY=ANTEIL bzw. implizites „nimm den Anteil“.	CHEY=TEIL? ohne Imperativ und ohne Objekt.	V50 verlangt das kleinere Merkwort.	Nur dchey und otchey erhalten TEIL?; kchey-artige unbekannte Karten nicht.	REPAIRED
R07	V49 host E	E=BIS als temporale Präposition.	E=UNBEKANNT.	Alle E-Ereignisse sind CLOSE-konfundiert; keine unabhängige Siglenbedeutung.	Keine Bis-Klausel wird aus E erzeugt.	WITHDRAWN
R08	V49 exact EY	EY=FERTIG.	EY=KLAR? als exponiertes schwaches Ganzkarten-Merkwort.	V51 reduziert den lokalen Zustand; nur zwei Rollen befürworten ihn.	f11r shey stützt höchstens KLAR?, nicht Fertigstellung.	REPAIRED
R09	f10r-R1	Laufendes Wasser, gleichmäßiges Stampfen, Rotwein, Magenweh und Trockenlagerung als Kartenbedeutungen.	Diese Einzelzuweisungen werden gestrichen; gebranntes Abiss-Wasser und inneres Geschwür/Stechen werden nur als quellenbasierte Ganzartikel-Wette eingesetzt.	Nahe elsässische Quelle 1. Viertel 15. Jh. ist stärker als V49s freie lokale Prosa.	Atomar bleiben TEIL?, VERWENDEN?, MASS?, VERKNÜPFEN und BEREIT?.	REPAIRED
R10	f10r-R1 owner	Allgemeine skabiosen-/flockenblumenartige Sumpfpflanze.	Teufelsabbiss/Abiss als prüfbarer Hauptbesitzer; Skabiose bleibt Familienrahmen.	V31 und fast zeitgleiche Abiss-Wasser-Quelle konvergieren.	Kein Pflanzenname wird auf eine Karte gelegt.	PROMOTED_WITH_CAVEAT
R11	f10r-R2	Feuchtwiese, Presssaft, Ernte vor Blüte, gleiche Teile und Öl waren tokenweise verteilt.	Diese Inhalte werden nur als zweite freie Abiss-Salbenexpansion behalten.	Ankerfolge bietet BEREIT?, BEREITUNG?, ZUVOR?, VERKNÜPFEN und MASS?, nicht die Stoffe.	Drei Felder bleiben trotz flüssiger Ausgabe semantisch überwiegend U.	DEMOTED_TO_ARTICLE
R12	f11r owner	Wildmöhre/Doldenpflanze und gegrabene Wurzel.	Veilchen als Bildbesitzer; verarbeitet werden Blüten und junge Blätter.	V31-Bildrevision plus konkrete Viola-Wein-/Öl-Analogie; lange Wurzeln bleiben Gegenbefund.	Kein Owner- oder Pflanzenteilwert wird atomar neu vergeben.	REPAIRED
R13	f11r preparation	Pressen der Wurzel, zweifaches Seihen, Schwellungsverband als direkt übersetzte Kartenfolge.	Veilchen in Wein und Öl ist historische Ganzartikel-Expansion; das unbelegte zweite Seihen entfällt.	Hildegard Physica I.103 stützt Wein/Tuch und Öl, nicht die Voynich-Kartenwerte.	Nur KLAR?, MASS?, BEREIT? und CLOSE bleiben ausgewählt.	DEMOTED_TO_ARTICLE
