prior_id	prior_finding	overlay_effect	status	reason
GDT201	Eine f77-Zonenregel über d-/ot-/q- überträgt nicht auf das vergleichbare f83-Panel.	Kein Präfix wird als universelle Bildrolle exportiert.	PRESERVED_CONSTRAINT	Das Overlay bindet ganze Labelvorkommen und Panelbesitzer, keine Anfangszeichen.
GDT260	Die Formfamilie des an f82r.10 befestigten Labels konzentrierte sich explorativ im folgenden Absatz.	f82r.10 bleibt ein lokaler Komponentenanker des mittleren Panels und P2 ist der räumlich nächste Record.	PRESERVED_AS_LOCAL_LEAD	Der Befund wird als Layoutspur, nicht als allgemeine Übersetzung verwendet.
GDT262	Topologieerhaltende Verschiebungen machten den GDT260-Maximumsbefund nicht bestätigend.	Keine Ähnlichkeitsfamilie darf automatisch einen Absatz besitzen.	PRESERVED_CONSTRAINT	Nur exakte ZL3b-Wiederholung erzeugt eine Textkante; Familien bleiben Hypothesen.
GDT263	Ein geordnetes Zwei-Label-zu-Absatz-Gitter scheiterte.	Mehrere Labels werden nicht wortweise auf mehrere Absätze verteilt.	PRESERVED_CONSTRAINT	Der primäre Besitzer ist das gesamte Panel; Unterzuordnung bleibt offen.
GDT389_GDT391	Sichtbare Verbindungen liefern meist keine eindeutigen gerichteten Inschrift-zu-Inschrift-Kanten; lokale Objektbeziehungen sind jedoch beschreibbar.	Das Overlay ist ungerichtet und unterscheidet Nähe, Mehrdeutigkeit und Befestigung.	PRESERVED_AND_USED	Es behauptet weder Pfeilrichtung noch Quelle/Ziel aus der Zeichnung.
GDT585	Bildbedingte Besitzer können gelernte Ganznamen lokal konkretisieren.	Alle 27 Labelloci erhalten einen sichtbaren lokalen Besitzer und eine austauschbare Kennung.	EXTENDED	Die lokale Adresse wird von der Wortbedeutung getrennt.
GDT590	Wortposition in Prosa besitzt keine eindeutige einzelne Bildfigur und darf eine Lesart nicht allein überschreiben.	Prosa bekommt nur einen Panel-/Recordbesitzer; keine Figur wird einem beliebigen Wort durch Nähe zugewiesen.	PRESERVED_CONSTRAINT	Wortebene entsteht nur bei explizitem Label oder exakter Labelwiederholung.
GDT736_GDT737	H1/H2 sind eintragsnäher, H3/H4 intern/spät; semantische Körpercluster übertragen nicht vollständig.	Der Bildbesitzer sitzt oberhalb der bestehenden H-Rollen und ersetzt sie nicht.	PRESERVED_LAYER	Bild und Textstruktur bleiben zwei getrennte Achsen.
GDT741	Lokale Bindung hängt von Feldgrenzen, Nachbarschaft und Host-Geometrie ab.	Exakte Labelwiederholungen werden vorkommenslokal als Referenzkante markiert.	PRESERVED_LAYER	Keine Kante wird in ein freies Stammlexikon exportiert.
GDT764	X daiin ist ein begrenztes Wertfeld; die X-Achse kann offen bleiben.	Der Renderer markiert X→daiin strukturell innerhalb des bildbesessenen Records.	PRESERVED_LAYER	Das Bild bestimmt weder die Einheit noch die Bedeutung von X.
GDT734_PLUS_REPAIRS	Generische Tätigkeitsprosa und alte Pulver-/Samen-/Wurzel-/Holzimporte sind kein belastbarer Volltext.	GDT790 verwendet keinen alten Fließtext, sondern Besitzer plus sichtbare Struktur und offene EVA-Zellen.	RETIRED_RENDER_PATH	Keine erfundene Handlung wird aus dem Bildthema abgeleitet.
