path	sha256	role
transcription/voynich_zl3b_lines.tsv	7520dd4c11f4d23c8492e4b2a52cc0fcbda6d9fc88a96ead8f1c31081a4d7ed2	guarded three-page ZL3b line source
GDT201_F77_ZONE_RENDERER_F83_TRANSFER_REPORT.md	d2c723f70d6239b06161bd139fdaef79f5f34e37dcad6dd404669965e5055471	failed universal f77-to-f83 zone transfer constraint
GDT260_F82R_COMPONENT_PARAGRAPH_NEIGHBORHOOD_REPORT.md	5bd9099a389abe1c7dcbbffa49399e26577eabeb25cfef1c460be352f45ab3ee	f82r attached-label local lead
GDT262_F82R_LABEL_PARAGRAPH_MAXSEARCH_REPORT.md	97f0a3705624fd0f23482ca18792f98907966228f2b8154eb156cd59ad13ca6c	topology-preserving null constraint
GDT263_F80R_TWO_LABEL_PARAGRAPH_ADDRESS_REPORT.md	5c3a7c51b8706a27afaed621035b70e1ef3aff1f6f2102c6e950e9f0f91caa8f	failed ordered label-to-paragraph lattice constraint
experiments/yolo/gdt585_learned_name_compound_atlas/REPORT.md	64c22c0d024fcde4abea03d857fa6db809264b340eaa02f098b7e3c1e8d36a1f	image-conditioned owner-name precedent
experiments/yolo/gdt585_learned_name_compound_atlas/artifacts/gdt585_4_manual_image_cards.tsv	b03cefdef2438c5cd0045ed2923e3ee961b4c5b231273b9140ea5b4daf9faed1	f77r official image provenance and prior manual review
experiments/yolo/gdt590_focused_bath_body_station_adjudication/REPORT.md	4a7e02c40e14295dccae781ecff231c5e1d6032a7a1c4c67cccc68b9a5e88ac5	word-to-figure proximity limit
experiments/yolo/gdt590_focused_bath_body_station_adjudication/sources/gdt590_manual_image_sources.tsv	8eb0d211f4260e4043f13552610042be38a50591fc984291fba5efff3ff7f7d8	f77r and f82r official image provenance
GDT002_F83R_DIRECT_VISUAL_REPORT.md	ce0649f257a3188d22c62477045ba850c4dfc3ebcc9de73e8c51ba6775254e11	f83r direct visual interpretation limit
gdt002_f83r_direct_visual_observations.tsv	9d74ccaed12d55070f4d30debcc4c32b66a7fa8045695441a027b3b20fb684b5	f83r four local label observations and image provenance
experiments/yolo/gdt741_local_attachment_boundary_relay_grammar/REPORT.md	aef79d7c28353e9b701296166e840454475a5b08a491f954b0b190813505523a	local field binding grammar
experiments/yolo/gdt764_bounded_value_field_dispatch/REPORT.md	04a16ba71959c74d1e43090724eb6d3727294f4e788987badd7f756861c56d67	bounded X daiin field grammar
vmanus-exp	53b69eec8412b54d1248fd52d91c06e0eabc7f436b9015d0cfdb0746606c1528	guarded query executable
experiments/yolo/gdt790_panel_owner_image_grammar_overlay/src/PANEL_RECORD_SPECS.tsv	946aea7414b7ce6816585bf7d93ad9203ef71898d48e413b44de96086752fd77	manual panel-to-record bindings
experiments/yolo/gdt790_panel_owner_image_grammar_overlay/src/LABEL_OWNER_SPECS.tsv	2cf36e77b6804b44c242d84b9a8f8a1f2be6aef641dafcdd72e13e0db561c329	manual label-to-component bindings
experiments/yolo/gdt790_panel_owner_image_grammar_overlay/src/IMAGE_SOURCE_SPECS.tsv	c29c9e6f8a951eabba2d22b443d3e078d8ca29912cc154a30f7ed2a63c38215b	three official image URLs and reviewed hashes
experiments/yolo/gdt790_panel_owner_image_grammar_overlay/src/IMAGE_FORM_FAMILY_SPECS.tsv	0ab2799c1b194c395180ca1c074308537e74f447bf6101995620b800d0a1ecb9	five exploratory visual form-family hypotheses
experiments/yolo/gdt790_panel_owner_image_grammar_overlay/src/COMPATIBILITY_SPECS.tsv	4d8ea6f73cb8eb465c515875c5687a5b7182ae0dcc98c83d5f86ec33406bf69e	prior-result compatibility ledger
