event_id	source_position_id	semantic_execution	page	record	statement_id	locus	surface	card_no	component_parse	clause_id	card_clause_type	portable_card_reading_de	occurrence_action_senses_de	occurrence_frame_codes	containing_clause_de	silent_owner_de	complete_default_available
E001	SRC_E001	EXECUTE_ONCE	f10r	H1	H1-S001	f10r.2	dchey	PROC001	CH+E+Y	I001-C01	ACTION_CLAUSE	diesen Posten kurz abziehen	abnehmen	CH:TAKE_OFF	den laufenden Posten kurz abnehmen	abgebildete breit gezähnte radialblütige Pflanze	YES
E002	SRC_E002	EXECUTE_ONCE	f10r	H1	H1-S001	f10r.2	cthoor	PROC002	CTH+O+OR	I001-C02	STATE_OR_GRADE_PHRASE	bereit · Arbeitsgang · Ansatz	NON_ACTION_CONTRIBUTION	NONE	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	abgebildete breit gezähnte radialblütige Pflanze	YES
E003	SRC_E003	EXECUTE_ONCE	f10r	H1	H1-S001	f10r.2	char	PROC003	AR	I001-C02	ARGUMENT_OR_ADDRESS	von dort	NON_ACTION_CONTRIBUTION	NONE	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	abgebildete breit gezähnte radialblütige Pflanze	YES
E004	SRC_E004	EXECUTE_ONCE	f10r	H1	H1-S001	f10r.2	chty	PROC004	T+Y	I001-C02	ACTION_CLAUSE	diesen Posten eintragen	übertragen	T:SOURCE_COPY	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	abgebildete breit gezähnte radialblütige Pflanze	YES
E005	SRC_E005	EXECUTE_ONCE	f10r	H1	H1-S001	f10r.2	os	PROC005	OS	I001-C03	ARGUMENT_OR_ADDRESS	Arbeitsfach	NON_ACTION_CONTRIBUTION	NONE	den laufenden Posten im Lauf ablaufen lassen	abgebildete breit gezähnte radialblütige Pflanze	YES
E006	SRC_E006	EXECUTE_ONCE	f10r	H1	H1-S001	f10r.2	chair	PROC006	CH+AIR	I001-C03	ACTION_CLAUSE	den laufenden Posten durch laufender Bestand abziehen	ablaufen lassen	CH:PATH_DRAW	den laufenden Posten im Lauf ablaufen lassen	abgebildete breit gezähnte radialblütige Pflanze	YES
E007	SRC_E007	EXECUTE_ONCE	f10r	H1	H1-S001	f10r.2	otytchol	PROC007	OT+Y+T+CH+OL	I001-C04	ACTION_CLAUSE	danach fortsetzen diesen Posten eintragen und abziehen	eintragen + abnehmen	T:CONTINUE_ENTRY|CH:TAKE_OFF	danach den laufenden Posten weiter eintragen und abnehmen	abgebildete breit gezähnte radialblütige Pflanze	YES
E008	SRC_E008	EXECUTE_ONCE	f10r	H1	H1-S001	f10r.2	oky	PROC008	OK+Y	I001-C05	ACTION_CLAUSE	diesen Posten ansetzen	einsetzen	OK:ACTIVATE	den laufenden Posten einsetzen	abgebildete breit gezähnte radialblütige Pflanze	YES
E009	SRC_E009	EXECUTE_ONCE	f10r	H1	H1-S001	f10r.2	daiin	PROC009	AIIN	I001-C06	ARGUMENT_OR_ADDRESS	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	NONE	den laufenden Posten nach vorgeschriebenem Maß kurz eintragen	abgebildete breit gezähnte radialblütige Pflanze	YES
E010	SRC_E010	EXECUTE_ONCE	f10r	H1	H1-S001	f10r.2	etyd	PROC010	E+T+Y	I001-C06	ACTION_CLAUSE	diesen Posten kurz eintragen	eintragen	T:MEASURED_ENTRY	den laufenden Posten nach vorgeschriebenem Maß kurz eintragen	abgebildete breit gezähnte radialblütige Pflanze	YES
E011	SRC_E011	EXECUTE_ONCE	f10r	H1	H1-S002	f10r.5	qokchy	PROC011	OK+Y	I001-C07	ACTION_CLAUSE	diesen Posten ansetzen	einsetzen	OK:ACTIVATE	den laufenden Posten einsetzen	abgebildete breit gezähnte radialblütige Pflanze	YES
