unified_rule_no	action_component	frame_code	frame_conditioned_verb_de	trigger	occurrences	narrowed_from_base	source_pass
UA01	CFH	WRING	auswringen	gelernter Fachkern	1	NO	PASS553
UA02	CH	PATH_DRAW	ablaufen lassen	CH plus Lauf/Durchlass	3	YES	PASS552
UA03	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	7	NO	PASS552
UA04	CH	SOURCE_TAKE	entnehmen	CH plus Quelle	1	YES	PASS552
UA05	CH	TAKE_OFF	abnehmen	CH ohne Stoffrahmen	5	YES	PASS552
UA06	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	22	YES	PASS551
UA07	CHD	MEASURED_TRANSFER	abmessen und umsetzen	CHD plus Maß/Portion	6	YES	PASS551
UA08	CHD	PATH_TRANSFER	durchleiten	CHD plus Lauf/Durchlass	2	YES	PASS551
UA09	CHD	TARGET_TRANSFER	umfüllen	CHD plus Ziel	8	YES	PASS551
UA10	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	10	NO	PASS551
UA11	CHK	COMMIT_TEMPER	temperieren	CHK plus Schluss	1	YES	PASS552
UA12	CHK	HOLD_WARM	warm halten	CHK plus Grad	5	YES	PASS552
UA13	CHK	TARGET_WARM	anwärmen	CHK plus Ziel	1	YES	PASS552
UA14	K	ADD	zugeben	K ohne engeren Rahmen	2	YES	PASS551
UA15	K	COMMIT_ADD	zugeben	K plus Schluss	2	YES	PASS551
UA16	K	MATERIAL_ADD	zugeben	K plus Ansatz/Arbeitsgang/Gabe	6	YES	PASS551
UA17	K	MEASURED_ADD	dosiert zugeben	K plus Maß/Portion	7	YES	PASS551
UA18	K	PATH_FEED	einspeisen	K plus Lauf/Durchlass	1	YES	PASS551
UA19	K	TARGET_FEED	zuführen	K plus Ziel	3	NO	PASS551
UA20	L	CLOSED_DRAIN	abführen	L plus Schluss	11	YES	PASS551
UA21	L	GUIDE	führen	L ohne engeren Rahmen	6	NO	PASS551
UA22	L	PATH_GUIDE	durchleiten	L plus Lauf/Durchlass	3	YES	PASS551
UA23	L	SOURCE_DRAIN	ableiten	L plus Quelle	3	YES	PASS551
UA24	L	TARGET_GUIDE	hinleiten	L plus Ziel	4	YES	PASS551
UA25	LD	FASTEN	festbinden	gelernter Fachkern	1	YES	PASS553
UA26	LSH	COMMIT_WASH	durchwaschen	LSH plus Schluss	2	YES	PASS553
UA27	LSH	WASH	waschen	LSH ohne Schluss	1	NO	PASS553
UA28	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	19	YES	PASS551
UA29	OK	FLOW_START	einleiten	OK plus Lauf/Durchlass	3	YES	PASS551
UA30	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	9	YES	PASS551
UA31	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	17	YES	PASS551
UA32	OK	PREPARATION_START	ansetzen	OK plus Ansatz/Arbeitsgang/Gabe	2	NO	PASS551
UA33	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	10	YES	PASS551
UA34	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	19	YES	PASS551
UA35	P	COMMIT_FILL	einfüllen	P plus Schluss	1	YES	PASS553
UA36	P	INSERT	hineingeben	P ohne engeren Rahmen	1	NO	PASS553
UA37	P	TARGET_FILL	einfüllen	P plus Ziel	1	YES	PASS553
UA38	R	COMMIT_COOL	auskühlen lassen	R plus Schluss	1	YES	PASS552
UA39	R	TARGET_COOL	abkühlen lassen	R plus Ziel	5	YES	PASS552
UA40	S	DIVIDE	abteilen	gelernter Fachkern	1	YES	PASS553
UA41	SH	HOLD	halten	SH ohne engeren Rahmen	5	NO	PASS552
UA42	SH	PATH_HOLD	zurückhalten	SH plus Lauf/Durchlass	5	YES	PASS552
UA43	SH	TARGET_HOLD	an Ort halten	SH plus Ziel	1	YES	PASS552
UA44	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	9	NO	PASS552
UA45	SH	TIMED_REST	ruhen lassen	SH plus Grad und Schluss	5	YES	PASS552
UA46	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	12	YES	PASS552
UA47	SHED	TARGET_DEPOSIT	ablagern	SHED plus Ziel	3	YES	PASS552
UA48	SOLK	COLLECT	auffangen	SOLK ohne engeren Rahmen	3	NO	PASS553
UA49	SOLK	COMMIT_COLLECT	auffangen und stehen lassen	SOLK plus Grad und Schluss	3	YES	PASS553
UA50	SOLK	MEASURED_COLLECT	bis zum Maß auffangen	SOLK plus Maß/Portion	1	YES	PASS553
UA51	T	COMMIT_ENTRY	abschließend eintragen	T plus Arbeitsstoff und Schluss	1	YES	PASS553
UA52	T	CONTINUE_ENTRY	eintragen	T in laufender Folge	3	NO	PASS553
UA53	T	MEASURED_ENTRY	eintragen	T plus Maß/Portion	2	NO	PASS553
UA54	T	PROCESS_ENTRY	eintragen	T plus Arbeitsstoff	2	NO	PASS553
UA55	T	SOURCE_COPY	übertragen	T plus Quelle	2	YES	PASS553
UA56	TALAM	STORE	verwahren	gelernter Fachkern	1	NO	PASS553
