card_no	surfaces	component_parse	role_signature	clause_type	portable_component_reading_de	portable_role_reading_de	observed_action_senses_de	observed_action_frame_codes	context_sense_count	context_sensitive	composition_status	occurrences	sections	records	complete_default_available
PROC001	dchey	CH+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	abziehen · kurz · dies	diesen Posten kurz abziehen	abnehmen	CH:TAKE_OFF	1	NO	COMPOSITIONAL	1	HERBAL	H1	YES
PROC002	cthoor	CTH+O+OR	STATE+PROCESS+PREPARATION	STATE_OR_GRADE_PHRASE	bereit · Arbeitsgang · Ansatz	bereit · Arbeitsgang · Ansatz	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	HERBAL	H1	YES
PROC003	char|dar|sar	AR	SOURCE	ARGUMENT_OR_ADDRESS	von dort	von dort	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	5	HERBAL|BIOLOGICAL	H1|H2|B1|B2|B3	YES
PROC004	chety|chty	T+Y	ACTION+ITEM	ACTION_CLAUSE	eintragen · dies	diesen Posten eintragen	eintragen|übertragen	T:PROCESS_ENTRY|T:SOURCE_COPY	2	YES	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H1|B3	YES
PROC005	os	OS	TARGET	ARGUMENT_OR_ADDRESS	Arbeitsfach	Arbeitsfach	NOT_AN_ACTION_CARD	NONE	1	NO	LEARNED_WHOLE_CARD	1	HERBAL	H1	YES
PROC006	chair	CH+AIR	ACTION+PATH_MEDIUM	ACTION_CLAUSE	abziehen · Lauf	den laufenden Posten durch laufender Bestand abziehen	ablaufen lassen	CH:PATH_DRAW	1	NO	COMPOSITIONAL	1	HERBAL	H1	YES
PROC007	otytchol	OT+Y+T+CH+OL	SEQUENCE+ITEM+ACTION+ACTION+SEQUENCE	ACTION_CLAUSE	danach · dies · eintragen · abziehen · fortsetzen	danach fortsetzen diesen Posten eintragen und abziehen	eintragen + abnehmen	CH:TAKE_OFF|T:CONTINUE_ENTRY	1	NO	COMPOSITIONAL	1	HERBAL	H1	YES
PROC008	choky|oky|qoky	OK+Y	ACTION+ITEM	ACTION_CLAUSE	ansetzen · dies	diesen Posten ansetzen	anlegen|einleiten|einsetzen	OK:ACTIVATE|OK:FLOW_START|OK:TARGET_APPLY	3	YES	COMPOSITIONAL	10	HERBAL|BIOLOGICAL	H1|H5|B1|B2|B3|B4	YES
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	QUANTITY	ARGUMENT_OR_ADDRESS	Maß	vorgeschriebenes Maß	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	20	HERBAL|BIOLOGICAL	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	YES
PROC010	etyd	E+T+Y	GRADE+ACTION+ITEM	ACTION_CLAUSE	kurz · eintragen · dies	diesen Posten kurz eintragen	eintragen	T:MEASURED_ENTRY	1	NO	COMPOSITIONAL	1	HERBAL	H1	YES
