card_no	surfaces	surface_count	occurrences	pages	records	component_parse	invariant_spoken_value_de	licensed_frame_codes	surface_class	multiple_surfaces_within_same_page	multiple_surfaces_at_same_statement_position	position_classes	scribe_palette_reading_de	semantic_difference_between_surfaces	universal_surface_rule
PROC001	dchey	1	1	f10r	H1	CH+E+Y	abziehen · kurz · dieser Posten	CH:TAKE_OFF	ONE_OFF_EXEMPLAR_FORM	NO	NO	FIRST	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC002	cthoor	1	1	f10r	H1	CTH+O+OR	bereit · Arbeitsgang · Ansatz	NONE	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC003	char|dar|sar	3	5	f10r|f81v|f82r|f83r	B1|B2|B3|H1|H2	AR	von dort	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC004	chety|chty	2	2	f10r|f83r	B3|H1	T+Y	eintragen · dieser Posten	T:PROCESS_ENTRY|T:SOURCE_COPY	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC005	os	1	1	f10r	H1	OS	Arbeitsfach	NONE	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC006	chair	1	1	f10r	H1	CH+AIR	abziehen · laufender Bestand	CH:PATH_DRAW	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC007	otytchol	1	1	f10r	H1	OT+Y+T+CH+OL	danach · dieser Posten · eintragen · abziehen · fortsetzen	CH:TAKE_OFF|T:CONTINUE_ENTRY	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC008	choky|oky|qoky	3	10	f10r|f56r|f81v|f82r|f83r	B1|B2|B3|B4|H1|H5	OK+Y	ansetzen · dieser Posten	OK:ACTIVATE|OK:FLOW_START|OK:TARGET_APPLY	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE|ONLY	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC009	aiin|chaiin|daiin|saiin|taiin	5	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	AIIN	vorgeschriebenes Maß	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC010	etyd	1	1	f10r	H1	E+T+Y	kurz · eintragen · dieser Posten	T:MEASURED_ENTRY	ONE_OFF_EXEMPLAR_FORM	NO	NO	LAST	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
