card_no	surfaces	surface_count	occurrences	pages	records	component_parse	invariant_spoken_value_de	licensed_frame_codes	surface_class	multiple_surfaces_within_same_page	multiple_surfaces_at_same_statement_position	position_classes	scribe_palette_reading_de	semantic_difference_between_surfaces	universal_surface_rule
PROC003	char|dar|sar	3	5	f10r|f81v|f82r|f83r	B1|B2|B3|H1|H2	AR	von dort	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC004	chety|chty	2	2	f10r|f83r	B3|H1	T+Y	eintragen · dieser Posten	T:PROCESS_ENTRY|T:SOURCE_COPY	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC008	choky|oky|qoky	3	10	f10r|f56r|f81v|f82r|f83r	B1|B2|B3|B4|H1|H5	OK+Y	ansetzen · dieser Posten	OK:ACTIVATE|OK:FLOW_START|OK:TARGET_APPLY	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE|ONLY	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC009	aiin|chaiin|daiin|saiin|taiin	5	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	AIIN	vorgeschriebenes Maß	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC011	chokchy|okchy|qokchy	3	3	f10r|f56r	H1|H5	OK+Y	ansetzen · dieser Posten	OK:ACTIVATE|OK:PREPARATION_START	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC013	cheol|chol|ol|qol|sol|tol	6	19	f10r|f81v|f83r	B1|B3|B4|B5|B6|H1|H2	OL	fortsetzen	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC014	checthy|cthy|shcthy	3	7	f10r|f11r|f83r	B3|H1|H2|H3	CTH+Y	bereit · dieser Posten	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC016	chor|or|shor|sor	4	7	f10r|f55v|f83r	B3|B4|H2|H4	OR	Ansatz	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC019	chey|chy|dy|shy|sy|y	6	18	f10r|f11r|f55v|f81v|f82r|f83r	B1|B2|B3|B4|B6|H2|H3|H4	Y	dieser Posten	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC020	otchor|qotchor	2	2	f10r|f56r	H2|H5	OT+CH+OR	danach · abziehen · Ansatz	CH:PREPARATION_DRAW	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC022	cholor|olor	2	2	f10r|f81v	B1|H2	OL+OR	fortsetzen · Ansatz	NONE	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC031	cheey|shey	2	4	f11r|f82r|f83r	B2|B4|H3	SH+EE+Y	halten · länger · dieser Posten	SH:TIMED_HOLD	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC034	dchol|schol	2	2	f11r|f56r	H3|H5	OL	fortsetzen	NONE	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC038	okaiin|qokaiin	2	9	f55v|f81v|f82r|f83r	B1|B2|B3|H4	OK+AIIN	ansetzen · vorgeschriebenes Maß	OK:FLOW_START|OK:MEASURED_CHARGE	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC042	chdy|chedy	2	11	f55v|f81v|f83r	B1|B3|B4|B5|H4	CHD+Y	umsetzen · dieser Posten	CHD:MEASURED_TRANSFER|CHD:TRANSFER	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
