surface	card_no	component_parse	invariant_spoken_value_de	events	pages	records	statement_positions	writing_instruction_de	meaning_change
dchey	PROC001	CH+E+Y	abziehen · kurz · dieser Posten	1	f10r	H1	FIRST	diese feste Kartenform aus dem Exemplar kopieren	NONE
cthoor	PROC002	CTH+O+OR	bereit · Arbeitsgang · Ansatz	1	f10r	H1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
char	PROC003	AR	von dort	2	f10r|f82r	B2|H1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
dar	PROC003	AR	von dort	2	f10r|f83r	B3|H2	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
sar	PROC003	AR	von dort	1	f81v	B1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
chety	PROC004	T+Y	eintragen · dieser Posten	1	f83r	B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
chty	PROC004	T+Y	eintragen · dieser Posten	1	f10r	H1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
os	PROC005	OS	Arbeitsfach	1	f10r	H1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chair	PROC006	CH+AIR	abziehen · laufender Bestand	1	f10r	H1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
otytchol	PROC007	OT+Y+T+CH+OL	danach · dieser Posten · eintragen · abziehen · fortsetzen	1	f10r	H1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
choky	PROC008	OK+Y	ansetzen · dieser Posten	2	f56r	H5	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
oky	PROC008	OK+Y	ansetzen · dieser Posten	1	f10r	H1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qoky	PROC008	OK+Y	ansetzen · dieser Posten	7	f81v|f82r|f83r	B1|B2|B3|B4	MIDDLE|ONLY	diese Form als zugelassene Variante derselben Karte kopieren	NONE
aiin	PROC009	AIIN	vorgeschriebenes Maß	3	f55v|f82r|f83r	B2|B5|H4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
chaiin	PROC009	AIIN	vorgeschriebenes Maß	1	f55v	H4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
daiin	PROC009	AIIN	vorgeschriebenes Maß	11	f10r|f11r|f55v|f56r|f81v|f82r|f83r	B1|B2|B3|B6|H1|H2|H3|H4|H5	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
saiin	PROC009	AIIN	vorgeschriebenes Maß	4	f83r	B3|B4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
taiin	PROC009	AIIN	vorgeschriebenes Maß	1	f10r	H2	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
etyd	PROC010	E+T+Y	kurz · eintragen · dieser Posten	1	f10r	H1	LAST	diese feste Kartenform aus dem Exemplar kopieren	NONE
chokchy	PROC011	OK+Y	ansetzen · dieser Posten	1	f56r	H5	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
okchy	PROC011	OK+Y	ansetzen · dieser Posten	1	f56r	H5	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qokchy	PROC011	OK+Y	ansetzen · dieser Posten	1	f10r	H1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qotchol	PROC012	OT+CH+OL	danach · abziehen · fortsetzen	1	f10r	H1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
cheol	PROC013	OL	fortsetzen	1	f83r	B5	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
chol	PROC013	OL	fortsetzen	3	f10r	H1|H2	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
ol	PROC013	OL	fortsetzen	8	f81v|f83r	B1|B6	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qol	PROC013	OL	fortsetzen	3	f81v	B1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
sol	PROC013	OL	fortsetzen	3	f83r	B3|B4|B5	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
tol	PROC013	OL	fortsetzen	1	f83r	B4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
checthy	PROC014	CTH+Y	bereit · dieser Posten	2	f83r	B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
cthy	PROC014	CTH+Y	bereit · dieser Posten	3	f10r|f11r	H1|H2|H3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
shcthy	PROC014	CTH+Y	bereit · dieser Posten	2	f83r	B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
ycheor	PROC015	Y+CH+E+OR	dieser Posten · abziehen · kurz · Ansatz	1	f10r	H2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chor	PROC016	OR	Ansatz	3	f10r	H2	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
or	PROC016	OR	Ansatz	2	f55v|f83r	B4|H4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
shor	PROC016	OR	Ansatz	1	f10r	H2	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
sor	PROC016	OR	Ansatz	1	f83r	B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
cthaiin	PROC017	CTH+AIIN	bereit · vorgeschriebenes Maß	1	f10r	H2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qoctholy	PROC018	O+CTH+OL+Y	Arbeitsgang · bereit · fortsetzen · dieser Posten	1	f10r	H2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chey	PROC019	Y	dieser Posten	7	f81v|f82r|f83r	B1|B2|B3|B4|B6	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
chy	PROC019	Y	dieser Posten	3	f10r|f11r	H2|H3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
dy	PROC019	Y	dieser Posten	5	f10r|f11r|f82r	B2|H2|H3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
shy	PROC019	Y	dieser Posten	1	f10r	H2	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
sy	PROC019	Y	dieser Posten	1	f83r	B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
y	PROC019	Y	dieser Posten	1	f55v	H4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
otchor	PROC020	OT+CH+OR	danach · abziehen · Ansatz	1	f56r	H5	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qotchor	PROC020	OT+CH+OR	danach · abziehen · Ansatz	1	f10r	H2	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
otol	PROC021	OT+OL	danach · fortsetzen	1	f10r	H2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
cholor	PROC022	OL+OR	fortsetzen · Ansatz	1	f10r	H2	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
olor	PROC022	OL+OR	fortsetzen · Ansatz	1	f81v	B1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
oykchor	PROC023	O+Y+K+OR	Arbeitsgang · dieser Posten · zuführen · Ansatz	1	f10r	H2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
kaiiin	PROC024	K+IIN	zuführen · Sollstufe	1	f10r	H2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chodaiin	PROC025	CH+O+AIIN	abziehen · Arbeitsgang · vorgeschriebenes Maß	1	f10r	H2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
tshol	PROC026	T+SH+OL	eintragen · halten · fortsetzen	1	f11r	H3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
schoal	PROC027	SH+O+AL	halten · Arbeitsgang · bezeichnete Stelle	1	f11r	H3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
cfhy	PROC028	CFH+Y	auswringen · dieser Posten	1	f11r	H3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
shfydaiin	PROC029	SH+Y+AIIN	halten · dieser Posten · vorgeschriebenes Maß	1	f11r	H3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
cphy	PROC030	P+Y	hineingeben · dieser Posten	1	f11r	H3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
cheey	PROC031	SH+EE+Y	halten · länger · dieser Posten	2	f82r	B2	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
shey	PROC031	SH+EE+Y	halten · länger · dieser Posten	2	f11r|f83r	B4|H3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
tchody	PROC032	T+CH+O+DY	eintragen · abziehen · Arbeitsgang · Schluss	1	f11r	H3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
shoyty	PROC033	SH+O+Y+T+Y	halten · Arbeitsgang · dieser Posten · eintragen · dieser Posten	1	f11r	H3	ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
dchol	PROC034	OL	fortsetzen	1	f11r	H3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
schol	PROC034	OL	fortsetzen	1	f56r	H5	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
kchy	PROC035	K+Y	zuführen · dieser Posten	1	f11r	H3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qotchy	PROC036	OT+Y	danach · dieser Posten	1	f11r	H3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
okchol	PROC037	OK+OL	ansetzen · fortsetzen	1	f11r	H3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
okaiin	PROC038	OK+AIIN	ansetzen · vorgeschriebenes Maß	1	f81v	B1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qokaiin	PROC038	OK+AIIN	ansetzen · vorgeschriebenes Maß	8	f55v|f82r|f83r	B2|B3|H4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
ykain	PROC039	Y+K+AIN	dieser Posten · zuführen · Portion	1	f55v	H4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
ykan	PROC040	Y+K+AIN	dieser Posten · zuführen · Portion	1	f55v	H4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
ody	PROC041	O+DY	Arbeitsgang · Schluss	1	f55v	H4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chdy	PROC042	CHD+Y	umsetzen · dieser Posten	1	f83r	B4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
chedy	PROC042	CHD+Y	umsetzen · dieser Posten	10	f55v|f81v|f83r	B1|B3|B4|B5|H4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
talam	PROC043	TALAM	verwahren	1	f55v	H4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
ykaiin	PROC044	Y+K+AIIN	dieser Posten · zuführen · vorgeschriebenes Maß	1	f55v	H4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
cheoar	PROC045	CH+E+O+AR	abziehen · kurz · Arbeitsgang · von dort	1	f55v	H4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
cheeky	PROC046	CHK+EE+Y	wärmen · länger · dieser Posten	2	f55v|f83r	B4|H4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
oldy	PROC047	OL+DY	fortsetzen · Schluss	2	f55v|f83r	B4|H4	MIDDLE|ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
okal	PROC048	OK+AL	ansetzen · bezeichnete Stelle	2	f55v|f81v	B1|H4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qokal	PROC048	OK+AL	ansetzen · bezeichnete Stelle	4	f81v|f82r|f83r	B1|B2|B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
oltchy	PROC049	OL+T+Y	fortsetzen · eintragen · dieser Posten	1	f55v	H4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
orain	PROC050	OR+AIN	Ansatz · Portion	1	f55v	H4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chochor	PROC051	HO+CH+OR	Gabe · abziehen · Ansatz	1	f56r	H5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
cho	PROC052	HO	Gabe	2	f56r	H5	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
sho	PROC052	HO	Gabe	2	f56r	H5	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
chodaly	PROC053	HO+AL+Y	Gabe · bezeichnete Stelle · dieser Posten	1	f56r	H5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
kchol	PROC054	K+OL	zuführen · fortsetzen	1	f56r	H5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
al	PROC055	AL	bezeichnete Stelle	1	f81v	B1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
chal	PROC055	AL	bezeichnete Stelle	1	f81v	B1	ONLY	diese Form als zugelassene Variante derselben Karte kopieren	NONE
cheal	PROC055	AL	bezeichnete Stelle	1	f82r	B2	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
dal	PROC055	AL	bezeichnete Stelle	5	f56r|f83r	B3|B4|B5|H5	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
sal	PROC055	AL	bezeichnete Stelle	1	f81v	B1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
tal	PROC055	AL	bezeichnete Stelle	1	f83r	B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
choy	PROC056	HO+Y	Gabe · dieser Posten	1	f56r	H5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
cheeckhody	PROC057	CH+EE+CKH+O+DY	abziehen · länger · Durchlass · Arbeitsgang · Schluss	1	f56r	H5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
sh	PROC058	SH	halten	1	f56r	H5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
kchey	PROC059	K+E+Y	zuführen · kurz · dieser Posten	1	f56r	H5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qokokchy	PROC060	OK+OK+Y	ansetzen · ansetzen · dieser Posten	1	f56r	H5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chokcheo	PROC061	OK+CH+E+O	ansetzen · abziehen · kurz · Arbeitsgang	1	f56r	H5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
kchal	PROC062	K+AL	zuführen · bezeichnete Stelle	1	f56r	H5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
kchoar	PROC063	K+HO+AR	zuführen · Gabe · von dort	1	f56r	H5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
sotodan	PROC064	OT+O+AIN	danach · Arbeitsgang · Portion	1	f56r	H5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
otchey	PROC065	OT+Y	danach · dieser Posten	2	f56r|f83r	B4|H5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
keol	PROC066	K+E+OL	zuführen · kurz · fortsetzen	1	f56r	H5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qokedy	PROC067	OK+E+DY	ansetzen · kurz · Schluss	8	f81v|f83r	B1|B3|B4	MIDDLE|ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
kair	PROC068	K+AIR	zuführen · laufender Bestand	1	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chkain	PROC069	K+AIN	zuführen · Portion	1	f83r	B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
