noun_de	license	use_rule
Pflanze	PICTURE_OWNER	silent subject supplied once by each pictured-plant record
Posten	Y_COMPONENT	current-item referent
Ansatz	OR_COMPONENT	active preparation or batch
Maß	AIIN_COMPONENT	measure
Sollstufe	IIN_COMPONENT	target stage
Stelle	AL_COMPONENT	target place
Quelle	AR_COMPONENT	source
Wasser	AIR_COMPONENT	water
Durchlass	CKH_COMPONENT	passage
Zutat	HO_HERBAL_COMPONENT	ingredient
Auszug	CHEO_HERBAL_COMPONENT	extract
Klarauszug	TRANSFERRED_WHOLE_CARD	portable learned card
Gefäß	OS_HERBAL_WHOLE_CARD	memorized container card
Portion	AIN_COMPONENT	portion
Arbeitsgang	O_FRAME	active operation
