group_serial	diagram_id	page	locus	event_index	opaque_local_id	surface	visible_owner	local_namespace	transfer_status	exact_prose_joint_tuple_id	selected_component_parse	candidate_workshop_value_de	parse_alternatives	owner_and_namespace_preserved	cross_instrument_join	previous_candidate_value_de	atomic_common_root_value_de	common_root_revision	ambiguity_resolution_rule	label_frame_resolution_rule	address_core_resolution_rule	nomenclator_resolution	previous_atomic_value_de	common_action_revision	celestial_context_reading_de	quantity_root	quantity_kind	pass480_celestial_reading_de	pass480_quantity_revision
1	A1	f67r2	f67r2.1	1	A1:G001	ykshy	A1_RIGHT_SECTOR_SLOT_01	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+K+Y	dies + zufuehren + dies	NONE	YES	NONE	dies + zufuehren + dies	dies + zufuehren + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + dies	NO	dieser Eintrag; zuordnen; dieser Eintrag	NONE	NONE	dieser Eintrag; zuordnen; dieser Eintrag	NO
2	A1	f67r2	f67r2.1	2	A1:G002	s	A1_RIGHT_SECTOR_SLOT_01	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	Sternbezug	NO	Sternbezug	NONE	NONE	Sternbezug	NO
3	A1	f67r2	f67r2.1	3	A1:G003	aram	A1_RIGHT_SECTOR_SLOT_01	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	AR+AM_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	von dort + Gegenfeld	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	von dort + Gegenfeld	NO	von dieser Position; Gegenfeld	NONE	NONE	von dieser Position; Gegenfeld	NO
4	A1	f67r2	f67r2.2	1	A1:G004	ykecho	A1_RIGHT_SECTOR_SLOT_02	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+K+E+HO	dies + zufuehren + kurz + Zutat	NONE	YES	NONE	dies + zufuehren + kurz + Zutat	dies + zufuehren + kurz + Gabe	YES	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + kurz + Gabe	NO	dieser Eintrag; zuordnen; kurze Stufe; Eintrag	NONE	NONE	dieser Eintrag; zuordnen; kurze Stufe; Eintrag	NO
5	A1	f67r2	f67r2.2	2	A1:G005	ols	A1_RIGHT_SECTOR_SLOT_02	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+LS	Arbeitsgang + abfuehren	NONE	YES	NONE	Arbeitsgang + abfuehren	Arbeitsgang + hinausfuehren	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Arbeitsgang + abfuehren	YES	Lesegang; aus dem Bereich hinausfuehren	NONE	NONE	Lesegang; aus dem Bereich hinausfuehren	NO
6	A1	f67r2	f67r2.2	3	A1:G006	eesydy	A1_RIGHT_SECTOR_SLOT_02	A67_RIGHT_CELESTIAL_WHEEL	POSITION_RESOLVED_COMPONENT_SEQUENCE	NONE	EE+Y+DY	ASTRO_LOCAL_LABEL_PENDING_CHOICE	EE+Y+DY || EE+Y+Y	YES	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	laenger + dies + Schluss	NO	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	laenger + dies + Schluss	NO	lange Stufe; dieser Eintrag; Eintrag schliessen	NONE	NONE	lange Stufe; dieser Eintrag; Eintrag schliessen	NO
7	A1	f67r2	f67r2.3	1	A1:G007	ey	A1_RIGHT_SECTOR_SLOT_03	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	E+Y	kurz + dies	NONE	YES	NONE	kurz + dies	kurz + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	kurz + dies	NO	kurze Stufe; dieser Eintrag	NONE	NONE	kurze Stufe; dieser Eintrag	NO
8	A1	f67r2	f67r2.3	2	A1:G008	shs	A1_RIGHT_SECTOR_SLOT_03	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	SH+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	halten + Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	halten + Sternbezug	NO	beibehalten; Sternbezug	NONE	NONE	beibehalten; Sternbezug	NO
9	A1	f67r2	f67r2.3	3	A1:G009	okar	A1_RIGHT_SECTOR_SLOT_03	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	OK+AR	ansetzen + von dort	NONE	YES	NONE	ansetzen + von dort	ansetzen + von dort	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	ansetzen + von dort	NO	markieren; von dieser Position	NONE	NONE	markieren; von dieser Position	NO
10	A1	f67r2	f67r2.4	1	A1:G010	shekchy	A1_RIGHT_SECTOR_SLOT_04	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	SH+E+K+Y	halten + kurz + zufuehren + dies	NONE	YES	NONE	halten + kurz + zufuehren + dies	halten + kurz + zufuehren + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	halten + kurz + zufuehren + dies	NO	beibehalten; kurze Stufe; zuordnen; dieser Eintrag	NONE	NONE	beibehalten; kurze Stufe; zuordnen; dieser Eintrag	NO
