statement_id	register	record_unit_id	page	events	event_ids	quantity_roots	quantity_revised_statement_de
H1-S001	HERBAL	H1	f10r	10	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	AIIN	Pflanzenmaterial kurz abziehen; Ansatz bereit; aus dem laufenden Pflanzenansatz; den laufenden Pflanzenansatz füllen; ARBEITSFACH; Wasser abziehen; danach Arbeitsflüssigkeit füllen und weiter abziehen; verwende abgezogene Flüssigkeitsfraktion; Sollmaß; abgezogene Flüssigkeitsfraktion kurz füllen.
H1-S002	HERBAL	H1	f10r	4	E011|E012|E013|E014	NONE	abgezogene Flüssigkeitsfraktion ansetzen; danach weiter abziehen; fortsetzen; bereit.
H2-S001	HERBAL	H2	f10r	9	E015|E016|E017|E018|E019|E020|E021|E022|E023	AIIN	diesen Ansatz kurz abziehen; bereit; Ansatz; auf Sollmaß bereitstellen; laufender Pflanzenansatz bereit weiterführen; laufender Pflanzenansatz; laufender Pflanzenansatz; Sollmaß; laufender Pflanzenansatz.
H2-S002	HERBAL	H2	f10r	8	E024|E025|E026|E027|E028|E029|E030|E031	AIIN	danach Ansatz abziehen; Ansatz; danach fortsetzen; fortsetzen; weiterer Ansatz; fortsetzen; Sollmaß; aus dem laufenden Pflanzenansatz.
H2-S003	HERBAL	H2	f10r	7	E032|E033|E034|E035|E036|E037|E038	IIN|AIIN	laufender Pflanzenansatz dem Ansatz zuführen; Ansatz; Ansatz; laufender Pflanzenansatz; bis zur Sollstufe zuführen; laufender Pflanzenansatz; auf Sollmaß abziehen.
H3-S001	HERBAL	H3	f11r	7	E039|E040|E041|E042|E043|E044|E045	AIIN	weiter gefüllt halten; an der Stelle halten; auswringen; Pflanzenmaterial bis zum Sollmaß halten; Pflanzenmaterial hineinführen; EMPFANGSBESTAND; füllen und abziehen; Schluss.
H3-S002	HERBAL	H3	f11r	1	E046	NONE	Fraktion des Empfangsbestands halten und füllen.
H3-S003	HERBAL	H3	f11r	5	E047|E048|E049|E050|E051	AIIN	fortsetzen; Fraktion des Empfangsbestands; Fraktion des Empfangsbestands zuführen; Fraktion des Empfangsbestands; Sollmaß.
H3-S004	HERBAL	H3	f11r	4	E052|E053|E054|E055	NONE	nächster Posten; weiter ansetzen; bereit; nächster Arbeitsposten.
H4-S001	HERBAL	H4	f55v	5	E056|E057|E058|E059|E060	AIIN|AIN	Sollmaß setzen; Sollmaß; eine Stoffportion davon zuführen; eine Stoffportion davon zuführen; Arbeitsgang abschließen.
H4-S002	HERBAL	H4	f55v	3	E061|E062|E063	AIIN	Sollmaß; zweite Teilportion vom Pflanzenmaterial umsetzen; verwahren.
H4-S003	HERBAL	H4	f55v	4	E064|E065|E066|E067	AIIN	zweite Teilportion vom Pflanzenmaterial auf Sollmaß zuführen; Auszug aus der Quelle; zweite Teilportion vom Pflanzenmaterial länger wärmen; fortsetzen; Schluss.
H4-S004	HERBAL	H4	f55v	6	E068|E069|E070|E071|E072|E073	AIIN|AIN	Sollmaß; an die Stelle setzen; zweite Teilportion vom Pflanzenmaterial weiter füllen; Ansatz; laufender Pflanzenansatz; Stoffportion des Ansatzes.
H5-S001	HERBAL	H5	f56r	9	E074|E075|E076|E077|E078|E079|E080|E081|E082	AIIN	Zutat aus dem Ansatz abziehen; Zutat; diese Zutat an die Stelle; Sollmaß; Zutat; weiter zuführen; danach Ansatz abziehen; verwende den laufenden Pflanzenansatz; Stelle.
H5-S002	HERBAL	H5	f56r	4	E083|E084|E085|E086	NONE	fortsetzen; diese Zutat; verwende Zugabe; länger durch den Durchlass; Schluss.
H5-S003	HERBAL	H5	f56r	4	E087|E088|E089|E090	NONE	halten; Zutat; Zugabe kurz zuführen; Zugabe erneut ansetzen.
H5-S004	HERBAL	H5	f56r	3	E091|E092|E093	NONE	Zugabe ansetzen; Auszug ansetzen; an die Stelle zuführen.
H5-S005	HERBAL	H5	f56r	4	E094|E095|E096|E097	AIN	Zutat; Zugabe ansetzen; Zutat aus dem Vorrat zuführen; danach eine Stoffportion.
H5-S006	HERBAL	H5	f56r	3	E098|E099|E100	AIIN	nächster Posten; kurz weiter zuführen; Sollmaß.
B1-S001	BIOLOGICAL	B1	f81v	1	E101	NONE	kurz ansetzen; Schluss.
