occurrence_id	template_id	phase_pattern	register	record_unit_id	page	statement_id	run_start	event_ids	concrete_referent_de	template_sentence_de	actual_span_de	selected_in_greedy_edition	quantity_kinds	quantity_specific_sentence_de	pass480_actual_span_de
O001	M05	MEASURE>HOLD	HERBAL	H1	f10r	H1-S001	7	E009|E010	abgezogene Flüssigkeitsfraktion	Setze für den Posten „abgezogene Flüssigkeitsfraktion“ Menge oder Stufe und halte ihn wie angegeben.	Maß; abgezogene Flüssigkeitsfraktion kurz füllen	NO	SOLLMASS	Setze für „abgezogene Flüssigkeitsfraktion“ das vorgeschriebene Sollmaß und halte den Posten wie angegeben.	Sollmaß; abgezogene Flüssigkeitsfraktion kurz füllen
O002	M09	APPLY>MEASURE	HERBAL	H1	f10r	H1-S001	6	E008|E009	abgezogene Flüssigkeitsfraktion	Setze den Posten „abgezogene Flüssigkeitsfraktion“ an der Zielstelle an und bestimme Menge oder Dauer.	verwende abgezogene Flüssigkeitsfraktion; Maß	YES	SOLLMASS	Setze „abgezogene Flüssigkeitsfraktion“ an der Zielstelle an und bestimme das vorgeschriebene Sollmaß.	verwende abgezogene Flüssigkeitsfraktion; Sollmaß
O003	M04	MEASURE>MOVE	HERBAL	H2	f10r	H2-S001	7	E022|E023	laufender Pflanzenansatz	Nimm vom Posten „laufender Pflanzenansatz“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	Maß; laufender Pflanzenansatz	NO	SOLLMASS	Nimm von „laufender Pflanzenansatz“ das vorgeschriebene Sollmaß und führe den bestimmten Teil zur bezeichneten Stelle.	Sollmaß; laufender Pflanzenansatz
O004	M06	MOVE>MEASURE	HERBAL	H2	f10r	H2-S001	6	E020|E021|E022	laufender Pflanzenansatz	Führe den Posten „laufender Pflanzenansatz“ zur Stelle und setze dort Menge oder Stufe.	laufender Pflanzenansatz; laufender Pflanzenansatz; Maß	YES	SOLLMASS	Führe „laufender Pflanzenansatz“ zur Stelle und setze dort das vorgeschriebene Sollmaß.	laufender Pflanzenansatz; laufender Pflanzenansatz; Sollmaß
O005	M08	PREPARE>MEASURE	HERBAL	H2	f10r	H2-S001	3	E017|E018	laufender Pflanzenansatz	Bereite den Posten „laufender Pflanzenansatz“ und setze dafür Menge oder Stufe.	Ansatz; auf Maß bereitstellen	YES	SOLLMASS	Bereite „laufender Pflanzenansatz“ und setze dafür das vorgeschriebene Sollmaß.	Ansatz; auf Sollmaß bereitstellen
O006	M01	PREPARE>MEASURE>MOVE	HERBAL	H2	f10r	H2-S002	4	E027|E028|E029|E030|E031	laufender Pflanzenansatz	Bereite den Posten „laufender Pflanzenansatz“ vor, setze die angegebene Menge oder Stufe und führe ihn zur bezeichneten Stelle.	fortsetzen; weiterer Ansatz; fortsetzen; Maß; aus dem laufenden Pflanzenansatz	YES	SOLLMASS	Bereite den Posten „laufender Pflanzenansatz“ vor, setze das vorgeschriebene Sollmaß und führe ihn zur bezeichneten Stelle.	fortsetzen; weiterer Ansatz; fortsetzen; Sollmaß; aus dem laufenden Pflanzenansatz
O007	M04	MEASURE>MOVE	HERBAL	H2	f10r	H2-S002	5	E030|E031	laufender Pflanzenansatz	Nimm vom Posten „laufender Pflanzenansatz“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	Maß; aus dem laufenden Pflanzenansatz	NO	SOLLMASS	Nimm von „laufender Pflanzenansatz“ das vorgeschriebene Sollmaß und führe den bestimmten Teil zur bezeichneten Stelle.	Sollmaß; aus dem laufenden Pflanzenansatz
O008	M08	PREPARE>MEASURE	HERBAL	H2	f10r	H2-S002	4	E027|E028|E029|E030	laufender Pflanzenansatz	Bereite den Posten „laufender Pflanzenansatz“ und setze dafür Menge oder Stufe.	fortsetzen; weiterer Ansatz; fortsetzen; Maß	YES	SOLLMASS	Bereite „laufender Pflanzenansatz“ und setze dafür das vorgeschriebene Sollmaß.	fortsetzen; weiterer Ansatz; fortsetzen; Sollmaß
O009	M02	MEASURE>MOVE>MEASURE	HERBAL	H2	f10r	H2-S003	4	E036|E037|E038	laufender Pflanzenansatz	Setze für den Posten „laufender Pflanzenansatz“ das erste Maß, bewege ihn und setze am Ziel das nächste Maß.	bis zur Sollstufe zuführen; laufender Pflanzenansatz; auf Maß abziehen	YES	SOLLSTUFE|SOLLMASS	Setze für „laufender Pflanzenansatz“ zuerst die Kombination aus Sollstufe und Sollmaß, bewege den Posten und setze am Ziel den nächsten Wert.	bis zur Sollstufe zuführen; laufender Pflanzenansatz; auf Sollmaß abziehen
O010	M03	MOVE>PREPARE>MOVE	HERBAL	H2	f10r	H2-S003	1	E032|E033|E034|E035	laufender Pflanzenansatz	Führe den Posten „laufender Pflanzenansatz“ zur Arbeitsstelle, bearbeite ihn dort und führe ihn weiter.	laufender Pflanzenansatz dem Ansatz zuführen; Ansatz; Ansatz; laufender Pflanzenansatz	YES	NONE	Führe „laufender Pflanzenansatz“ zur Arbeitsstelle, bearbeite den Posten dort und führe ihn weiter.	laufender Pflanzenansatz dem Ansatz zuführen; Ansatz; Ansatz; laufender Pflanzenansatz
