card_no	joint_tuple_id	surfaces	events	event_ids	registers	records	component_parse	small_value_de	lexicon_class	rule_source	pass458_note	exact_selection_layer	exact_selection_rule	wet_context_value_de	common_root_revision	previous_atomic_value_de	common_action_revision	template_slot_value_de	pass478_decision	pass478_reason	pass479_previous_value_de	pass479_value_de	pass479_revision	quantity_root	quantity_kind	pass480_value_de	pass480_revision
PROC001	65f320e75510b2f38182	dchey	1	E001	HERBAL	H1	CH+E+Y	dies kurz entnehmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	dies kurz abziehen	NO	dies kurz abziehen	YES	dies kurz abziehen	UNCHANGED_COMPOSITION	already built from productive components	dies kurz abziehen	dies kurz abziehen	NO	NONE	NONE	dies kurz abziehen	NO
PROC002	dedc383b600397a301ee	cthoor	1	E002	HERBAL	H1	CTH+O+OR	Ansatz bereit	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	Ansatz bereit	NO	Ansatz bereit	NO	Ansatz bereit	UNCHANGED_COMPOSITION	already built from productive components	Ansatz bereit	Ansatz bereit	NO	NONE	NONE	Ansatz bereit	NO
PROC003	4d4559019a961b834aa1	char|dar|sar	5	E003|E031|E105|E199|E238	BIOLOGICAL|HERBAL	B1|B2|B3|H1|H2	AR	von dort	PRODUCTIVE_COMPOSITION	PASS458_WHOLE_REDUCTION	all surfaces are wrappers around PAGE_HOST AR; same/source is anaphoric AR	UNIQUE_VALUE	write only card with this value	von dort	NO	von dort	NO	von dort	UNCHANGED_COMPOSITION	already built from productive components	von dort	von dort	NO	NONE	NONE	von dort	NO
PROC004	80ebbbbf238eee9f0aef	chety|chty	2	E004|E311	BIOLOGICAL|HERBAL	B3|H1	T+Y	dies eintragen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies fuellen	YES	dies eintragen	NO	dies fuellen	UNCHANGED_COMPOSITION	already built from productive components	dies fuellen	dies fuellen	NO	NONE	NONE	dies fuellen	NO
PROC005	df1098831679a8ad1b39	os	1	E005	HERBAL	H1	OS	Fach	MEMORIZED_WHOLE_CARD	HERBAL_WHOLE_CARD	unchanged	UNIQUE_VALUE	write only card with this value	Gefäß	YES	Fach	NO	ARBEITSFACH	REVISE	single slot between MOVE and COLLECT; use the shared OS=FACH value rather than guessed vessel	ARBEITSFACH	ARBEITSFACH	NO	NONE	NONE	ARBEITSFACH	NO
PROC006	12efe866f335461823a6	chair	1	E006	HERBAL	H1	CH+AIR	Lauf entnehmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	Wasser abziehen	YES	Lauf abziehen	YES	Wasser abziehen	UNCHANGED_COMPOSITION	already built from productive components	Wasser abziehen	Wasser abziehen	NO	NONE	NONE	Wasser abziehen	NO
PROC007	62ff059766b21c7de083	otytchol	1	E007	HERBAL	H1	OT+Y+T+CH+OL	danach dies eintragen und weiter entnehmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	danach dies fuellen und weiter abziehen	YES	danach dies eintragen und weiter abziehen	YES	danach dies fuellen und weiter abziehen	UNCHANGED_COMPOSITION	already built from productive components	danach dies fuellen und weiter abziehen	danach dies fuellen und weiter abziehen	NO	NONE	NONE	danach dies fuellen und weiter abziehen	NO
PROC008	276a7c2d74d1143446f4	choky|oky|qoky	10	E008|E081|E085|E140|E188|E195|E247|E251|E298|E323	BIOLOGICAL|HERBAL	B1|B2|B3|B4|H1|H5	OK+Y	verwende dies	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	verwende dies	NO	verwende dies	NO	verwende dies	UNCHANGED_COMPOSITION	already built from productive components	verwende dies	verwende dies	NO	NONE	NONE	verwende dies	NO
PROC009	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	E009|E022|E030|E051|E057|E061|E068|E077|E100|E116|E118|E207|E217|E233|E274|E299|E332|E338|E369|E377	BIOLOGICAL|HERBAL	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	AIIN	Mass	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Mass	NO	Mass	NO	Mass	UNCHANGED_COMPOSITION	already built from productive components	Mass	Mass	NO	AIIN	SOLLMASS	Mass	YES
PROC010	a6939862e33ece5a0483	etyd	1	E010	HERBAL	H1	E+T+Y	dies kurz eintragen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	RECORD_RENDERER	ETYD in H1; YTEY in B1	dies kurz fuellen	YES	dies kurz eintragen	NO	dies kurz fuellen	UNCHANGED_COMPOSITION	already built from productive components	dies kurz fuellen	dies kurz fuellen	NO	NONE	NONE	dies kurz fuellen	NO
