unit_order	unit_id	page	domain	statements_or_loci	groups	continuous_quantity_revised_de
1	H1	f10r	HERBAL	2	14	Pflanzenmaterial kurz abziehen; Ansatz bereit; aus dem laufenden Pflanzenansatz; den laufenden Pflanzenansatz füllen; ARBEITSFACH; Wasser abziehen; danach Arbeitsflüssigkeit füllen und weiter abziehen; verwende abgezogene Flüssigkeitsfraktion; Sollmaß; abgezogene Flüssigkeitsfraktion kurz füllen. abgezogene Flüssigkeitsfraktion ansetzen; danach weiter abziehen; fortsetzen; bereit.
2	H2	f10r	HERBAL	3	24	diesen Ansatz kurz abziehen; bereit; Ansatz; auf Sollmaß bereitstellen; laufender Pflanzenansatz bereit weiterführen; laufender Pflanzenansatz; laufender Pflanzenansatz; Sollmaß; laufender Pflanzenansatz. danach Ansatz abziehen; Ansatz; danach fortsetzen; fortsetzen; weiterer Ansatz; fortsetzen; Sollmaß; aus dem laufenden Pflanzenansatz. laufender Pflanzenansatz dem Ansatz zuführen; Ansatz; Ansatz; laufender Pflanzenansatz; bis zur Sollstufe zuführen; laufender Pflanzenansatz; auf Sollmaß abziehen.
3	H3	f11r	HERBAL	4	17	weiter gefüllt halten; an der Stelle halten; auswringen; Pflanzenmaterial bis zum Sollmaß halten; Pflanzenmaterial hineinführen; EMPFANGSBESTAND; füllen und abziehen; Schluss. Fraktion des Empfangsbestands halten und füllen. fortsetzen; Fraktion des Empfangsbestands; Fraktion des Empfangsbestands zuführen; Fraktion des Empfangsbestands; Sollmaß. nächster Posten; weiter ansetzen; bereit; nächster Arbeitsposten.
4	H4	f55v	HERBAL	4	18	Sollmaß setzen; Sollmaß; eine Stoffportion davon zuführen; eine Stoffportion davon zuführen; Arbeitsgang abschließen. Sollmaß; zweite Teilportion vom Pflanzenmaterial umsetzen; verwahren. zweite Teilportion vom Pflanzenmaterial auf Sollmaß zuführen; Auszug aus der Quelle; zweite Teilportion vom Pflanzenmaterial länger wärmen; fortsetzen; Schluss. Sollmaß; an die Stelle setzen; zweite Teilportion vom Pflanzenmaterial weiter füllen; Ansatz; laufender Pflanzenansatz; Stoffportion des Ansatzes.
5	H5	f56r	HERBAL	6	27	Zutat aus dem Ansatz abziehen; Zutat; diese Zutat an die Stelle; Sollmaß; Zutat; weiter zuführen; danach Ansatz abziehen; verwende den laufenden Pflanzenansatz; Stelle. fortsetzen; diese Zutat; verwende Zugabe; länger durch den Durchlass; Schluss. halten; Zutat; Zugabe kurz zuführen; Zugabe erneut ansetzen. Zugabe ansetzen; Auszug ansetzen; an die Stelle zuführen. Zutat; Zugabe ansetzen; Zutat aus dem Vorrat zuführen; danach eine Stoffportion. nächster Posten; kurz weiter zuführen; Sollmaß.
6	B1	f81v	BIOLOGICAL	21	66	kurz ansetzen; Schluss. Sollmaß setzen; Wasser zuführen; an die Stelle setzen; aus der Arbeitsflüssigkeit; fortsetzen; eine Stoffportion; weitere Stoffportion; Stelle; fortsetzen; weiter abkühlen; weiterführen; weiterer Ansatz; fortsetzen; kurz an der Durchlassstelle; Sollmaß; länger an der Stelle halten; Sollmaß; durchführen; umsetzen; Schluss. fortsetzen; gebuendelt umsetzen; Schluss. laufender Stationsansatz umsetzen; fortsetzen; absetzen; Schluss. weiterführen; Schluss. eine Stoffportion zugeben; durchführen; weiterführen; an der Stelle abkühlen. Ansatz umsetzen; Schluss. laufender Stationsansatz; fortsetzen; kurz wärmen; fortsetzen; absetzen; Schluss. kurz ansetzen; Schluss. kurz ansetzen; Schluss. durchführen; verwende den laufenden Stationsansatz. Waschgang; kurz ansetzen; Waschgang; Schluss. Waschgang; Schluss. laufender Stationsansatz umsetzen; laufender Stationsansatz auffangen; zum Auslass führen; fortsetzen; danach von aufgefangener Bestand des laufender Stationsansatz. aufgefangener Bestand des laufender Stationsansatz kurz füllen; Ansatz umsetzen; Schluss. an die Stelle setzen; länger ansetzen; fortsetzen; absetzen; Schluss. Stelle; kurz fortsetzen; umsetzen; Schluss. laufender Stationsansatz führen; kurz halten; Sollstufe; länger auffangen; Schluss. absetzen; Schluss. kurz wärmen; seihen; Schluss. Stelle.
7	B2	f82r	BIOLOGICAL	22	62	umsetzen; Schluss. weiterführen; Schluss. eine Stoffportion zugeben; Teilportion von obere Beckenflüssigkeit; länger ansetzen; Schluss. an die Stelle setzen; Teilportion von obere Beckenflüssigkeit zum Durchlass führen; hinausführen; länger ansetzen; hinaus seihen; Schluss. Teilportion von obere Beckenflüssigkeit an die Stelle setzen; Auffang-Sollmaß; durchführen; Sollmaß setzen; Sollmaß setzen; kurz bereit fortsetzen; Teilportion von obere Beckenflüssigkeit länger wärmen; abführen; Schluss. nächsten Posten länger halten; an die Stelle setzen; Teilportion von obere Beckenflüssigkeit kurz im Durchlass halten; verwende Teilportion von obere Beckenflüssigkeit. kurz halten; Schluss. nächstes Sollmaß; von Flüssigkeit am Zwischenknoten einsetzen; absetzen; Schluss. mit dem Vorigen kurz absetzen; Schluss. länger ansetzen; verwende Flüssigkeit am Zwischenknoten; abführen; EMPFANGSBESTAND. eine Stoffportion zugeben; von Teilportion des Postens der Einzelstation; eine Stoffportion zugeben; länger ansetzen; Schluss. zweite Teilportion des Postens der Einzelstation abziehen; EMPFANGSBESTAND; Empfangsbestand kurz bereithalten; länger ansetzen; Empfangsbestand länger abziehen; Sollmaß; Fraktion des Empfangsbestands; vollständig ansetzen; Schluss. hinausführen; Schluss. von Fraktion des Empfangsbestands abführen. Flüssigkeit am Beckenrand kurz halten; länger ansetzen; Schluss. Stelle; von Flüssigkeit am Beckenrand hinausführen; teilen; Sollmaß; nächsten Posten länger halten; Sollmaß setzen; kurz ansetzen; hineinführen; Schluss. an der Stelle kurz abkühlen; an der Stelle schließen. länger ansetzen; Schluss. abkühlen und absetzen; Schluss. nächsten Schritt länger halten; Schluss. länger ansetzen; Schluss. weiter hinausführen; Schluss.
8	B3	f83r	BIOLOGICAL	34	86	länger auffangen; Schluss. Folgestelle; länger wärmen; Schluss. aufgefangener Bestand des Gut der Fächerstation; Sollmaß; aufgefangener Bestand des Gut der Fächerstation; hinausführen; Schluss. Sollmaß setzen; Folgestelle; von aufgefangener Bestand des Gut der Fächerstation. umsetzen; Schluss. Gefäßflüssigkeit umsetzen; an die Stelle setzen; weiterführen; Schluss. Sollmaß setzen; Gefäßflüssigkeit umsetzen; länger ansetzen; Schluss. hinausführen; Schluss. verwende Gefäßflüssigkeit. an der Stelle hineinführen; kurzer Folgeschritt; Schluss. Gut im Korbgefäß kurz bereit umsetzen; verwende Gut im Korbgefäß; Gut im Korbgefäß umsetzen; Gut im Korbgefäß aus der Quelle nehmen. Ansatz; absetzen; Schluss. Sollmaß setzen; eine Stoffportion; Teilportion aus dem laufenden Stationsansatz kurz bereithalten; kurz ansetzen; Schluss. Wasser in Gang setzen; länger absetzen; Schluss. hinausführen; Schluss. hinausführen; Ansatz umsetzen; Schluss. länger ansetzen; Schluss. absetzen; Schluss. kurz absetzen; Schluss. Stelle; hinausführen; Schluss. Sollmaß setzen; bereit; Stelle; laufender Stationsansatz; Sollmaß; an der Stelle absetzen; laufender Stationsansatz kurz bereit halten; laufender Stationsansatz; Stelle; bereit; an der Stelle überführen; Schluss. danach umsetzen; Schluss. hinausführen; Schluss. umsetzen; Schluss. Ansatz umsetzen; Schluss. länger aus der Quelle führen; Abführ-Sollmaß; laufender Stationsansatz umsetzen; eine Stoffportion zugeben; bereit; Ansatz an der Stelle abkühlen; länger auffangen; Schluss. nächsten Schritt länger halten; Schluss. länger ansetzen; kurz ansetzen; Schluss. fortsetzen; aufgefangener Bestand des Flüssigkeit des Hauptpaares vollständig füllen; kurz ansetzen; Schluss. verwende aufgefangener Bestand des Flüssigkeit des Hauptpaares; Sollmaß; Wasser weiterführen; danach umsetzen; Schluss. länger ansetzen; Schluss. eine Stoffportion überführen; Teilportion aus der Arbeitsflüssigkeit umsetzen; kurzes Folge-Sollmaß; nächstes Sollmaß; kurzer Folgeschritt; Schluss. abführen; Schluss. Sollstufe; bereit; Teilportion aus der Arbeitsflüssigkeit füllen; nächstes Sollmaß; Teilportion aus der Arbeitsflüssigkeit an der Stelle fortsetzen; absetzen; Schluss.
9	B4	f83r	BIOLOGICAL	16	47	länger ansetzen; Schluss. Flüssigkeit des Hauptpaares weiterführen; länger ansetzen; kurz ansetzen; Schluss. Flüssigkeit des Hauptpaares umsetzen; Folgestelle; nächster Posten; länger ansetzen; verwende nächster Arbeitsposten; fortsetzen; absetzen; Schluss. nächster Arbeitsposten befestigen; Schluss. Stoffportion; Teilportion von nächster Arbeitsposten umsetzen; länger ansetzen; Schluss. seihen; Schluss. seihen; Schluss. Sollmaß; Teilportion von nächster Arbeitsposten länger wärmen; Teilportion von nächster Arbeitsposten länger halten; kurz ansetzen; Schluss. absetzen; Schluss. fortsetzen; Schluss. Sollmaß; kurz wärmen; länger fortsetzen; eine Stoffportion zugeben; Teilportion von Gut der Randstation umsetzen; fortsetzen; kurz abführen; Schluss. hinausführen; Schluss. Fortsetzung einsetzen; absetzen; Schluss. Ansatz; laufender Stationsansatz; laufender Stationsansatz kurz durchführen; Wasserlauf schließen. eine Stoffportion zugeben; EMPFANGSBESTAND; eine Stoffportion; Durchlassstelle; kurz auffangen; hinausführen; Schluss. weitere Stoffportion; Stelle; aus dem Vorrat zuführen; absetzen; Schluss.
10	B5	f83r	BIOLOGICAL	3	11	danach umsetzen; Schluss. Ansatz umsetzen; Schluss. an der Stelle absetzen; Stelle; fortsetzen; weiterführen; an der Stelle umsetzen; Sollmaß; fortsetzen; zweite Stufe; laufender Stationsansatz umsetzen.
