token_order	field	grammar_slot	source_step	source_instruction_de	master_card_id	surface	dictionary_value_de	on_24_card_shortlist	in_previous_25_card_palette	surface_is_registered	observed_finality_rule	field_final	decoded_step_de
1	1	G1	LOAD_BATCH	Ansatz aufnehmen	MC080	chor	Ansatz	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	Ansatz aufnehmen
2	1	G1	TAKE_FROM_IT	davon nehmen	MC055	char	davon	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	davon nehmen
3	1	G2	MEASURE	bemessen	MC120	okaiin	bemessen	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	bemessen
4	1	G1	ADD_SUPPLEMENT	Zusatz bereitstellen	MC012	dl	Zusatz	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	Zusatz bereitstellen
5	1	G2	ADD_OTHER_INGREDIENT	weitere Zutat zugeben	MC034	cho	weitere Zutat	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	weitere Zutat zugeben
6	1	G3	PREPARE_SHORT	kurz vorbereiten	MC073	qcthey	kurz vorbereiten	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	kurz vorbereiten
7	1	G4	CONTINUE	weiterarbeiten	MC153	cheol	weiter	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	YES	weiterarbeiten
8	2	G2	SELECT_THIS	diesen Posten aufnehmen	MC123	chey	dies	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	diesen Posten aufnehmen
9	2	G3	WORK_LONGER	laenger bearbeiten	MC032	cheeky	länger bearbeiten	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	laenger bearbeiten
10	2	G5	SETTLE_AT_TARGET	am Ziel absetzen	MC113	shedal	am Ziel absetzen	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	am Ziel absetzen
11	2	G6	SETTLE_CLOSE	kurz absetzen und schliessen	MC128	cheedy	kurz absetzen; Schluss	YES	NO	YES	ALWAYS_FIELD_FINAL	YES	kurz absetzen und schliessen
12	3	G1	LOAD_FOLLOW_BATCH	Folgeansatz aufnehmen	MC013	otchor	Folgeansatz	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	Folgeansatz aufnehmen
13	3	G2	ADD_PORTION	einen Anteil zugeben	MC017	okain	Anteil zugeben	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	einen Anteil zugeben
14	3	G3	SET_WORK_STAGE	Arbeitsstufe setzen	MC033	oiiin	Arbeitsstufe	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	Arbeitsstufe setzen
15	3	G5	TARGET_TRANSFER	zum Ziel ueberfuehren	MC001	chdal	Zieltransfer	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	zum Ziel ueberfuehren
16	3	G4	TRANSFER_CLOSE	ueberfuehren und schliessen	MC025	dchedy	überführen; Schluss	YES	NO	YES	ALWAYS_FIELD_FINAL	YES	ueberfuehren und schliessen
17	4	G2	SELECT_THIS_AGAIN	diesen Posten aufnehmen	MC123	chey	dies	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	diesen Posten aufnehmen
18	4	G4	LONG_CONTACT	lange einwirken lassen	MC002	okeey	lange einwirken	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	lange einwirken lassen
19	4	G5	TARGET_TRANSFER_AGAIN	zum Ziel ueberfuehren	MC001	chdal	Zieltransfer	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	zum Ziel ueberfuehren
20	4	G4	DRAIN_CLOSE	abfuehren und schliessen	MC155	lchedy	abführen; Schluss	YES	NO	YES	ALWAYS_FIELD_FINAL	YES	abfuehren und schliessen
21	5	G1	LOAD_NEXT_BATCH	Folgeansatz aufnehmen	MC013	otchor	Folgeansatz	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	Folgeansatz aufnehmen
22	5	G2	ADD_OTHER_INGREDIENT_AGAIN	weitere Zutat zugeben	MC034	cho	weitere Zutat	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	weitere Zutat zugeben
23	5	G3	PREPARE_SHORT_AGAIN	kurz vorbereiten	MC073	qcthey	kurz vorbereiten	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	kurz vorbereiten
24	5	G5	COLLECT_LONG	lange sammeln	MC020	solkeey	Langsammlung	YES	NO	YES	NOT_OBSERVED_AS_CLOSE	NO	lange sammeln
25	5	G6	DRAW_OFF_CLOSE	abziehen und schliessen	MC004	ldy	abziehen; Schluss	YES	NO	YES	ALWAYS_FIELD_FINAL	YES	abziehen und schliessen
