representation_id	representation_key	held_physical_folio	target_source_selector	target_template_id	target_locus	target_surface	target_a_member	training_event_count	training_physical_folios	training_templates	training_a_members	training_surfaces	any_training_exact_a	any_training_within_one_a	circular_mean_predicted_a	circular_mean_distance	same_template_training_events	same_template_any_exact_a	same_template_any_within_one_a	interpretation_ceiling
BOUNDARY_FAMILY	AQABA	f70	f70v1	T15	f70v1.13	okoly	1	2	f72	T30	13|21	okaly|okaly	NO	NO	17	14	0	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABAG	f70	f70v1	T15	f70v1.14	otalaiin	2	1	f71	T15	3	otalaiin	NO	YES	3	1	1	NO	YES	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABAB	f70	f70v1	T15	f70v1.5	okalal	9	2	f72	T15|T30	9|25	okalam|otolam	YES	YES	2	7	1	YES	YES	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABA	f70	f70v1	T15	f70v1.6	otaly	10	2	f72	T30	13|21	okaly|okaly	NO	NO	17	7	0	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABLA	f70	f70v1	T15	f70v1.9	okolshy	13	1	f72	T30	4	otalshy	NO	NO	4	9	0	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABA	f70	f70v2	T30	f70v2.12	okody	21	2	f72	T30	13|21	okaly|okaly	YES	YES	17	4	2	YES	YES	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABA	f70	f70v2	T30	f70v2.15	otaly	24	2	f72	T30	13|21	okaly|okaly	NO	NO	17	7	2	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABBA	f70	f70v2	T30	f70v2.17	otaldy	26	1	f72	T30	5	okaldy	NO	NO	5	9	1	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABA	f70	f70v2	T30	f70v2.19	okydy	28	2	f72	T30	13|21	okaly|okaly	NO	NO	17	11	2	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQACAB	f70	f70v2	T30	f70v2.23	otar al	2	1	f72	T30	28	okaram	NO	NO	28	4	1	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABAC	f70	f70v2	T30	f70v2.24	otalar	3	2	f71|f72	T15|T30	8|11	okolar|okalar	NO	NO	10	7	1	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABAB	f70	f70v2	T30	f70v2.25	otalam	4	2	f72	T15|T30	9|25	okalam|otolam	NO	NO	2	2	1	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQACAB	f70	f70v2	T30	f70v2.27	okaram	6	1	f72	T30	28	okaram	NO	NO	28	8	1	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABAG	f70	f70v2	T30	f70v2.31	ykolaiin	10	1	f71	T15	3	otalaiin	NO	NO	3	7	0	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABA	f70	f70v2	T30	f70v2.8	okala	17	2	f72	T30	13|21	okaly|okaly	NO	NO	17	0	2	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABA	f70	f70v2	T30	f70v2.9	otody	18	2	f72	T30	13|21	okaly|okaly	NO	NO	17	1	2	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABAG	f71	f71v	T15	f71v.15	otalaiin	3	2	f70	T15|T30	2|10	otalaiin|ykolaiin	NO	YES	6	3	1	NO	YES	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABAC	f71	f71v	T15	f71v.4	okolar	8	2	f70|f72	T30	3|11	otalar|okalar	NO	NO	7	1	0	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABAB	f72	f72r1	T15	f72r1.5	okalam	9	2	f70	T15|T30	9|4	okalal|otalam	YES	YES	6	3	1	YES	YES	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABA	f72	f72r2	T30	f72r2.10	okaly	13	7	f70	T15|T30	1|10|21|24|28|17|18	okoly|otaly|okody|otaly|okydy|okala|otody	NO	NO	22	9	5	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABA	f72	f72r2	T30	f72r2.18	okaly	21	7	f70	T15|T30	1|10|21|24|28|17|18	okoly|otaly|okody|otaly|okydy|okala|otody	YES	YES	22	1	5	YES	YES	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABAB	f72	f72r2	T30	f72r2.21	otolam	25	2	f70	T15|T30	9|4	okalal|otalam	NO	NO	6	11	1	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABLA	f72	f72r2	T30	f72r2.26	otalshy	4	1	f70	T15	13	okolshy	NO	NO	13	9	0	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABBA	f72	f72r2	T30	f72r2.27	okaldy	5	1	f70	T30	26	otaldy	NO	NO	26	9	1	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQACAB	f72	f72r2	T30	f72r2.3	okaram	28	2	f70	T30	2|6	otar al|okaram	NO	NO	4	6	2	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
BOUNDARY_FAMILY	AQABAC	f72	f72r2	T30	f72r2.8	okalar	11	2	f70|f71	T15|T30	3|8	otalar|okolar	NO	NO	6	5	1	NO	NO	COMPLETE_FORMAL_SIGNATURE_POSITION_DIAGNOSTIC_ONLY
