family_atlas_ordinal	template_id	template_period	physical_folio	source_selector	array_id	locus	slot_index	slot_count	kluge_a_member	complete_label_surface	label_token_count	zl_boundary_family	it_boundary_family	rf_boundary_family	zl_member_sequence	it_member_sequence	rf_member_sequence	member_sequence_max_support	member_sequence_agreement	canonical_boundary_family	canonical_compact_family	boundary_reader_support	compact_reader_support	boundary_supporting_editions	compact_supporting_editions	agreement_class	zl_group_count	it_group_count	rf_group_count	transferred_prefix	strict_residual	zl_alternative_sites	it_alternative_sites	rf_alternative_sites	zl_nearest_eva	it_nearest_eva	rf_nearest_eva	source_family_semantics	component_export_credit
1	T15	15	f70	f70v1	SCARR020|f70v1|S2	f70v1.11	10	10	15	otal ypsharal	2	AQAB|APLACAB	AQAB|APLACAB	AQAB|APLACAB	A1.Q2.A3.B2|A2.P1.L1.A3.C1.A3.B2	A1.Q2.A1.B2|A2.P1.L1.A3.C1.A3.B2	A1.Q2.Aa.B2|A2.P1.L1.A3.C1.A3.B2	1	MEMBER_SEQUENCE_ALL_DIFFERENT	AQAB|APLACAB	AQABAPLACAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	2	2	2	AQAB	|APLACAB	0	0	0	otal ypsharal	otol ypsharal	otal ypsharal	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
2	T15	15	f70	f70v1	SCARR021|f70v1|S1	f70v1.13	1	5	1	okoly	1	AQABA	AQABA	AQABA	A1.Q1.A1.B2.A2	A1.Q1.A1.B2.A2	A1.Q1.A1.B2.A2	3	ALL3_MEMBER_SEQUENCE	AQABA	AQABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	A	0	0	0	okoly	okoly	okoly	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
3	T15	15	f70	f70v1	SCARR021|f70v1|S1	f70v1.14	2	5	2	otalaiin	1	AQABAG	AQABAG	AQABAG	A1.Q2.A3.B2.A3.G1	A1.Q2.A1.B2.A3.G1	A1.Q2.A3.B2.A3.G1	2	MEMBER_SEQUENCE_2OF3	AQABAG	AQABAG	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	AG	0	0	0	otalaiin	otolaiin	otalaiin	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
4	T15	15	f70	f70v1	SCARR021|f70v1|S1	f70v1.15	3	5	3	oteo alals araly	3	AQJA|ABABC|ACABA	AQJA|ABABC|ACABA	AQJA|ABABC|ACABA	A1.Q2.J1.A1|A3.B2.A3.B2.C2|A3.C1.A3.B2.A2	A1.Q2.J1.A1|A3.B2.A1.B2.C2|A3.C2.A3.B2.A2	A1.Q2.J1.A1|A3.B2.A1.B2.C2|A3.C1.A3.B2.A2	1	MEMBER_SEQUENCE_ALL_DIFFERENT	AQJA|ABABC|ACABA	AQJAABABCACABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	3	3	3	NONE	AQJA|ABABC|ACABA	0	0	0	oteo alals araly	oteo alols asaly	oteo alols araly	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
5	T15	15	f70	f70v1	SCARR021|f70v1|S1	f70v1.16	4	5	4	oteoeey otal okealar	3	AQJAKA|AQAB|AQJABAC	AQJAKA|AQAB|AQJAB|AC	AQJAKA|AQAB|AQJABAC	A1.Q2.J1.A1.K2.A2|A1.Q2.A3.B2|A1.Q1.J1.A3.B2.A3.C1	A1.Q2.J1.A1.K2.A2|A1.Q2.A3.B2|A1.Q1.J1.A3.B2|A3.C1	A1.Q2.J1.A1.K2.A2|A1.Q2.A3.B2|A1.Q1.J1.A3.B2.A3.C1	2	MEMBER_SEQUENCE_2OF3	AQJAKA|AQAB|AQJABAC	AQJAKAAQABAQJABAC	2	3	RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_FAMILY__BOUNDARY_2OF3	3	4	3	NONE	AQJAKA|AQAB|AQJABAC	0	0	0	oteoeey otal okealar	oteoeey otal okeal ar	oteoeey otal okealar	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
6	T15	15	f70	f70v1	SCARR021|f70v1|S1	f70v1.17	5	5	5	otear araydy	2	AQJAC|ACAABA	AQJAC|ACAABA	AQJAC|ACAABA	A1.Q2.J1.A3.C1|A3.C1.A3.A2.B1.A2	A1.Q2.J1.A3.C2|A3.C1.A3.A2.B1.A2	A1.Q2.J1.A3.C1|A3.C1.A3.A2.B1.A2	2	MEMBER_SEQUENCE_2OF3	AQJAC|ACAABA	AQJACACAABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	2	2	2	NONE	AQJAC|ACAABA	0	0	0	otear araydy	oteas araydy	otear araydy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
7	T15	15	f70	f70v1	SCARR020|f70v1|S2	f70v1.2	1	10	6	otalchy tar am dy	4	AQABKA|QAC|AB|BA	AQABKA|QAC|AB|BA	AQABKA|QAC|AB|BA	A1.Q2.A3.B2.K1.A2|Q2.A3.C1|A3.B3|B1.A2	A1.Q2.A3.B2.K1.A2|Q2.A3.C1|A3.B3|B1.A2	A1.Q2.A3.B2.K1.A2|Q2.A3.C1|A3.B3|Ba.A2	2	MEMBER_SEQUENCE_2OF3	AQABKA|QAC|AB|BA	AQABKAQACABBA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	4	4	4	AQAB	KA|QAC|AB|BA	0	0	0	otalchy tar am dy	otalchy tar am dy	otalchy tar am dy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
8	T15	15	f70	f70v1	SCARR020|f70v1|S2	f70v1.3	2	10	7	opchey sal	2	APKJA|CAB	APKJA|CAB	APKJA|CAB	A1.P1.K1.J1.A2|C2.A3.B2	A1.P1.K1.J1.A2|C2.A3.B2	A1.P1.K1.J1.A2|C2.A3.B2	3	ALL3_MEMBER_SEQUENCE	APKJA|CAB	APKJACAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	2	2	2	APK	JA|CAB	0	0	0	opchey sal	opchey sal	opchey sal	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
9	T15	15	f70	f70v1	SCARR020|f70v1|S2	f70v1.4	3	10	8	otakaizan	1	AQAQAEBAE	AQAQAEBAE	AQAQAEBAE	A1.Q2.A3.Q1.A3.E1.B6.A3.E2	A1.Q2.A1.Q1.A3.E1.B3.A3.E2	A1.Q2.A3.Q1.A3.E1.B3.A3.E2	1	MEMBER_SEQUENCE_ALL_DIFFERENT	AQAQAEBAE	AQAQAEBAE	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQA	QAEBAE	0	0	0	otakaizan	otokaiman	otakaiman	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
10	T15	15	f70	f70v1	SCARR020|f70v1|S2	f70v1.5	4	10	9	okalal	1	AQABAB	AQABAB	AQABAB	A1.Q1.A3.B2.A3.B2	A1.Q1.A3.B2.A3.B2	A1.Q1.A3.B2.A3.B2	3	ALL3_MEMBER_SEQUENCE	AQABAB	AQABAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	AB	0	0	0	okalal	okalal	okalal	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
