canonical_boundary_family	occurrence_count	distinct_surface_count	complete_label_surfaces	physical_folio_count	physical_folios	template_ids	a_members	distinct_a_count	cross_folio_same_a_members	cross_folio_same_a_family_pair_count	same_a_exact_zl_member_pair_count	working_default_de	confidence	evidence	counterevidence	renderer_license	component_export_credit	confirmed_lexeme
AQAB	6	5	okal|okam|okyd|otal|otam	1	f72	T30	1|3|7|12|14|24	6	NONE	0	0	f72-gebundene kurze graphische Bezeichnungsklasse	C0_PAGE_BOUND_GRAPHICAL_CLASS	6 Belege; 1 physische Folios; A=1|3|7|12|14|24	sechs Belege an sechs A-Positionen und kein zweites Folio	NO_SEMANTIC_RENDERER_LICENSE	ZERO	NO
AQABA	9	7	okala|okaly|okody|okoly|okydy|otaly|otody	2	f70|f72	T15|T30	1|10|13|17|18|21|21|24|28	8	21	1	0	breite graphische Bezeichnungsklasse; einzelne Mitgliedsbedeutung offen	C0_GRAPHICAL_CLASS_ONLY	9 Belege; 2 physische Folios; A=1|10|13|17|18|21|21|24|28	neun Belege an acht A-Positionen; keine eindeutige Stelle	NO_SEMANTIC_RENDERER_LICENSE	ZERO	NO
AQABAB	4	4	okalal|okalam|otalam|otolam	2	f70|f72	T15|T30	4|9|9|25	3	9	1	0	im T15-Kontext Bezeichnung der Stelle 09A / des vierten äußeren Ringplatzes	C1_CONTEXTUAL_T15_POSITION	4 Belege; 2 physische Folios; A=4|9|9|25	außerhalb T15 auch 04A und 25A; kein universeller Neuner-Code	CONTEXTUAL_CIRCLE_CARD_ONLY	ZERO	NO
AQABAC	3	3	okalar|okolar|otalar	3	f70|f71|f72	T15|T30	3|8|11	3	NONE	0	0	wandernde vollständige Formklasse an 03A/08A/11A	C0_MULTI_POSITION_CLASS	3 Belege; 3 physische Folios; A=3|8|11	drei Folios, aber keine gemeinsame oder benachbarte A-Stelle	NO_SEMANTIC_RENDERER_LICENSE	ZERO	NO
AQABAG	3	2	otalaiin|ykolaiin	2	f70|f71	T15|T30	2|3|10	3	NONE	0	0	im T15-Kontext frühe innere Mitgliedsstelle 02-03A	C0_CONTEXTUAL_T15_WINDOW	3 Belege; 2 physische Folios; A=2|3|10	im T30-Kontext auch 10A; nur zwei positive physische Folios	CONTEXTUAL_CIRCLE_CARD_ONLY	ZERO	NO
AQABBA	2	2	okaldy|otaldy	2	f70|f72	T30	5|26	2	NONE	0	0	T30-Gegenbereichspaar 26A/05A	C0_OPPOSITION_RIVAL	2 Belege; 2 physische Folios; A=5|26	nur zwei Belege; keine absolute Mitgliedsstelle	NO_SEMANTIC_RENDERER_LICENSE	ZERO	NO
AQABLA	2	2	okolshy|otalshy	2	f70|f72	T15|T30	4|13	2	NONE	0	0	kontextwechselnde Formklasse an T15-13A und T30-04A	C0_MULTI_POSITION_CLASS	2 Belege; 2 physische Folios; A=4|13	Templatewechsel zerstört eine absolute Position	NO_SEMANTIC_RENDERER_LICENSE	ZERO	NO
AQACAB	3	2	okaram|otar al	2	f70|f72	T30	2|6|28	3	NONE	0	0	T30-Formklasse an 02A/06A/28A	C0_MULTI_POSITION_CLASS	3 Belege; 2 physische Folios; A=2|6|28	gleiche Signatur und sogar okaram-Ganzform verschieben stark	NO_SEMANTIC_RENDERER_LICENSE	ZERO	NO
AQACABBA	2	1	otaraldy	1	f72	T15|T30	10|12	2	NONE	0	0	f72-interne Formbezeichnung an 10A/12A	C0_SAME_FOLIO_WINDOW	2 Belege; 1 physische Folios; A=10|12	identische Oberfläche, aber kein unabhängiges Folio	NO_SEMANTIC_RENDERER_LICENSE	ZERO	NO
AQAFA	2	2	okairy|otainy	1	f72	T15|T30	5|29	2	NONE	0	0	f72-interne Gegenbereichsform an 05A/29A	C0_SAME_FOLIO_OPPOSITION_RIVAL	2 Belege; 1 physische Folios; A=5|29	nur ein physisches Folio und verschiedene Oberflächen	NO_SEMANTIC_RENDERER_LICENSE	ZERO	NO
AQKA|ACA	2	1	okeey ary	1	f72	T15|T30	4|15	2	NONE	0	0	f72-interne Ganzbezeichnung an 04A/15A	C0_SAME_FOLIO_MULTI_POSITION	2 Belege; 1 physische Folios; A=4|15	identische Oberfläche, aber stark verschiedene Plätze	NO_SEMANTIC_RENDERER_LICENSE	ZERO	NO
