statement_id	page	record	events	silent_plant_owner	surface_sequence	component_sequence	atomic_trace_de	fluent_article_clause_de	water_named	added_named_species	added_disease	added_unanchored_ingredient	form_status
H1-S001	f10r	H1	10	die breite gezahnte Bluetenpflanze	dchey cthoor char chty os chair otytchol oky daiin etyd	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	ENTNEHMEN · KURZ · DIES | BEREITEN · ARBEITSGANG · ANSATZ | QUELLE | ANWENDEN · DIES | FACH | ENTNEHMEN · WASSER | DANACH · DIES · ANWENDEN · ENTNEHMEN · FORTSETZEN | ANSETZEN · DIES | MASS | KURZ · ANWENDEN · DIES	Von der abgebildeten Pflanze einen kleinen Arbeitsposten entnehmen. Den Ansatz fuer den Arbeitsgang bereiten, die Quelle bestimmen und ihn auf den aktuellen Posten anwenden. Das vorgesehene Fach benutzen, Wasser entnehmen, den Posten danach weiter anwenden und fortfuehren; ihn nach Mass ansetzen und kurz anwenden.	YES	NONE	NONE	NONE	UNCHANGED
H1-S002	f10r	H1	4	die breite gezahnte Bluetenpflanze	qokchy qotchol chol cthy	OK+Y | OT+CH+OL | OL | CTH+Y	ANSETZEN · DIES | DANACH · ENTNEHMEN · FORTSETZEN | FORTSETZEN | BEREITEN · DIES	Den aktuellen Posten ansetzen; danach etwas davon entnehmen und die Arbeit fortfuehren. Weiterarbeiten und den Posten bereiten.	NO	NONE	NONE	NONE	UNCHANGED
H2-S001	f10r	H2	9	die breite gezahnte Bluetenpflanze	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	DIES · ENTNEHMEN · KURZ · ANSATZ | BEREITEN · DIES | ANSATZ | BEREITEN · MASS | ARBEITSGANG · BEREITEN · FORTSETZEN · DIES | DIES | DIES | MASS | DIES	Vom aktuellen Ansatz kurz entnehmen, den Posten bereiten und den Ansatz nach Mass fuer den naechsten Arbeitsgang fortfuehren; die folgenden Verweise halten denselben Posten aktiv.	NO	NONE	NONE	NONE	UNCHANGED
H2-S002	f10r	H2	8	die breite gezahnte Bluetenpflanze	qotchor chor otol chol cholor chol daiin dar	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	DANACH · ENTNEHMEN · ANSATZ | ANSATZ | DANACH · FORTSETZEN | FORTSETZEN | FORTSETZEN · ANSATZ | FORTSETZEN | MASS | QUELLE	Danach etwas vom Ansatz entnehmen. Denselben Ansatz durch die Folge weiterfuehren, das Mass beachten und aus der angegebenen Quelle nehmen.	NO	NONE	NONE	NONE	UNCHANGED
H2-S003	f10r	H2	7	die breite gezahnte Bluetenpflanze	oykchor shor chor chy kaiiin dy chodaiin	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ | ANSATZ | ANSATZ | DIES | ZUGEBEN · STUFE | DIES | ENTNEHMEN · ARBEITSGANG · MASS	Im Arbeitsgang dem aktuellen Ansatz zugeben; denselben Ansatz aktiv halten, bis zur genannten Stufe weiter zugeben und zuletzt nach Mass aus dem Arbeitsgang entnehmen.	NO	NONE	NONE	NONE	UNCHANGED
H3-S001	f11r	H3	7	die dicht bluehende Kronenpflanze	tshol schoal cfhy shfydaiin cphy shey tchody	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	ANWENDEN · HALTEN · FORTSETZEN | HALTEN · ARBEITSGANG · ZIEL | AUSWRINGEN · DIES | HALTEN · DIES · MASS | EINFUELLEN · DIES | HALTEN · LANG · DIES | ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	Die Pflanzenzubereitung weiter anwenden und am Ziel halten. Den aktuellen Posten auswringen, bis zum Mass halten, in den Empfaenger fuellen und lange halten; anschliessend anwenden, entnehmen und den Arbeitsgang schliessen.	NO	NONE	NONE	NONE	UNCHANGED
H3-S002	f11r	H3	1	die dicht bluehende Kronenpflanze	shoyty	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	Den aktuellen Posten im Arbeitsgang halten und anwenden.	NO	NONE	NONE	NONE	UNCHANGED
H3-S003	f11r	H3	5	die dicht bluehende Kronenpflanze	dchol chy kchy dy daiin	RESUME_CARD | Y | K+Y | Y | AIIN	WIEDERAUFNEHMEN | DIES | ZUGEBEN · DIES | DIES | MASS	Den vorigen Schritt wiederaufnehmen; diesen Posten weiterfuehren, ihm etwas zugeben und ihn bis zum Mass halten.	NO	NONE	NONE	NONE	UNCHANGED
H3-S004	f11r	H3	4	die dicht bluehende Kronenpflanze	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	DANACH · DIES | ANSETZEN · FORTSETZEN | BEREITEN · DIES | DIES	Danach diesen Posten weiter ansetzen, bereiten und aktiv halten.	NO	NONE	NONE	NONE	UNCHANGED
H4-S001	f55v	H4	5	die breitblaettrige rispige Pflanze	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	ANSETZEN · MASS | MASS | DIES · ZUGEBEN · PORTION | DIES · ZUGEBEN · NACHGABE | ARBEITSGANG · SCHLUSS	Nach dem angegebenen Mass ansetzen; dem aktuellen Posten eine Portion und eine Nachgabe zugeben; den Arbeitsgang schliessen.	NO	NONE	NONE	NONE	UNCHANGED
H4-S002	f55v	H4	3	die breitblaettrige rispige Pflanze	daiin chedy talam	AIIN | CHD+Y | TALAM	MASS | UMSETZEN · DIES | VERWAHREN	Das Mass beachten, diesen Posten umsetzen und verwahren.	NO	NONE	NONE	NONE	UNCHANGED
H4-S003	f55v	H4	4	die breitblaettrige rispige Pflanze	ykaiin cheoar cheeky oldy	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	DIES · ZUGEBEN · MASS | ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE | WAERMEN · LANG · DIES | FORTSETZEN · SCHLUSS	Dem aktuellen Posten das vorgeschriebene Mass zugeben; aus der Quelle kurz fuer den Arbeitsgang entnehmen, lange erwaermen und den Fortsetzungsschritt schliessen.	NO	NONE	NONE	NONE	UNCHANGED
H4-S004	f55v	H4	6	die breitblaettrige rispige Pflanze	aiin okal oltchy or y orain	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	MASS | ANSETZEN · ZIEL | FORTSETZEN · ANWENDEN · DIES | ANSATZ | DIES | ANSATZ · PORTION	Nach Mass am Ziel ansetzen, den Posten weiter anwenden und als eine Portion des Ansatzes fuehren.	NO	NONE	NONE	NONE	UNCHANGED
H5-S001	f56r	H5	9	die mehrkoepfige stachelige Pflanze	chochor cho chodaly daiin sho kchol otchor choky dal	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	ZUTAT · ENTNEHMEN · ANSATZ | ZUTAT | ZUTAT · ZIEL · DIES | MASS | ZUTAT | ZUGEBEN · FORTSETZEN | DANACH · ENTNEHMEN · ANSATZ | ANSETZEN · DIES | ZIEL	Eine Zutat fuer den Ansatz entnehmen, sie als aktuellen Posten zum Ziel bringen und nach Mass fortgesetzt zugeben; danach erneut aus dem Ansatz entnehmen und am Ziel ansetzen.	NO	NONE	NONE	NONE	UNCHANGED
H5-S002	f56r	H5	4	die mehrkoepfige stachelige Pflanze	schol choy choky cheeckhody	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	WIEDERAUFNEHMEN | ZUTAT · DIES | ANSETZEN · DIES | ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	Den vorigen Vorgang wiederaufnehmen; diese Zutat ansetzen, dann lange durch den Durchlass des Arbeitsgangs entnehmen und schliessen.	NO	NONE	NONE	NONE	UNCHANGED
H5-S003	f56r	H5	4	die mehrkoepfige stachelige Pflanze	sh cho kchey qokokchy	SH | HO | K+E+Y | OK+OK+Y	HALTEN | ZUTAT | ZUGEBEN · KURZ · DIES | ANSETZEN · ANSETZEN · DIES	Die Zutat halten, dem aktuellen Posten kurz zugeben und ihn erneut ansetzen.	NO	NONE	NONE	NONE	UNCHANGED
H5-S004	f56r	H5	3	die mehrkoepfige stachelige Pflanze	okchy chokcheo kchal	OK+Y | OK+CH+E+O | K+AL	ANSETZEN · DIES | ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG | ZUGEBEN · ZIEL	Diesen Posten ansetzen, im Arbeitsgang kurz etwas daraus entnehmen und es dem Ziel zugeben.	NO	NONE	NONE	NONE	UNCHANGED
H5-S005	f56r	H5	4	die mehrkoepfige stachelige Pflanze	sho chokchy kchoar sotodan	HO | OK+Y | K+HO+AR | OT+O+AIN	ZUTAT | ANSETZEN · DIES | ZUGEBEN · ZUTAT · QUELLE | DANACH · ARBEITSGANG · PORTION	Die Zutat waehlen, diesen Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.	NO	NONE	NONE	NONE	UNCHANGED
H5-S006	f56r	H5	3	die mehrkoepfige stachelige Pflanze	otchey keol daiin	OT+Y | K+E+OL | AIIN	DANACH · DIES | ZUGEBEN · KURZ · FORTSETZEN | MASS	Danach diesem Posten kurz weiter zugeben, bis das Mass erreicht ist.	NO	NONE	NONE	NONE	UNCHANGED
