page	record_ordinal	field_serial_in_record	locus	visible_field	event_count	technical_primary_function	technical_secondary_functions	technical_card_expansion_German	complete_field_expansion_German	closure	coverage_status
f10r	1	1	f10r.2	dchey cthoor char chty os chair otytchol oky daiin etyd	10	HERKUNFT DES ANSATZES	BEARBEITUNGSWEISE; AUSZUFÜHRENDER ARBEITSGANG; MENGE ODER MASS; WASSERWEG, SPÜLUNG ODER ABLASS; EINSATZ AM BECKEN ODER AN DER STATION; ROHSTOFF ODER ANLAGENTEIL; ARBEITSFLÜSSIGKEIT ODER ZUSATZ; VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	nimm die faserige untere Wurzel | wasche sie in fließendem Wasser | daraus, aus demselben Ansatz | bearbeite den Ansatz gleichmäßig | zerstoße sie grob | gib Rotwein als Auszugsmittel zu | prüfe eine kleine Probe auf Stärke und Verträglichkeit | verwende die aktive Portion im laufenden Arbeitsgang | ein vorgeschriebenes Maß | bewahre die übrige Wurzel trocken	HERKUNFT DES ANSATZES: nimm die faserige untere Wurzel; wasche sie in fließendem Wasser; daraus, aus demselben Ansatz; bearbeite den Ansatz gleichmäßig; zerstoße sie grob; gib Rotwein als Auszugsmittel zu; prüfe eine kleine Probe auf Stärke und Verträglichkeit; verwende die aktive Portion im laufenden Arbeitsgang; ein vorgeschriebenes Maß; bewahre die übrige Wurzel trocken. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f10r	1	2	f10r.5	qokchy qotchol chol cthy	4	VORANSATZ ODER RÜCKLAUF	REIFE- ODER ENDZUSTAND; WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION	verwende den frisch bereiteten Badezusatz | bringe ihn warm in den vorgesehenen Badelauf ein | arbeite mit dem vorigen Ansatz weiter | sobald der Ansatz arbeitsbereit ist	VORANSATZ ODER RÜCKLAUF: verwende den frisch bereiteten Badezusatz; bringe ihn warm in den vorgesehenen Badelauf ein; arbeite mit dem vorigen Ansatz weiter; sobald der Ansatz arbeitsbereit ist. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f10r	2	1	f10r.6	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	9	REIFE- ODER ENDZUSTAND	AKTUELLE ARBEITSFLÜSSIGKEIT; AKTIVER ARBEITSPOSTEN; MENGE ODER MASS; WÄRME, KÜHLUNG ODER RUHE; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	sie wächst auf feuchtem Wiesengrund | sobald der Ansatz arbeitsbereit ist | die bereitete Arbeitsflüssigkeit | gib den ausgepressten Pflanzensaft zu | siede es sanft | dieser aktive Arbeitsposten | dieser aktive Arbeitsposten | ein vorgeschriebenes Maß | dieser aktive Arbeitsposten	REIFE- ODER ENDZUSTAND: sie wächst auf feuchtem Wiesengrund; sobald der Ansatz arbeitsbereit ist; die bereitete Arbeitsflüssigkeit; gib den ausgepressten Pflanzensaft zu; siede es sanft; dieser aktive Arbeitsposten; dieser aktive Arbeitsposten; ein vorgeschriebenes Maß; dieser aktive Arbeitsposten. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f10r	2	2	f10r.8	qotchor chor otol chol cholor chol daiin dar	8	AKTUELLE ARBEITSFLÜSSIGKEIT	VORANSATZ ODER RÜCKLAUF; MENGE ODER MASS; HERKUNFT DES ANSATZES; ROHSTOFF ODER ANLAGENTEIL	vor der Blüte gesammelt | die bereitete Arbeitsflüssigkeit | eine Handvoll | arbeite mit dem vorigen Ansatz weiter | entnimm es aus dem vorigen Ansatz | arbeite mit dem vorigen Ansatz weiter | ein vorgeschriebenes Maß | daraus, aus demselben Ansatz	AKTUELLE ARBEITSFLÜSSIGKEIT: vor der Blüte gesammelt; die bereitete Arbeitsflüssigkeit; eine Handvoll; arbeite mit dem vorigen Ansatz weiter; entnimm es aus dem vorigen Ansatz; arbeite mit dem vorigen Ansatz weiter; ein vorgeschriebenes Maß; daraus, aus demselben Ansatz. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f10r	2	3	f10r.9	oykchor shor chor chy kaiiin dy chodaiin	7	AKTUELLE ARBEITSFLÜSSIGKEIT	AKTIVER ARBEITSPOSTEN; ROHSTOFF ODER ANLAGENTEIL; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	wenn sich ihre Blüte geöffnet hat | die bereitete Arbeitsflüssigkeit | die bereitete Arbeitsflüssigkeit | dieser aktive Arbeitsposten | bis eine bittere Prüfqualität bleibt | dieser aktive Arbeitsposten | bewahre jenen Anteil unter Öl	AKTUELLE ARBEITSFLÜSSIGKEIT: wenn sich ihre Blüte geöffnet hat; die bereitete Arbeitsflüssigkeit; die bereitete Arbeitsflüssigkeit; dieser aktive Arbeitsposten; bis eine bittere Prüfqualität bleibt; dieser aktive Arbeitsposten; bewahre jenen Anteil unter Öl. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f11r	1	1	f11r.1	tshol schoal cfhy shfydaiin cphy shey tchody	7	REIFE- ODER ENDZUSTAND	WASSERWEG, SPÜLUNG ODER ABLASS; WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION; ROHSTOFF ODER ANLAGENTEIL	sammle die Wurzel im Frühjahr | aus schattigem Wald | bevor sich die Blütenkrone öffnet | presse die gequetschte Wurzel durch ein Tuch | seihe die Flüssigkeit ein zweites Mal | bearbeite weiter, bis die Flüssigkeit klar abläuft | lasse die geseihte Flüssigkeit offen abkühlen	REIFE- ODER ENDZUSTAND: sammle die Wurzel im Frühjahr; aus schattigem Wald; bevor sich die Blütenkrone öffnet; presse die gequetschte Wurzel durch ein Tuch; seihe die Flüssigkeit ein zweites Mal; bearbeite weiter, bis die Flüssigkeit klar abläuft; lasse die geseihte Flüssigkeit offen abkühlen. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f11r	1	2	f11r.1	shoyty	1	ROHSTOFF ODER ANLAGENTEIL		behalte die Blütenkrone als Vorrat zurück	ROHSTOFF ODER ANLAGENTEIL: behalte die Blütenkrone als Vorrat zurück. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f11r	1	3	f11r.4	dchol chy kchy dy daiin	5	AKTIVER ARBEITSPOSTEN	MENGE ODER MASS; EINSATZ AM BECKEN ODER AN DER STATION; ROHSTOFF ODER ANLAGENTEIL; VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	von diesem abgebildeten Badezusatz | dieser aktive Arbeitsposten | binde den gefüllten Kräuterbeutel über den bezeichneten Einlass | dieser aktive Arbeitsposten | ein vorgeschriebenes Maß	AKTIVER ARBEITSPOSTEN: von diesem abgebildeten Badezusatz; dieser aktive Arbeitsposten; binde den gefüllten Kräuterbeutel über den bezeichneten Einlass; dieser aktive Arbeitsposten; ein vorgeschriebenes Maß. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f11r	1	4	f11r.7	qotchy okchol cthy dy	4	REIFE- ODER ENDZUSTAND	AKTIVER ARBEITSPOSTEN; WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION	fülle aus den Blättern einen warmen Kräuterbeutel | lege den Kräuterbeutel warm an die Arbeitsstation | sobald der Ansatz arbeitsbereit ist | dieser aktive Arbeitsposten	REIFE- ODER ENDZUSTAND: fülle aus den Blättern einen warmen Kräuterbeutel; lege den Kräuterbeutel warm an die Arbeitsstation; sobald der Ansatz arbeitsbereit ist; dieser aktive Arbeitsposten. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f55v	1	1	f55v.5	qokaiin chaiin ykain ykan ody	5	MENGE ODER MASS	WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION; ROHSTOFF ODER ANLAGENTEIL; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	beginne den nächsten abgemessenen Arbeitsposten | ein vorgeschriebenes Maß | siede das breite Blatt sanft aus | in Weißwein | lasse es ausziehen, bis die Flüssigkeit klar ist	MENGE ODER MASS: beginne den nächsten abgemessenen Arbeitsposten; ein vorgeschriebenes Maß; siede das breite Blatt sanft aus; in Weißwein; lasse es ausziehen, bis die Flüssigkeit klar ist. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
