page	record	source_register	field_count	event_count	covered_field_count	corrected_complete_card_expansion	canonical_speculative_German	interpretation_level	coverage_status
f10r	1	HERBAL_RECIPE_ARTICLE	2	14	2	take the fibrous lower root; wash it in running water; from the same prepared batch; work it until evenly homogeneous; reduce it to a coarse powder; add red wine; drink it for pain of the stomach; apply or use this portion; in the stated or usual measure; keep the remaining root dry; [continue] use the freshly prepared remedy; apply it while warm; with the foregoing preparation; when the preparation is ready; [continue]	Nimm die faserige untere Wurzel der abgebildeten Pflanze, wasche sie in fließendem Wasser, zerstoße sie aus demselben Ansatz gleichmäßig und grob, gib Rotwein hinzu und trinke die übliche Portion gegen Magenschmerz. Verwende die frische Zubereitung warm mit dem Vorigen; bewahre den Rest der Wurzel trocken auf und fahre mit der nächsten Anwendung fort.	CONCRETE_WORKING_TRANSLATION_NOT_DECIPHERMENT	ALL_FIELDS_AND_EVENTS_ACCOUNTED
f10r	2	HERBAL_RECIPE_ARTICLE	3	24	3	it grows in damp meadow ground; when the preparation is ready; the prepared working liquid; add the expressed juice; boil it gently; this present portion; this present portion; in the stated or usual measure; this present portion; [continue] gathered before flowering; the prepared working liquid; one handful; with the foregoing preparation; from the foregoing batch; with the foregoing preparation; in the stated or usual measure; from the same prepared batch; [continue] when its flower has opened; the prepared working liquid; the prepared working liquid; this present portion; until a bitter taste remains; this present portion; preserve that portion under oil; [continue]	Die Pflanze wächst auf feuchtem Wiesengrund. Wenn die Zubereitung bereit ist, gib den ausgepressten Saft in den Sud, koche sanft und teile ihn nach der üblichen Maßangabe aus. Sammle vor der Blüte eine Handvoll für denselben Ansatz. Nach dem Öffnen der Blüte koche weiter, bis ein bitterer Geschmack bleibt, und bewahre den verbleibenden Anteil unter Öl.	CONCRETE_WORKING_TRANSLATION_NOT_DECIPHERMENT	ALL_FIELDS_AND_EVENTS_ACCOUNTED
f11r	1	HERBAL_RECIPE_ARTICLE	4	17	4	gather the root in spring; from shaded woodland; before the flowering crown opens; press the bruised root through cloth; strain the liquor a second time; until the liquid runs clear; leave the strained liquor uncovered to cool. [step committed] reserve the flowering crown; [continue] of this pictured simple; this present portion; bind it upon a swollen place; this present portion; in the stated or usual measure; [continue] make a warm poultice from its leaves; lay it on while warm; when the preparation is ready; this present portion; [continue]	Sammle die Wurzel im Frühjahr an schattigem Waldort, ehe sich die Blütenkrone öffnet. Presse die gequetschte Wurzel durch ein Tuch, kläre den Saft ein zweites Mal und lasse ihn offen abkühlen. Bewahre die Blütenkrone zurück. Binde die übliche Portion des abgebildeten Simples auf die geschwollene Stelle; bereite aus den Blättern einen warmen Umschlag und lege ihn warm auf.	CONCRETE_WORKING_TRANSLATION_NOT_DECIPHERMENT	ALL_FIELDS_AND_EVENTS_ACCOUNTED
f55v	1	HERBAL_RECIPE_ARTICLE	4	18	4	begin the next measured entry; in the stated or usual measure; boil the broad leaf gently; in white wine; steep it until the liquor is clear. [step committed] in the stated or usual measure; stir until evenly mixed; wash the sore place once. [major step committed] for its second medicinal use; add white wine; while still warm; boil gently; close the rubric. [step committed] in the stated or usual measure; mix the two portions together; keep it in a covered jar; the prepared working liquid; this present portion; use the finished liquor fresh; [continue]	Nimm vom breiten Blatt die übliche Menge, koche sie sanft in Weißwein und lasse sie ziehen, bis der Auszug klar wird. Rühre eine weitere übliche Portion gleichmäßig und wasche die wunde Stelle einmal. Für den zweiten Gebrauch gib erneut Weißwein hinzu, koche noch warm und schließe den Schritt. Mische zuletzt beide Teile, bewahre sie bedeckt und verwende den fertigen Auszug frisch.	CONCRETE_WORKING_TRANSLATION_NOT_DECIPHERMENT	ALL_FIELDS_AND_EVENTS_ACCOUNTED
f56r	1	HERBAL_RECIPE_ARTICLE	7	27	7	gather the plant in spring; then take the following ingredient or plant part; the thin lower root; in the stated or usual measure; [continue] then take the following ingredient or plant part; steep it in white wine; gathered before flowering; apply or use this portion; apply it at the place indicated by the drawing; [continue] of this pictured simple; which grows on damp shaded heath; apply or use this portion; leave the plaster uncovered until dry. [step committed] its small seed or bud-head; then take the following ingredient or plant part; the dried narrow leaf; dry it in shade; [continue] use the freshly prepared remedy; drink it for pain of the stomach; keep the remainder dry in shade; [continue] then take the following ingredient or plant part; use the freshly prepared remedy; mix it with honey; use it while freshly mixed; [continue] take the indicated share; the pale opened flower; in the stated or usual measure; [continue]	Sammle die Pflanze im Frühjahr. Nimm die dünne untere Wurzel in üblicher Menge, lege sie vor der Blüte in Weißwein und trage den Anteil an der bezeichneten Zielstelle auf. Von dem auf feuchter, schattiger Heide wachsenden Simple lasse den Umschlag unbedeckt trocknen. Trockne Samenkopf und schmales Blatt im Schatten; gebrauche einen frischen Ansatz gegen Magenschmerz. Mische den folgenden Anteil mit Honig und verwende ihn frisch; zuletzt nimm die bezeichnete Menge der blassen offenen Blüte.	CONCRETE_WORKING_TRANSLATION_NOT_DECIPHERMENT	ALL_FIELDS_AND_EVENTS_ACCOUNTED
f81v	1	BATH_AND_CONDUIT_WORKSHEET	24	66	24	rinse the indicated place once; end this instruction. [step committed] begin the next measured entry; the returning flow; mix the two portions together; from the same prepared batch; with the foregoing preparation; one measured portion; the lower basin; apply it at the place indicated by the drawing; with the foregoing preparation; before it cools; the prepared oil; [continue] from the foregoing batch; with the foregoing preparation; a moderate quantity; in the stated or usual measure; the immersed part; in the stated or usual measure; through the connected channels; wash the used vessel or channel through once; end this instruction. [step committed] with the foregoing preparation; [continue] keep it warm; close the rubric. [step committed] stir until evenly mixed; with the foregoing preparation; let it stand until ready; end this instruction. [step committed] set the mixed liquid aside in a covered receiving vessel; end this instruction. [step committed] add one measured portion to the vessel; through the connected channels; the prepared oil; and let it cool; [continue] heat it once; end this instruction. [step committed] this present portion; with the foregoing preparation; over a gentle heat; with the foregoing preparation; let it stand until ready; end this instruction. [step committed] rinse the indicated place once; end this instruction. [step committed] rinse the indicated place once; end this instruction. [step committed] through the connected channels; apply or use this portion; [continue] begin the rinsing; warm water; wash once; close this pass. [step committed] wash once; close this pass. [step committed] stir until evenly mixed; the affected place; the lower basin; with the foregoing preparation; then use the lower outlet; [continue] then fill the vessel; let it cool; close the rubric. [step committed] mix the two portions together; temper the working liquid and keep it lukewarm; with the foregoing preparation; let it stand until ready; end this instruction. [step committed] apply it at the place indicated by the drawing; the first opening; strain it clear; close the rubric. [step committed] then fill the vessel; [continue] apply at the marked place; until clear; let the liquid settle; end this instruction. [step committed] let it stand until ready; end this instruction. [step committed] over a gentle heat; strain it once through cloth; end this instruction. [step committed] apply it at the place indicated by the drawing; [continue]	Spüle zuerst die bezeichnete Stelle. Setze dann aus demselben Ansatz zwei Anteile im unteren Becken an, führe sie mit dem vorbereiteten Öl durch die verbundenen Leitungen und spüle das gebrauchte Gefäß. Halte die Mischung warm, rühre sie gleichmäßig, lasse sie stehen und stelle sie bedeckt zurück. Gib eine weitere Portion zu, erwärme einmal und lasse abkühlen. Wiederhole Spülung und Anwendung, fülle das Gefäß, temperiere die Flüssigkeit, lasse sie absetzen, kläre sie durch Tuch und führe sie über die erste Öffnung zur markierten Stelle.	CONCRETE_WORKING_TRANSLATION_NOT_DECIPHERMENT	ALL_FIELDS_AND_EVENTS_ACCOUNTED
f82r	1	BATH_AND_CONDUIT_WORKSHEET	26	62	26	wash the used vessel or channel through once; end this instruction. [step committed] set the mixed liquid aside in a covered receiving vessel; end this instruction. [step committed] add one measured portion to the vessel; this present portion; bathe or immerse in the tempered warm liquid; end this instruction. [step committed] mix the two portions together; the second opening; and proceed to the next basin; [continue] temper the working liquid and keep it lukewarm; strain it clear; close the rubric. [step committed] continue at the second conduit; through a cloth; through the connected channels; begin the next measured entry; [continue] begin the next measured entry; under the same setting; the broad vessel; draw it off; close the rubric. [step committed] the prepared oil; mix the two portions together; over the local place; apply or use this portion; [continue] add clean water; close the rubric. [step committed] for the same interval as before; over the local place; let it stand until ready; end this instruction. [step committed] keep it warm; close the rubric. [step committed] temper the working liquid and keep it lukewarm; apply or use this portion; the first opening; until the liquid runs clear; [continue] add one measured portion to the vessel; from the same prepared batch; add one measured portion to the vessel; bathe or immerse in the tempered warm liquid; end this instruction. [step committed] draw off the clear liquid; [continue] until the liquid runs clear; under the same setting; temper the working liquid and keep it lukewarm; the immersed part; in the stated or usual measure; this present portion; immerse fully; close the rubric. [step committed] let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed] close the lower outlet; [continue] begin the rinsing; bathe or immerse in the tempered warm liquid; end this instruction. [step committed] apply it at the place indicated by the drawing; cool water; in equal portions; in the stated or usual measure; the prepared oil; begin the next measured entry; warm water; [continue] draw it off; close the rubric. [step committed] pour in the warmed water; repeat at the second opening; close the rubric. [step committed] bathe or immerse in the tempered warm liquid; end this instruction. [step committed] drink the stated portion; close the rubric. [step committed] bind upon the place; close the rubric. [step committed] bathe or immerse in the tempered warm liquid; end this instruction. [step committed] mix in equal shares; close the rubric. [step committed]	Spüle Gefäß und Leitung und stelle die gemischte Flüssigkeit bedeckt zurück. Gib eine gemessene Portion zu und bade den bezeichneten Teil im temperierten Wasser. Mische am zweiten Zugang, halte lauwarm, kläre durch Tuch und ziehe über das breite Gefäß ab. Gib Öl und klares Wasser zu, lasse stehen und halte warm. Führe weitere gemessene Portionen aus demselben Ansatz zu, tauche vollständig ein und lasse verbrauchte Flüssigkeit unten ab. Schließe und öffne die bezeichneten Ausgänge der Reihe nach; spüle, gieße Warmwasser nach, bade, trinke oder binde die jeweils bezeichnete Portion auf und mische am Ende gleiche Anteile.	CONCRETE_WORKING_TRANSLATION_NOT_DECIPHERMENT	ALL_FIELDS_AND_EVENTS_ACCOUNTED
f83r	1	BATH_AND_CONDUIT_WORKSHEET	38	86	38	let the liquid settle; end this instruction. [step committed] toward the lower outlet; immerse fully; close the rubric. [step committed] this present portion; in the stated or usual measure; this present portion; let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed] begin the next measured entry; toward the lower outlet; from the same prepared batch; [continue] wash the used vessel or channel through once; end this instruction. [step committed] pour in the warmed water; mix the two portions together; set the mixed liquid aside in a covered receiving vessel; end this instruction. [step committed] begin the next measured entry; stir until evenly mixed; bathe or immerse in the tempered warm liquid; end this instruction. [step committed] let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed] apply or use this portion; [continue] then fill the vessel; steep until clear; close the rubric. [step committed] apply at the marked place; apply or use this portion; stir until evenly mixed; and let it cool; [continue] the prepared working liquid; let it stand until ready; end this instruction. [step committed] begin the next measured entry; one measured portion; under the same setting; rinse the indicated place once; end this instruction. [step committed] next open the upper channel; wash once; close the rubric. [step committed] let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed] close the lower outlet; [continue] let it cool; close the rubric. [step committed] bathe or immerse in the tempered warm liquid; end this instruction. [step committed] let it stand until ready; end this instruction. [step committed] boil gently; close the rubric. [step committed] apply it at the place indicated by the drawing; let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed] begin the next measured entry; when the preparation is ready; apply it at the place indicated by the drawing; this present portion; [continue] in the stated or usual measure; for one interval; warm water; this present portion; apply it at the place indicated by the drawing; when the preparation is ready; retain the residue; close the rubric. [step committed] mix in equal shares; close the rubric. [step committed] let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed] wash the used vessel or channel through once; end this instruction. [step committed] heat it once; end this instruction. [step committed] place the person at the basin; after settling; stir until evenly mixed; add one measured portion to the vessel; when the preparation is ready; until the flow clears; [continue] let the liquid settle; end this instruction. [step committed] bind upon the place; close the rubric. [step committed] temper the working liquid and keep it lukewarm; rinse the indicated place once; end this instruction. [step committed] with the foregoing preparation; after the first rinse; rinse the indicated place once; end this instruction. [step committed] apply or use this portion; in the stated or usual measure; [continue] draw off the clear liquid; mix in equal shares; close the rubric. [step committed] bathe or immerse in the tempered warm liquid; end this instruction. [step committed] begin the rinsing; stir until evenly mixed; the broad vessel; for the same interval as before; steep until clear; close the rubric. [step committed] draw it off; close the rubric. [step committed] until clear; when the preparation is ready; work it until evenly homogeneous; for the same interval as before; the lower basin; let it stand until ready; end this instruction. [step committed]	Lasse die Flüssigkeit absetzen, tauche am unteren Ausgang vollständig ein und lasse die übliche Portion in das Auffanggefäß ab. Beginne aus demselben Ansatz neu, spüle die Leitung, gieße Warmwasser nach, mische und stelle bedeckt zurück. Bade in der gleichmäßigen Mischung, lasse ab, fülle und kläre erneut. Trage den Sud an der markierten Stelle auf, halte die Intervalle und Öffnungen ein, spüle nacheinander, kühle, koche oder erwärme, binde auf und behalte den Rückstand. Setze die Person ans Becken, rühre, dosiere, kläre den Lauf und wiederhole Bad, Abzug und Spülung bis zum Ende.	CONCRETE_WORKING_TRANSLATION_NOT_DECIPHERMENT	ALL_FIELDS_AND_EVENTS_ACCOUNTED
f83r	2	BATH_AND_CONDUIT_WORKSHEET	20	47	20	bathe or immerse in the tempered warm liquid; end this instruction. [step committed] then fill the vessel; temper the working liquid and keep it lukewarm; rinse the indicated place once; end this instruction. [step committed] stir until evenly mixed; toward the lower outlet; [continue] take the indicated share; temper the working liquid and keep it lukewarm; apply or use this portion; with the foregoing preparation; let it stand until ready; end this instruction. [step committed] bind upon the place; close the rubric. [step committed] through a cloth; stir until evenly mixed; bathe or immerse in the tempered warm liquid; end this instruction. [step committed] strain it once through cloth; end this instruction. [step committed] strain it once through cloth; end this instruction. [step committed] in the stated or usual measure; while still warm; the first opening; rinse the indicated place once; end this instruction. [step committed] let it stand until ready; end this instruction. [step committed] boil gently; close the rubric. [step committed] in the stated or usual measure; over a gentle heat; the broad vessel; add one measured portion to the vessel; stir until evenly mixed; [continue] with the foregoing preparation; wash twice; close the rubric. [step committed] let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed] let the mixture enter; let it stand until ready; end this instruction. [step committed] the prepared working liquid; this present portion; over the local place; use immediately; close the rubric. [step committed] add one measured portion to the vessel; until the liquid runs clear; one measured portion; for the stated duration; [continue] next open the upper channel; let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed] the lower basin; apply it at the place indicated by the drawing; [continue] pour in the warmed water; let it stand until ready; end this instruction. [step committed]	Bade im temperierten warmen Wasser, fülle nach und spüle die bezeichnete Stelle. Rühre zum unteren Ausgang, nimm den bezeichneten Anteil, halte ihn lauwarm und trage ihn auf; lasse ihn stehen und binde ihn fest. Rühre durch ein Tuch, bade und seihe zweimal. Verwende die übliche Menge noch warm an der ersten Öffnung, koche sanft, gib im breiten Gefäß eine Portion zu und wasche zweimal. Lasse unten ab, setze erneut an, verwende den Sud sofort, öffne den oberen Lauf, leite ab und gieße Warmwasser nach.	CONCRETE_WORKING_TRANSLATION_NOT_DECIPHERMENT	ALL_FIELDS_AND_EVENTS_ACCOUNTED
f83r	3	BATH_AND_CONDUIT_WORKSHEET	5	11	5	draw it off; close the rubric. [step committed] heat it once; end this instruction. [step committed] for one interval; [continue] apply it at the place indicated by the drawing; with the foregoing preparation; until warm; with the foregoing mixture; in the stated or usual measure; [continue] with the foregoing preparation; the second opening; stir until evenly mixed; [continue]	Ziehe die Flüssigkeit ab und erwärme sie einmal. Nach einem Intervall trage sie mit der vorherigen Zubereitung warm und in üblicher Menge an der bezeichneten Stelle auf; rühre danach an der zweiten Öffnung gleichmäßig weiter.	CONCRETE_WORKING_TRANSLATION_NOT_DECIPHERMENT	ALL_FIELDS_AND_EVENTS_ACCOUNTED
