page	record_ordinal	title	field_count	event_count	selected_medical_purpose	complete_fluid_German	alternative_diagnosis_or_purpose	status
f10r	1	Skabiosenwurzel in Rotwein: trockene Grundzubereitung und warme Verwendung	2	14	Wurzelarznei für eine innere schmerzhafte Beschwerde mit anschließender warmer Verwendung.	Nimm die faserige untere Wurzel, wasche sie in fließendem Wasser und bearbeite sie aus demselben Ansatz gleichmäßig zu grobem Pulver. Gib Rotwein hinzu, gebrauche die vorgeschriebene Menge und bewahre die übrige Wurzel trocken. Verwende die frisch bereitete Arznei warm und fahre mit dem Voransatz fort, sobald er gebrauchsfertig ist.	Äußerliche Wurzelwäsche oder allgemeine Herstellungsnotiz; der einzelne Magenschmerz-Default könnte nur eine Werkstattfüllung sein.	COMPLETE_CREATIVE_MEDICAL_EDITION
f10r	2	Skabiosenkraut: Saft, Blütezeit und bitterer Vorratsansatz	3	24	Zweite saisonale Zubereitung derselben Pflanze, bei der Wiesengrund, Blütezeit, Saft, Bitterkeit und Aufbewahrung den Artikel bestimmen.	Die Pflanze wächst auf feuchtem Wiesengrund. Sobald der Ansatz bereit ist, gib den ausgepressten Saft zur Arbeitsflüssigkeit, koche sanft und teile ihn nach dem vorgeschriebenen Maß. Sammle vor der Blüte eine Handvoll und arbeite aus demselben Voransatz weiter. Wenn sich die Blüte geöffnet hat, halte zwei Arbeitsanteile bereit; koche bis Bitterkeit bleibt und bewahre den vorgesehenen Anteil unter Öl.	Reine Sammel- und Vorratsrubrik ohne bestimmte Krankheit; ebenso möglich ist ein äußerlicher Bitterauszug.	COMPLETE_CREATIVE_MEDICAL_EDITION
f11r	1	Veilchenwurzel und -blatt: geklärter Saft und warmer Umschlag	4	17	Kühlend-reinigende Veilchenzubereitung mit warmem Blattumschlag gegen eine geschwollene oder gereizte Stelle.	Sammle die Wurzel im Frühjahr am schattigen Waldort, bevor sich die Blütenkrone öffnet. Quetsche sie, presse sie durch ein Tuch, seihe die Flüssigkeit ein zweites Mal und lasse sie offen abkühlen; behalte die Blütenkrone zurück. Nimm vom abgebildeten Simplex die vorgeschriebene Menge und binde sie auf die geschwollene Stelle. Bereite aus den Blättern einen warmen Umschlag und lege ihn auf, sobald er gebrauchsfertig ist.	Haut- oder Augenwaschung statt Schwellungsverband; das Bild kann auch einen anderen bodennahen Simplex besitzen.	COMPLETE_CREATIVE_MEDICAL_EDITION
f55v	1	Breitblättriger Allium-Auszug: Weißweinwäsche und frischer Gebrauch	4	18	Reinigender Weißweinauszug aus einem breiten Blatt für eine wunde Stelle.	Nimm das breite Blatt in vorgeschriebenem Maß, koche es sanft in Weißwein und lasse es ziehen, bis die Flüssigkeit klar ist. Rühre eine zweite Menge gleichmäßig und wasche die wunde Stelle einmal. Für den zweiten Arzneigebrauch gib Weißwein hinzu und koche sanft. Mische beide Anteile, bewahre sie bedeckt und gebrauche die fertige Flüssigkeit frisch.	Allgemeiner kräftigender oder konservierender Auszug; der Pflanzenbesitzer könnte Wegerich statt Allium sein.	COMPLETE_CREATIVE_MEDICAL_EDITION
f56r	1	Sonnentau: Weinpflaster, Schattentrocknung und Honigmischung	7	27	Mehrteiliger Moorpflanzenartikel für ein örtliches Pflaster und eine frisch bereitete Honig-/Weinzubereitung.	Sammle die Pflanze im Frühjahr und nimm die dünne untere Wurzel in vorgeschriebener Menge. Lasse den nächsten Pflanzenteil vor der Blüte in Weißwein ziehen und führe den aktiven Anteil an die bezeichnete Stelle. Von dem auf feuchter schattiger Heide wachsenden Simplex gebrauche ein Pflaster und lasse es offen trocknen. Trockne Knospenkopf und schmales Blatt im Schatten. Gebrauche einen frischen Ansatz und bewahre den Rest trocken; mische einen weiteren Anteil mit Honig und gebrauche ihn frisch. Nimm zuletzt die helle geöffnete Blüte in vorgeschriebener Menge.	Respiratorischer oder verdauungsbezogener Trank; alternativ gehört die Zeichnung zu einem anderen klebrigen oder behaarten Kraut.	COMPLETE_CREATIVE_MEDICAL_EDITION
f81v	1	Gemeinsames Grundbad: Mischen, Temperieren, Kreislauf und Schlussreinigung	24	66	Herstellung und Umlauf einer gemeinsamen temperierten Kräuter-/Ölcharge für ein Frauenbad mit nachfolgender Spülung.	Spüle zuerst die bezeichnete Stelle. Beginne den abgemessenen Ansatz, mische Rücklauf, Öl und Vorzubereitung und führe den Anteil vor dem Abkühlen zum unteren Becken. Entnimm eine mäßige Menge, tauche den vorgesehenen Teil ein und leite die Flüssigkeit durch die verbundenen Läufe; spüle den benutzten Lauf aus. Halte die Mischung warm, rühre sie gleichmäßig, lasse sie bis zur Bereitschaft stehen und stelle sie bedeckt beiseite. Gib einen neuen Anteil zu, führe ihn durch die Läufe und lasse ihn abkühlen. Erwärme einmal, halte bei sanfter Wärme, spüle zweimal und gebrauche den aktiven Anteil. Beginne danach die Warmwasserspülung, wasche jeden Durchgang, leite zum unteren Becken und benutze den Ablauf. Fülle erneut, temperiere lauwarm, seihe an der ersten Öffnung klar, wende an der markierten Stelle an, lasse absetzen und führe zum bezeichneten Ziel.	Allgemeiner Badhaus- oder Gefäßumlauf ohne gynäkologische Diagnose; die Frauen können Zustands- oder Stationsbilder sein.	COMPLETE_CREATIVE_MEDICAL_EDITION
f82r	1	Einzelbehandlung: Teilbad, Öffnungen, Trank, Bindung und Ruhe	26	62	Aus dem gemeinsamen Ansatz abgeleitete individuelle Bade-, Spül-, Bindungs- und Trinkschritte mit wechselnder Temperatur.	Spüle Gefäß oder Lauf und stelle die gemischte Flüssigkeit bedeckt beiseite. Gib einen abgemessenen Anteil zu und bade den bezeichneten Teil warm; mische weiter und gehe durch die zweite Öffnung zum nächsten Becken. Temperiere und seihe klar, fahre am zweiten Lauf durch Tuch und verbundene Kanäle fort. Ziehe aus dem breiten Gefäß ab, mische Öl ein und gebrauche die Portion örtlich. Gib sauberes Wasser zu, lasse es für dieselbe Dauer stehen und halte es warm. Bade nach erneuter Temperierung an der ersten Öffnung bis zur Klarheit. Gib aus demselben Ansatz zwei Anteile zu, bade oder tauche, ziehe die klare Flüssigkeit ab und lasse den verbrauchten Anteil in das untere Gefäß laufen. Wechsle danach zwischen warmem und kühlem Wasser zu gleichen Teilen. Ziehe ab, gieße Warmwasser ein, wiederhole an der zweiten Öffnung und schließe die Folge mit Bad, angegebenem Trank, örtlicher Bindung und einem letzten Bad.	Pharmazeutische Apparaturfolge mit Gefäßen und Leitungen, in der die menschlichen Figuren lediglich Arbeitszustände markieren.	COMPLETE_CREATIVE_MEDICAL_EDITION
f83r	1	Lokale Irrigation: Setzen, Erwärmen, Einlaufen, Binden und mehrfaches Ablassen	38	86	Langer örtlicher Behandlungszyklus mit wiederholtem warmem Guss, Einweichen, Spülen, Absetzen, Binden und Ableiten.	Lasse den ersten Ansatz absetzen und zum unteren Ablauf gehen; teile die aktive Menge ab und lasse sie in das Auffanggefäß laufen. Spüle, gieße warmes Wasser ein, mische und bade die neue Portion, danach lasse sie ablaufen und gebrauche sie. Fülle erneut, lasse bis zur Klarheit ziehen, wende an der markierten Stelle an, rühre und kühle. Lasse die Arbeitsflüssigkeit bereit werden, nimm eine Portion, spüle, öffne den oberen Lauf und lasse unten ab. Wiederhole Kühlen, warmes Bad, Stehen und sanftes Kochen; führe zum Ziel und lasse ablaufen. Verwende für einen Zeitabschnitt warmes Wasser im vorgeschriebenen Maß, behalte den Rückstand, mische gleich und lasse ab. Setze die Person an das Becken, erwärme, rühre nach dem Absetzen und gib einen Anteil zu, bis der Strom klar wird. Lasse wieder absetzen, binde örtlich, temperiere und spüle zweimal. Ziehe die klare Flüssigkeit ab, bade, rühre im breiten Gefäß und lasse bis zur Klarheit ziehen; ziehe ab. Bearbeite schließlich denselben Ansatz bis zur Bereitschaft und lasse ihn im unteren Becken stehen.	Komplexe Badhaus-/Destillationsanweisung ohne wörtlichen Körperbezug; die Figuren können Behälterzustände personifizieren.	COMPLETE_CREATIVE_MEDICAL_EDITION
f83r	2	Zweiter örtlicher Kurs: temperierte Spülung, Auflage und Nachlauf	20	47	Nachbehandlung mit lauwarmer Spülung, örtlicher Bindung, zweifachem Seihen und kontrolliertem Nachlauf.	Bade zuerst in der temperierten Flüssigkeit. Fülle das Gefäß, halte die Arbeitsflüssigkeit lauwarm, spüle und rühre sie zum unteren Ablauf. Nimm den bezeichneten Anteil, temperiere ihn, gebrauche ihn mit dem Voransatz und lasse ihn bis zur Bereitschaft stehen; binde ihn auf die Stelle. Seihe durch Tuch, rühre, bade und seihe zweimal nach. Spüle die erste Öffnung noch warm, lasse stehen und koche sanft. Gib im breiten Gefäß eine vorgeschriebene Menge bei sanfter Wärme zu und rühre. Wasche mit dem Voransatz zweimal, lasse in das Auffanggefäß ab, lasse die Mischung einlaufen und stehen. Gebrauche die Arbeitsflüssigkeit sofort örtlich. Gib einen Anteil zu, führe ihn bis zur Klarheit und halte ihn für die angegebene Dauer. Öffne den oberen Lauf, lasse ab und führe das untere Becken zum Ziel; gieße zuletzt warmes Wasser ein und lasse es stehen.	Zweiter rein technischer Klär- und Transfergang einer zusammengesetzten Flüssigkeit.	COMPLETE_CREATIVE_MEDICAL_EDITION
f83r	3	Kurzer Wärme- und Übergabegang	5	11	Kurze eingeschobene Wiederholungsrubrik: abziehen, einmal erwärmen, eine Dauer halten und an die nächste Station geben.	Ziehe die Flüssigkeit ab, erwärme sie einmal und halte sie für einen Zeitabschnitt. Führe sie mit der vorigen Mischung in vorgeschriebenem Maß an die bezeichnete Stelle, bis sie warm ist. Fahre dann an der zweiten Öffnung mit dem Voransatz fort und rühre gleichmäßig.	Korrektur- oder Nachtragsrecord für eine Apparatur statt eigener Patientenbehandlung.	COMPLETE_CREATIVE_MEDICAL_EDITION
