page	record_ordinal	technical_register_title	field_count	complete_German_expansion	interpretive_status
f10r	1	ROTWURZEL-BADANSATZ	2	Nimm die faserige untere Wurzel, wasche sie in fließendem Wasser, zerstoße sie grob und setze sie mit Rotwein an. Prüfe eine kleine Probe auf Stärke und Verträglichkeit; verwende die vorgeschriebene Portion frisch und warm im Badelauf und bewahre die übrige Wurzel trocken für den nächsten Ansatz.	SPECULATIVE_COMPLETE_NONMEDICAL_RIVAL
f10r	2	WIESENKRAUT-SAFT UND VORRAT	3	Verarbeite das auf feuchtem Wiesengrund gewachsene Kraut, sobald der Ansatz bereit ist: gib den ausgepressten Saft in die Arbeitsflüssigkeit, siede sanft und teile gemessene Posten ab. Sammle vor der Blüte eine Handvoll für den Voransatz; nach dem Öffnen der Blüte arbeite bis zur bitteren Prüfqualität weiter und bewahre einen Anteil unter Öl.	SPECULATIVE_COMPLETE_NONMEDICAL_RIVAL
f11r	1	FRÜHJAHRSWURZEL UND KRÄUTERBEUTEL	4	Sammle die Wurzel im Frühjahr im schattigen Wald vor dem Öffnen der Blütenkrone. Presse sie durch Tuch, seihe zweimal und lasse die Flüssigkeit offen abkühlen; behalte die Blütenkrone zurück. Fülle den abgebildeten Zusatz in einen Kräuterbeutel, binde ihn über den bezeichneten Einlass und lege ihn arbeitsbereit warm an.	SPECULATIVE_COMPLETE_NONMEDICAL_RIVAL
f55v	1	BREITBLATT-WEINEXTRAKT	4	Siede die vorgeschriebene Menge des breiten Blatts in Weißwein und lasse sie bis zur Klarheit ausziehen. Rühre einen zweiten gemessenen Posten gleichmäßig und spüle damit die zu reinigende Stelle. Bereite für den zweiten Gebrauch einen weiteren warmen Weißweinansatz; vereinige beide Teile, bewahre sie bedeckt und verwende die fertige Flüssigkeit frisch.	SPECULATIVE_COMPLETE_NONMEDICAL_RIVAL
f56r	1	SIEBENTEILIGER BADEZUSATZ-VORRAT	7	Sammle die Pflanze im Frühjahr. Nimm die dünne untere Wurzel in vorgeschriebenem Maß, lasse sie vor der Blüte in Weißwein ausziehen und führe die Portion zur bezeichneten Badestation. Trockne den Kräuterpack, den Samen- oder Knospenkopf und das schmale Blatt im Schatten. Prüfe den frischen Ansatz, bewahre den Rest trocken, mische einen weiteren Teil mit Honig als Bindemittel und bemesse zuletzt die blasse offene Blüte.	SPECULATIVE_COMPLETE_NONMEDICAL_RIVAL
f81v	1	ERSTER WASSERLAUF UND RÜCKLAUF	24	Spüle zuerst die bezeichnete Arbeitsstelle. Setze aus Rücklauf und Voransatz gemessene Portionen im unteren Becken an, gib bereitetes Öl zu und führe sie durch die verbundenen Wasserläufe. Spüle Gefäße und Leitungen, halte den Ansatz warm, rühre, lasse ihn stehen und stelle ihn bedeckt zurück. Fülle nach, erhitze einmal, kühle, wiederhole die Spülung und leite die geklärte Flüssigkeit über die erste Öffnung zur bezeichneten Station.	SPECULATIVE_COMPLETE_NONMEDICAL_RIVAL
f82r	1	VOLLSTÄNDIGER BADE- UND SPÜLZYKLUS	26	Spüle Gefäß und Wasserlauf, stelle die Mischung bedeckt zurück und gib eine gemessene Portion zu. Bade im temperierten Wasser; wechsle danach über zweite Öffnung, Tuch und verbundenen Lauf zum nächsten Becken. Ziehe über das breite Gefäß ab, gib Öl und klares Wasser zu, halte den Ansatz warm und lasse ihn ruhen. Führe weitere Portionen ein, tauche vollständig, lasse unten ab und schalte anschließend die Öffnungen für Spülung, Warmwasser, Bad, Prüfportion und festgebundenen Kräuterbeutel der Reihe nach.	SPECULATIVE_COMPLETE_NONMEDICAL_RIVAL
f83r	1	LANGER BECKEN-, KLÄR- UND ABLASSLAUF	38	Lasse die Flüssigkeit absetzen, führe sie zum unteren Auslass und tauche die gemessene Portion vollständig ein; lasse den verbrauchten Anteil in das Auffanggefäß ab. Beginne mit Warmwasser und Voransatz neu, spüle, mische, temperiere, kühle, siede und kläre in den bezeichneten Gefäßen. Öffne und schließe obere und untere Läufe, führe die Arbeitsflüssigkeit zu den markierten Stationen, behalte den Rückstand und wiederhole Bad, Spülung, Filterung und Ablass bis zum klaren Endlauf.	SPECULATIVE_COMPLETE_NONMEDICAL_RIVAL
f83r	2	ZWEITER BECKEN- UND FILTERLAUF	20	Bade im temperierten Wasser, fülle das Gefäß und spüle die Arbeitsstelle. Rühre zum unteren Auslass, nimm den bezeichneten Anteil, halte ihn lauwarm und binde den Kräuterbeutel an der Station fest. Seihe den Ansatz zweimal durch Tuch, benutze die vorgeschriebene warme Menge an der ersten Öffnung, siede sanft und spüle das breite Gefäß zweimal. Lasse unten ab, führe einen neuen Posten sofort ein, öffne den oberen Lauf und fülle Warmwasser nach.	SPECULATIVE_COMPLETE_NONMEDICAL_RIVAL
f83r	3	KURZER WIEDERHOLUNGSLAUF	5	Ziehe die Flüssigkeit ab, erhitze sie einmal und halte einen Arbeitszeitraum ein. Führe sie dann mit der vorigen Mischung in vorgeschriebenem Maß zur bezeichneten Station und rühre am zweiten Wasserlauf gleichmäßig weiter.	SPECULATIVE_COMPLETE_NONMEDICAL_RIVAL
f83r	4	UNGESOTTENER DIREKTLAUF	2	Setze den Badenden ohne Sieden an das Becken und führe den Voransatz über die erste Öffnung. Nimm die vorgeschriebene aktive Portion, leite sie durch Tuch und bringe sie an der bezeichneten Arbeitsstation ein.	SPECULATIVE_COMPLETE_NONMEDICAL_RIVAL
