page	record_ordinal	locus	field_ordinal	event_count	visible_field	worksheet_roles	complete_corrected_expansion_German	closure	coverage_status
f10r	1	f10r.2	1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	SAME_SOURCE+PROCESS+USE_OR_EXECUTE+MEASURE+TRANSFER_CLEAN+APPLICATION+OWNER_OR_PART+MEDIUM_OR_INGREDIENT+INDICATION	ARBEITSFRAGEN: BLEIBT DIE QUELLE DIESELBE? | WIE WIRD ES BEARBEITET? | WAS IST JETZT AUSZUFÜHREN? | WIE VIEL ODER NACH WELCHEM MASS? | WIE SPÜLEN, SEIHEN ODER ABLASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHER SIMPLEX ODER PFLANZENTEIL? | WELCHES MEDIUM ODER WELCHER ZUSATZ? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?. EINGETRAGENE ANTWORTEN: take the fibrous lower root / wash it in running water / daraus, aus demselben Ansatz / gleichmäßig bearbeiten / reduce it to a coarse powder / add red wine / drink it for pain of the stomach / die aktive Portion verwenden / ein vorgeschriebenes Maß / keep the remaining root dry.	OPEN_FIELD_END	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f10r	1	f10r.5	1	4	qokchy qotchol chol cthy	PRIOR_SOURCE+STATE_GATE+HEAT_REST+APPLICATION	ARBEITSFRAGEN: WORAUS ODER MIT WELCHEM VORANSATZ? | BIS WANN ODER BIS ZU WELCHEM ZUSTAND? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN?. EINGETRAGENE ANTWORTEN: use the freshly prepared remedy / apply it while warm / mit der vorigen Zubereitung weiter / sobald die Zubereitung gebrauchsfertig ist.	OPEN_FIELD_END	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f10r	2	f10r.6	1	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	STATE_GATE+WORKING_MATERIAL+CURRENT_ITEM+MEASURE+HEAT_REST+MEDIUM_OR_INGREDIENT	ARBEITSFRAGEN: BIS WANN ODER BIS ZU WELCHEM ZUSTAND? | WELCHES ARBEITSMATERIAL LIEGT VOR? | WELCHER POSTEN IST JETZT AKTIV? | WIE VIEL ODER NACH WELCHEM MASS? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WELCHES MEDIUM ODER WELCHER ZUSATZ?. EINGETRAGENE ANTWORTEN: it grows in damp meadow ground / sobald die Zubereitung gebrauchsfertig ist / die bereitete Arbeitsflüssigkeit / add the expressed juice / boil it gently / diese aktive Portion / diese aktive Portion / ein vorgeschriebenes Maß / diese aktive Portion.	OPEN_FIELD_END	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f10r	2	f10r.8	1	8	qotchor chor otol chol cholor chol daiin dar	WORKING_MATERIAL+PRIOR_SOURCE+MEASURE+SAME_SOURCE+OWNER_OR_PART	ARBEITSFRAGEN: WELCHES ARBEITSMATERIAL LIEGT VOR? | WORAUS ODER MIT WELCHEM VORANSATZ? | WIE VIEL ODER NACH WELCHEM MASS? | BLEIBT DIE QUELLE DIESELBE? | WELCHER SIMPLEX ODER PFLANZENTEIL?. EINGETRAGENE ANTWORTEN: gathered before flowering / die bereitete Arbeitsflüssigkeit / one handful / mit der vorigen Zubereitung weiter / aus dem vorigen Ansatz entnehmen / mit der vorigen Zubereitung weiter / ein vorgeschriebenes Maß / daraus, aus demselben Ansatz.	OPEN_FIELD_END	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f10r	2	f10r.9	1	7	oykchor shor chor chy kaiiin dy chodaiin	WORKING_MATERIAL+CURRENT_ITEM+OWNER_OR_PART+MEDIUM_OR_INGREDIENT	ARBEITSFRAGEN: WELCHES ARBEITSMATERIAL LIEGT VOR? | WELCHER POSTEN IST JETZT AKTIV? | WELCHER SIMPLEX ODER PFLANZENTEIL? | WELCHES MEDIUM ODER WELCHER ZUSATZ?. EINGETRAGENE ANTWORTEN: when its flower has opened / die bereitete Arbeitsflüssigkeit / die bereitete Arbeitsflüssigkeit / diese aktive Portion / until a bitter taste remains / diese aktive Portion / preserve that portion under oil.	OPEN_FIELD_END	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f11r	1	f11r.1	1	7	tshol schoal cfhy shfydaiin cphy shey tchody	STATE_GATE+TRANSFER_CLEAN+HEAT_REST+APPLICATION+OWNER_OR_PART	ARBEITSFRAGEN: BIS WANN ODER BIS ZU WELCHEM ZUSTAND? | WIE SPÜLEN, SEIHEN ODER ABLASSEN? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHER SIMPLEX ODER PFLANZENTEIL?. EINGETRAGENE ANTWORTEN: gather the root in spring / from shaded woodland / before the flowering crown opens / press the bruised root through cloth / strain the liquor a second time / bis die Flüssigkeit klar abläuft / leave the strained liquor uncovered to cool.	DY	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f11r	1	f11r.1	2	1	shoyty	OWNER_OR_PART	ARBEITSFRAGEN: WELCHER SIMPLEX ODER PFLANZENTEIL?. EINGETRAGENE ANTWORTEN: reserve the flowering crown.	OPEN_FIELD_END	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f11r	1	f11r.4	1	5	dchol chy kchy dy daiin	CURRENT_ITEM+MEASURE+APPLICATION+OWNER_OR_PART+INDICATION	ARBEITSFRAGEN: WELCHER POSTEN IST JETZT AKTIV? | WIE VIEL ODER NACH WELCHEM MASS? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHER SIMPLEX ODER PFLANZENTEIL? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?. EINGETRAGENE ANTWORTEN: of this pictured simple / diese aktive Portion / bind it upon a swollen place / diese aktive Portion / ein vorgeschriebenes Maß.	OPEN_FIELD_END	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f11r	1	f11r.7	1	4	qotchy okchol cthy dy	STATE_GATE+CURRENT_ITEM+HEAT_REST+APPLICATION	ARBEITSFRAGEN: BIS WANN ODER BIS ZU WELCHEM ZUSTAND? | WELCHER POSTEN IST JETZT AKTIV? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN?. EINGETRAGENE ANTWORTEN: make a warm poultice from its leaves / lay it on while warm / sobald die Zubereitung gebrauchsfertig ist / diese aktive Portion.	OPEN_FIELD_END	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f55v	1	f55v.5	1	5	qokaiin chaiin ykain ykan ody	MEASURE+HEAT_REST+APPLICATION+OWNER_OR_PART+MEDIUM_OR_INGREDIENT	ARBEITSFRAGEN: WIE VIEL ODER NACH WELCHEM MASS? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHER SIMPLEX ODER PFLANZENTEIL? | WELCHES MEDIUM ODER WELCHER ZUSATZ?. EINGETRAGENE ANTWORTEN: begin the next measured entry / ein vorgeschriebenes Maß / boil the broad leaf gently / in white wine / steep it until the liquor is clear.	DY	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f55v	1	f55v.5	2	3	daiin chedy talam	MEASURE+TRANSFER_CLEAN+INDICATION	ARBEITSFRAGEN: WIE VIEL ODER NACH WELCHEM MASS? | WIE SPÜLEN, SEIHEN ODER ABLASSEN? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?. EINGETRAGENE ANTWORTEN: ein vorgeschriebenes Maß / stir until evenly mixed / wash the sore place once.	B3	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f55v	1	f55v.11	1	4	ykaiin cheoar cheeky oldy	HEAT_REST+APPLICATION+MEDIUM_OR_INGREDIENT	ARBEITSFRAGEN: WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHES MEDIUM ODER WELCHER ZUSATZ?. EINGETRAGENE ANTWORTEN: for its second medicinal use / add white wine / while still warm / boil gently; close the rubric.	DY	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f55v	1	f55v.11	2	6	aiin okal oltchy or y orain	MEASURE+WORKING_MATERIAL+CURRENT_ITEM+APPLICATION	ARBEITSFRAGEN: WIE VIEL ODER NACH WELCHEM MASS? | WELCHES ARBEITSMATERIAL LIEGT VOR? | WELCHER POSTEN IST JETZT AKTIV? | WIE ANWENDEN, BADEN ODER BINDEN?. EINGETRAGENE ANTWORTEN: ein vorgeschriebenes Maß / mix the two portions together / keep it in a covered jar / die bereitete Arbeitsflüssigkeit / diese aktive Portion / use the finished liquor fresh.	OPEN_FIELD_END	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f56r	1	f56r.5	1	4	chochor cho chodaly daiin	MEASURE+OWNER_OR_PART+MEDIUM_OR_INGREDIENT	ARBEITSFRAGEN: WIE VIEL ODER NACH WELCHEM MASS? | WELCHER SIMPLEX ODER PFLANZENTEIL? | WELCHES MEDIUM ODER WELCHER ZUSATZ?. EINGETRAGENE ANTWORTEN: gather the plant in spring / then take the following ingredient or plant part / the thin lower root / ein vorgeschriebenes Maß.	OPEN_FIELD_END	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f56r	1	f56r.7	1	5	sho kchol otchor choky dal	USE_OR_EXECUTE+DESTINATION+APPLICATION+OWNER_OR_PART+MEDIUM_OR_INGREDIENT	ARBEITSFRAGEN: WAS IST JETZT AUSZUFÜHREN? | WOHIN ODER AN WELCHES ZIEL? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHER SIMPLEX ODER PFLANZENTEIL? | WELCHES MEDIUM ODER WELCHER ZUSATZ?. EINGETRAGENE ANTWORTEN: then take the following ingredient or plant part / steep it in white wine / gathered before flowering / die aktive Portion verwenden / an die bezeichnete Zielstelle führen.	OPEN_FIELD_END	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f56r	1	f56r.8	1	4	schol choy choky cheeckhody	USE_OR_EXECUTE+HEAT_REST+APPLICATION+OWNER_OR_PART	ARBEITSFRAGEN: WAS IST JETZT AUSZUFÜHREN? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHER SIMPLEX ODER PFLANZENTEIL?. EINGETRAGENE ANTWORTEN: of this pictured simple / which grows on damp shaded heath / die aktive Portion verwenden / leave the plaster uncovered until dry.	DY	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f56r	1	f56r.12	1	4	sh cho kchey qokokchy	OWNER_OR_PART+MEDIUM_OR_INGREDIENT	ARBEITSFRAGEN: WELCHER SIMPLEX ODER PFLANZENTEIL? | WELCHES MEDIUM ODER WELCHER ZUSATZ?. EINGETRAGENE ANTWORTEN: its small seed or bud-head / then take the following ingredient or plant part / the dried narrow leaf / dry it in shade.	OPEN_FIELD_END	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f56r	1	f56r.13	1	3	okchy chokcheo kchal	APPLICATION+INDICATION	ARBEITSFRAGEN: WIE ANWENDEN, BADEN ODER BINDEN? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?. EINGETRAGENE ANTWORTEN: use the freshly prepared remedy / drink it for pain of the stomach / keep the remainder dry in shade.	OPEN_FIELD_END	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f56r	1	f56r.18	1	4	sho chokchy kchoar sotodan	APPLICATION+OWNER_OR_PART+MEDIUM_OR_INGREDIENT	ARBEITSFRAGEN: WIE ANWENDEN, BADEN ODER BINDEN? | WELCHER SIMPLEX ODER PFLANZENTEIL? | WELCHES MEDIUM ODER WELCHER ZUSATZ?. EINGETRAGENE ANTWORTEN: then take the following ingredient or plant part / use the freshly prepared remedy / mix it with honey / use it while freshly mixed.	OPEN_FIELD_END	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f56r	1	f56r.19	1	3	otchey keol daiin	TAKE_SELECTED+MEASURE+OWNER_OR_PART	ARBEITSFRAGEN: WAS IST ZU NEHMEN? | WIE VIEL ODER NACH WELCHEM MASS? | WELCHER SIMPLEX ODER PFLANZENTEIL?. EINGETRAGENE ANTWORTEN: nimm den bezeichneten Anteil / the pale opened flower / ein vorgeschriebenes Maß.	OPEN_FIELD_END	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
f81v	1	f81v.2	1	1	qokedy	TRANSFER_CLEAN+INDICATION	ARBEITSFRAGEN: WIE SPÜLEN, SEIHEN ODER ABLASSEN? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?. EINGETRAGENE ANTWORTEN: rinse the indicated place once; end this instruction.	DY	FIELD_EXPLICITLY_EXPANDED_NO_OMISSION
