page	record_ordinal	record_field_serial	locus	source_field_ordinal	visible_field	card_count	card_defaults_German_ordered	field_expansion_German	primary_medical_workshop_function	closure	coverage_status
f10r	1	1	f10r.2	1	dchey cthoor char chty os chair otytchol oky daiin etyd	10	Nimm die faserige untere Wurzel | wasche sie in fließendem Wasser | Daraus, aus demselben Ansatz | Gleichmäßig bearbeiten | zerstoße sie zu grobem Pulver | gib Rotwein hinzu | trinke es bei Magenschmerz | Die aktive Portion verwenden | Ein vorgeschriebenes Maß | bewahre die übrige Wurzel trocken auf	Nimm die faserige untere Wurzel; wasche sie in fließendem Wasser; Daraus, aus demselben Ansatz; Gleichmäßig bearbeiten; zerstoße sie zu grobem Pulver; gib Rotwein hinzu; trinke es bei Magenschmerz; Die aktive Portion verwenden; Ein vorgeschriebenes Maß; bewahre die übrige Wurzel trocken auf.	Quellenkontrolle	OPEN_FIELD_END	ALL_CARDS_EXPANDED_NO_BLANK
f10r	1	2	f10r.5	1	qokchy qotchol chol cthy	4	gebrauche die frisch bereitete Arznei | wende sie warm an | Mit der vorigen Zubereitung weiter | Sobald die Zubereitung gebrauchsfertig ist	Gebrauche die frisch bereitete Arznei; wende sie warm an; Mit der vorigen Zubereitung weiter; Sobald die Zubereitung gebrauchsfertig ist.	Voransatz oder Rückbezug	OPEN_FIELD_END	ALL_CARDS_EXPANDED_NO_BLANK
f10r	2	1	f10r.6	1	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	9	sie wächst auf feuchtem Wiesengrund | Sobald die Zubereitung gebrauchsfertig ist | Die bereitete Arbeitsflüssigkeit | gib den ausgepressten Saft hinzu | koche es sanft | Diese aktive Portion | Diese aktive Portion | Ein vorgeschriebenes Maß | Diese aktive Portion	Sie wächst auf feuchtem Wiesengrund; Sobald die Zubereitung gebrauchsfertig ist; Die bereitete Arbeitsflüssigkeit; gib den ausgepressten Saft hinzu; koche es sanft; Diese aktive Portion; Diese aktive Portion; Ein vorgeschriebenes Maß; Diese aktive Portion.	Reife- oder Zustandsschwelle	OPEN_FIELD_END	ALL_CARDS_EXPANDED_NO_BLANK
f10r	2	2	f10r.8	1	qotchor chor otol chol cholor chol daiin dar	8	vor der Blüte gesammelt | Die bereitete Arbeitsflüssigkeit | eine Handvoll | Mit der vorigen Zubereitung weiter | Aus dem vorigen Ansatz entnehmen | Mit der vorigen Zubereitung weiter | Ein vorgeschriebenes Maß | Daraus, aus demselben Ansatz	Vor der Blüte gesammelt; Die bereitete Arbeitsflüssigkeit; eine Handvoll; Mit der vorigen Zubereitung weiter; Aus dem vorigen Ansatz entnehmen; Mit der vorigen Zubereitung weiter; Ein vorgeschriebenes Maß; Daraus, aus demselben Ansatz.	Arbeitsstoff oder Medium	OPEN_FIELD_END	ALL_CARDS_EXPANDED_NO_BLANK
f10r	2	3	f10r.9	1	oykchor shor chor chy kaiiin dy chodaiin	7	wenn sich die Blüte geöffnet hat | Die bereitete Arbeitsflüssigkeit | Die bereitete Arbeitsflüssigkeit | Diese aktive Portion | bis ein bitterer Geschmack bleibt | Diese aktive Portion | bewahre diesen Anteil unter Öl	Wenn sich die Blüte geöffnet hat; Die bereitete Arbeitsflüssigkeit; Die bereitete Arbeitsflüssigkeit; Diese aktive Portion; bis ein bitterer Geschmack bleibt; Diese aktive Portion; bewahre diesen Anteil unter Öl.	Arbeitsstoff oder Medium	OPEN_FIELD_END	ALL_CARDS_EXPANDED_NO_BLANK
f11r	1	1	f11r.1	1	tshol schoal cfhy shfydaiin cphy shey tchody	7	sammle die Wurzel im Frühjahr | vom schattigen Waldort | bevor sich die Blütenkrone öffnet | presse die gequetschte Wurzel durch ein Tuch | seihe die Flüssigkeit ein zweites Mal | Bis die Flüssigkeit klar abläuft | lasse die geseihte Flüssigkeit offen abkühlen	Sammle die Wurzel im Frühjahr; vom schattigen Waldort; bevor sich die Blütenkrone öffnet; presse die gequetschte Wurzel durch ein Tuch; seihe die Flüssigkeit ein zweites Mal; Bis die Flüssigkeit klar abläuft; lasse die geseihte Flüssigkeit offen abkühlen.	Reife- oder Zustandsschwelle	DY	ALL_CARDS_EXPANDED_NO_BLANK
f11r	1	2	f11r.1	2	shoyty	1	behalte die Blütenkrone zurück	Behalte die Blütenkrone zurück.	Pflanze, Teil oder Bildargument	OPEN_FIELD_END	ALL_CARDS_EXPANDED_NO_BLANK
f11r	1	3	f11r.4	1	dchol chy kchy dy daiin	5	von diesem abgebildeten Simplex | Diese aktive Portion | binde es auf die geschwollene Stelle | Diese aktive Portion | Ein vorgeschriebenes Maß	Von diesem abgebildeten Simplex; Diese aktive Portion; binde es auf die geschwollene Stelle; Diese aktive Portion; Ein vorgeschriebenes Maß.	aktiver Arbeitsposten	OPEN_FIELD_END	ALL_CARDS_EXPANDED_NO_BLANK
f11r	1	4	f11r.7	1	qotchy okchol cthy dy	4	bereite aus den Blättern einen warmen Umschlag | lege ihn warm auf | Sobald die Zubereitung gebrauchsfertig ist | Diese aktive Portion	Bereite aus den Blättern einen warmen Umschlag; lege ihn warm auf; Sobald die Zubereitung gebrauchsfertig ist; Diese aktive Portion.	Reife- oder Zustandsschwelle	OPEN_FIELD_END	ALL_CARDS_EXPANDED_NO_BLANK
f55v	1	1	f55v.5	1	qokaiin chaiin ykain ykan ody	5	beginne den nächsten abgemessenen Posten | Ein vorgeschriebenes Maß | koche das breite Blatt sanft | in Weißwein | lasse es ziehen, bis die Flüssigkeit klar ist	Beginne den nächsten abgemessenen Posten; Ein vorgeschriebenes Maß; koche das breite Blatt sanft; in Weißwein; lasse es ziehen, bis die Flüssigkeit klar ist.	Dosierung	DY	ALL_CARDS_EXPANDED_NO_BLANK
