surface	working_meaning_de	composition	strongest_rival_de	card_type	strength	occurrences	scope	status
chory	Pflanzenteil in Grundform	CHOR_PLANT_PART+Y_START_OR_CLOSE	abgeschlossener Blüten- oder Fruchtteil	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	11	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V42_REPLACEABLE
tchoky	kühle den Trockenansatz und erwärme ihn anschließend leicht	T_COLD+CH_DRY+O_PREP+K_HOT+Y_START_OR_CLOSE	kalt-heißer Trockenansatz in Grundform	LEARNED_ACTION_WHOLE	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V42_REPLACEABLE
leeesain	Holzdroge mit Saatgut auf Langstufe, Charge II	L_WOOD+EEE_LONG_OR_FINAL+S_SEED+AIN_II	allgemeine Holzdrogen-Species der zweiten Charge	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V42_REPLACEABLE
shdpchy	feuchte eine Dosis Pulver an und trockne sie leicht an	SH_MOIST+D_MEASURE+P_POWDER+CH_DRY+Y_START_OR_CLOSE	leicht getrocknete Pulverpaste	LEARNED_ACTION_WHOLE	MEDIUM_EXACT_WHOLE	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V42_REPLACEABLE
oshey	Ansatz bis zur mittleren Stufe eingeweicht	O_PREP+SH_MOIST+E_MIDDLE+Y_START_OR_CLOSE	weiche den Ansatz bis zur mittleren Stufe ein	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V42_REPLACEABLE
keechy	vollständig erhitzen und anschließend leicht antrocknen	K_HOT+EE_END+CH_DRY+Y_START_OR_CLOSE	heiß getrocknetes Gut in Grundform	CONTEXT_SCOPED_SHORT_FORM	CONTEXT_READER_MERGE__FREE_DEFAULT_EXPLORATORY	3	CONTEXT_SCOPED_READER_BOUNDARY	ACCEPT_V42_REPLACEABLE
opchy	Trockenpulverpräparat in Grundstufe	O_PREP+P_POWDER+CH_DRY+Y_START_OR_CLOSE	leicht getrocknetes Pulver im Ansatz	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	14	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V42_REPLACEABLE
chry	leicht getrocknete Wurzeldroge	CH_DRY+R_ROOT+Y_START_OR_CLOSE	getrocknete Rohwurzel	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V42_REPLACEABLE
lcheod	trockne den Holzdrogenansatz bis zur mittleren Stufe und schließe ihn ab	L_WOOD+CH_DRY+E_MIDDLE+O_PREP+D_TERM_CLOSE	getrockneten Holzdrogenansatz nach mittlerer Stufe abziehen	LEARNED_ACTION_WHOLE	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V42_REPLACEABLE
cheodaiin	drei Dosen Trockenansatz auf mittlerer Trockenstufe	CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AIIN_III	Trockenansatz der dritten Formklasse	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	12	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V42_REPLACEABLE
lcheedy	Holzdroge vollständig trocknen und abschließen	L_WOOD+CH_DRY+EE_END+DY_FINISHED	vollständig getrocknete Holzdroge	LEARNED_ACTION_WHOLE	STRONG_PRACTICAL_OR_COMPOSITIONAL	9	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V42_REPLACEABLE
chearaiin	drei Teile der ersten Trockenfraktion	CH_DRY+E_MIDDLE+AR_FRACTION_I+AIIN_III	erste Trockenfraktion in Sortierklasse III	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V42_REPLACEABLE
chdaldy	abgemessenen Rohstoff I trocknen und abschließen	CH_DRY+D_MEASURE+AL_RAW_I+DY_FINISHED	fertig getrocknete Rohstoffmenge I	LEARNED_ACTION_WHOLE	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V42_REPLACEABLE
