rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	reader_merge_surface	zl3b_line	v41_translation_de	v42_translation_de	status
1	f100v	f100v.22	chory	Pflanzenteil in Grundform	Pflanzenteil in Grundform	PRODUCTIVE_COMPOUND	CHOR_PLANT_PART+Y_START_OR_CLOSE	abgeschlossener Blüten- oder Fruchtteil	MEDIUM_EXACT_WHOLE	NONE	daiin cheky chory	drei Maße; bis zur mittleren Trockenstufe, dann leicht erhitzen; [chory:?]	drei Maße; bis zur mittleren Trockenstufe, dann leicht erhitzen; Pflanzenteil in Grundform	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
2	f103r	f103r.24	tchoky	kühle den Trockenansatz und erwärme ihn anschließend leicht	kühle den Trockenansatz und erwärme ihn anschließend leicht	LEARNED_ACTION_WHOLE	T_COLD+CH_DRY+O_PREP+K_HOT+Y_START_OR_CLOSE	kalt-heißer Trockenansatz in Grundform	MEDIUM_EXACT_WHOLE	NONE	tchoky okeal shedy qokal oty opchedy qotain shcthy otey dain oteey oky	[tchoky:?]; Rohstoff I im Ansatz, heiß in der Gradmitte; bis zur mittleren Einweichstufe gebracht; Rohstoff I, heiß am Gradanfang; kalter Ansatz am Anfang des Grades; vollständig getrocknetes Pulverpräparat; kalt im qo-Rahmen, Grad II; feuchte Krautdroge; Ansatz bis zur mittleren Kühlstufe; zwei Maße; Ansatz auf Kühlendstufe; leicht erhitzter Ansatz	kühle den Trockenansatz und erwärme ihn anschließend leicht; Rohstoff I im Ansatz, heiß in der Gradmitte; bis zur mittleren Einweichstufe gebracht; Rohstoff I, heiß am Gradanfang; kalter Ansatz am Anfang des Grades; vollständig getrocknetes Pulverpräparat; kalt im qo-Rahmen, Grad II; feuchte Krautdroge; Ansatz bis zur mittleren Kühlstufe; zwei Maße; Ansatz auf Kühlendstufe; leicht erhitzter Ansatz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
3	f103r	f103r.49	leeesain	Holzdroge mit Saatgut auf Langstufe, Charge II	Holzdroge mit Saatgut auf Langstufe, Charge II	PRODUCTIVE_COMPOUND	L_WOOD+EEE_LONG_OR_FINAL+S_SEED+AIN_II	allgemeine Holzdrogen-Species der zweiten Charge	LOW_EXPLORATORY	NONE	okeey lr ain l ol sheed qokeey sheol qokeedy shedy qoky leeesain am	Ansatz auf Heizendstufe; Wurzelholz; zwei Teile; ein Pfund; Grundansatz; Einweichung vollständig abgeschlossen; bis zur Heizendstufe; feuchtes Material; bis zur Heizendstufe gebracht; bis zur mittleren Einweichstufe gebracht; leicht erhitzt; [leeesain:?]; Maßeinheit I	Ansatz auf Heizendstufe; Wurzelholz; zwei Teile; ein Pfund; Grundansatz; Einweichung vollständig abgeschlossen; bis zur Heizendstufe; feuchtes Material; bis zur Heizendstufe gebracht; bis zur mittleren Einweichstufe gebracht; leicht erhitzt; Holzdroge mit Saatgut auf Langstufe, Charge II; Maßeinheit I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
4	f103v	f103v.33	shdpchy	feuchte eine Dosis Pulver an und trockne sie leicht an	feuchte eine Dosis Pulver an und trockne sie leicht an	LEARNED_ACTION_WHOLE	SH_MOIST+D_MEASURE+P_POWDER+CH_DRY+Y_START_OR_CLOSE	leicht getrocknete Pulverpaste	MEDIUM_EXACT_WHOLE	NONE	yshey lkeey qokain okey okaiin cheody otey shdpchy opchey oly	weiche hiervon bis zur mittleren Stufe ein; Drogenholz, heiß am Gradende; heiß, Grad II; Ansatz bis zur mittleren Heizstufe; Ansatz auf Heizstufe III; getrockneter Ansatz; Ansatz bis zur mittleren Kühlstufe; [shdpchy:?]; Trockenpulver-Ansatz, Form I; seihe Vorstehendes ab.	weiche hiervon bis zur mittleren Stufe ein; Drogenholz, heiß am Gradende; heiß, Grad II; Ansatz bis zur mittleren Heizstufe; Ansatz auf Heizstufe III; getrockneter Ansatz; Ansatz bis zur mittleren Kühlstufe; feuchte eine Dosis Pulver an und trockne sie leicht an; Trockenpulver-Ansatz, Form I; seihe Vorstehendes ab.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
5	f103v	f103v.36	oshey	Ansatz bis zur mittleren Stufe eingeweicht	Ansatz bis zur mittleren Stufe eingeweicht	PRODUCTIVE_COMPOUND	O_PREP+SH_MOIST+E_MIDDLE+Y_START_OR_CLOSE	weiche den Ansatz bis zur mittleren Stufe ein	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	saiin shey qokeey oshey olshedy	Samen/Saatgut, Typ/Charge III; bis zur mittleren Einweichstufe; bis zur Heizendstufe; [oshey:?]; Holzdroge im Ansatz vollständig eingeweicht	Samen/Saatgut, Typ/Charge III; bis zur mittleren Einweichstufe; bis zur Heizendstufe; Ansatz bis zur mittleren Stufe eingeweicht; Holzdroge im Ansatz vollständig eingeweicht	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
6	f103v	f103v.38	keechy	vollständig erhitzen und anschließend leicht antrocknen	erhitze Trockengut vollständig und trockne es leicht nach	CONTEXT_SCOPED_SHORT_FORM	K_HOT+EE_END+CH_DRY+Y_START_OR_CLOSE	heiß getrocknetes Gut in Grundform	CONTEXT_READER_MERGE__FREE_DEFAULT_EXPLORATORY	cholkeechy	oteey l chees ol chey chey chol keechy	Ansatz auf Kühlendstufe; Holzdroge in der gebundenen Anschlussform; Grundansatz; bis zur mittleren Trockenstufe; bis zur mittleren Trockenstufe; Trockengut; [keechy:?]	Ansatz auf Kühlendstufe; Holzdroge in der gebundenen Anschlussform; Grundansatz; bis zur mittleren Trockenstufe; bis zur mittleren Trockenstufe; erhitze Trockengut vollständig und trockne es leicht nach	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
7	f103v	f103v.43	opchy	Trockenpulverpräparat in Grundstufe	Trockenpulverpräparat in Grundstufe	PRODUCTIVE_COMPOUND	O_PREP+P_POWDER+CH_DRY+Y_START_OR_CLOSE	leicht getrocknetes Pulver im Ansatz	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	orain chckhey qokaiin shckhy shtal opchy lkeedy chdy lchedy	Drogenportion II; Arzneikompositum: trocken, Gradmitte; heiß, Grad III; Arzneikompositum: feucht, Gradanfang; Rohstoff I, feucht-kalt am Gradanfang; [opchy:?]; Drogenholz, heiß am Gradende, abgeschlossen; angetrocknet; getrocknetes Drogenholz	Drogenportion II; Arzneikompositum: trocken, Gradmitte; heiß, Grad III; Arzneikompositum: feucht, Gradanfang; Rohstoff I, feucht-kalt am Gradanfang; Trockenpulverpräparat in Grundstufe; Drogenholz, heiß am Gradende, abgeschlossen; angetrocknet; getrocknetes Drogenholz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
8	f104r	f104r.4	chry	leicht getrocknete Wurzeldroge	leicht getrocknete Wurzeldroge	PRODUCTIVE_COMPOUND	CH_DRY+R_ROOT+Y_START_OR_CLOSE	getrocknete Rohwurzel	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	o l sheedy qokeedy chedal qodaiin qodaiin chry	Grundansatz; vollständig eingeweicht; bis zur Heizendstufe gebracht; trockene abgemessene Rohstoffmenge I in der Gradmitte; Vorstehendes: Stufe III; Folgendes: Stufe III; [chry:?]	Grundansatz; vollständig eingeweicht; bis zur Heizendstufe gebracht; trockene abgemessene Rohstoffmenge I in der Gradmitte; Vorstehendes: Stufe III; Folgendes: Stufe III; leicht getrocknete Wurzeldroge	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
9	f104v	f104v.9	lcheod	trockne den Holzdrogenansatz bis zur mittleren Stufe und schließe ihn ab	trockne den Holzdrogenansatz bis zur mittleren Stufe und schließe ihn ab	LEARNED_ACTION_WHOLE	L_WOOD+CH_DRY+E_MIDDLE+O_PREP+D_TERM_CLOSE	getrockneten Holzdrogenansatz nach mittlerer Stufe abziehen	MEDIUM_EXACT_WHOLE	NONE	ycheo lcheod otaiin qokeedy qokaiin cheor ol chedaiin qotar chedy qoty dal	nimm hierzu den Trockenansatz; [lcheod:?]; kalt im Zubereitungsrahmen, Grad III; bis zur Heizendstufe gebracht; heiß, Grad III; trockener Drogenteil; Grundansatz; abgemessene Trockendroge, Dosis III; kalte Drogenfraktion I; bis zur mittleren Trockenstufe gebracht; leicht gekühlt; abgemessene Rohstoffmenge I	nimm hierzu den Trockenansatz; trockne den Holzdrogenansatz bis zur mittleren Stufe und schließe ihn ab; kalt im Zubereitungsrahmen, Grad III; bis zur Heizendstufe gebracht; heiß, Grad III; trockener Drogenteil; Grundansatz; abgemessene Trockendroge, Dosis III; kalte Drogenfraktion I; bis zur mittleren Trockenstufe gebracht; leicht gekühlt; abgemessene Rohstoffmenge I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
10	f105v	f105v.22	cheodaiin	drei Dosen Trockenansatz auf mittlerer Trockenstufe	drei Dosen Trockenansatz auf mittlerer Trockenstufe	PRODUCTIVE_COMPOUND	CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AIIN_III	Trockenansatz der dritten Formklasse	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	daiin cheodaiin chedal air okaiin cheey	drei Maße; [cheodaiin:?]; trockene abgemessene Rohstoffmenge I in der Gradmitte; zweite Drogenfraktion; Ansatz auf Heizstufe III; vollständig getrocknet	drei Maße; drei Dosen Trockenansatz auf mittlerer Trockenstufe; trockene abgemessene Rohstoffmenge I in der Gradmitte; zweite Drogenfraktion; Ansatz auf Heizstufe III; vollständig getrocknet	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
