family	surface	card_type	occurrences	lines	pages	working_default_de	composition	claim_scope
ACTION	tchoky	LEARNED_ACTION_WHOLE	2	2	2	kühle den Trockenansatz und erwärme ihn anschließend leicht	T_COLD+CH_DRY+O_PREP+K_HOT+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	shdpchy	LEARNED_ACTION_WHOLE	1	1	1	feuchte eine Dosis Pulver an und trockne sie leicht an	SH_MOIST+D_MEASURE+P_POWDER+CH_DRY+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	keechy	CONTEXT_SCOPED_SHORT_FORM	3	3	3	vollständig erhitzen und anschließend leicht antrocknen	K_HOT+EE_END+CH_DRY+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	lcheod	LEARNED_ACTION_WHOLE	2	2	2	trockne den Holzdrogenansatz bis zur mittleren Stufe und schließe ihn ab	L_WOOD+CH_DRY+E_MIDDLE+O_PREP+D_TERM_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	lcheedy	LEARNED_ACTION_WHOLE	9	8	7	Holzdroge vollständig trocknen und abschließen	L_WOOD+CH_DRY+EE_END+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
ACTION	chdaldy	LEARNED_ACTION_WHOLE	1	1	1	abgemessenen Rohstoff I trocknen und abschließen	CH_DRY+D_MEASURE+AL_RAW_I+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
ACTION	pcheedy	LEARNED_ACTION_WHOLE	1	1	1	Pulver vollständig trocknen und abschließen	P_POWDER+CH_DRY+EE_END+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
ACTION	yty	LEARNED_ACTION_WHOLE	18	17	15	kühle hiervon leicht ab	Y_REFERENCE+T_COLD+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	shed	LEARNED_ACTION_WHOLE	18	18	16	Einweichen bis zur mittleren Stufe abschließen	SH_MOIST+E_MIDDLE+D_TERM_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	ycheey	LEARNED_ACTION_WHOLE	18	18	16	trockne hiervon bis zur Endstufe	Y_REFERENCE+CH_DRY+EE_END+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	chealy	LEARNED_ACTION_WHOLE	3	3	3	Rohstoff I bis zur mittleren Trockenstufe bringen	CH_DRY+E_MIDDLE+AL_RAW_I+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	qokeeor	LEARNED_ACTION_WHOLE	8	8	8	erhitze eine Portion vollständig	QO_COMMAND+K_HOT+EE_END+OR_PORTION	exact whole; composition predicts relatives only as a future explicit card
ACTION	ykeey	LEARNED_ACTION_WHOLE	49	47	40	erhitze hiervon bis zur Endstufe und schließe ab	Y_REFERENCE+K_HOT+EE_END+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
