rank	locus	zl3b_line	manual_workshop_translation_de	notes	automatic_v42_translation_de	v42_unknown_tokens	comparison_scope
1	f100v.22	daiin cheky chory	Etikett: drei Maße eines Pflanzenteils in Grundform, bis zur mittleren Trockenstufe getrocknet und anschließend kurz erwärmt.	Rein nominale Label-Lesung; chory wird als chor+y gelesen und benennt den Pflanzenteil in Grundform.	drei Maße; bis zur mittleren Trockenstufe, dann leicht erhitzen; Pflanzenteil in Grundform	0	manual workshop prose versus deterministic V42 renderer; neither is confirmed plaintext
2	f103v.33	yshey lkeey qokain okey okaiin cheody otey shdpchy opchey oly	Weiche hiervon bis zur Mitte ein. Erhitze die Holzdroge vollständig; bringe den Ansatz erst auf Heizstufe II und danach auf Stufe III. Trockne ihn, kühle mäßig, feuchte eine Dosis Pulver an und trockne sie leicht nach. Nimm den Trockenpulveransatz der Form I und seihe ihn ab.	Keine unmarkierte Portionsannahme; shdpchy bezeichnet das Anfeuchten und leichte Nachtrocknen einer Pulverdosis, opchey den Trockenpulveransatz der Form I.	weiche hiervon bis zur mittleren Stufe ein; Drogenholz, heiß am Gradende; heiß, Grad II; Ansatz bis zur mittleren Heizstufe; Ansatz auf Heizstufe III; getrockneter Ansatz; Ansatz bis zur mittleren Kühlstufe; feuchte eine Dosis Pulver an und trockne sie leicht an; Trockenpulver-Ansatz, Form I; seihe Vorstehendes ab.	0	manual workshop prose versus deterministic V42 renderer; neither is confirmed plaintext
3	f103v.36	saiin shey qokeey oshey olshedy	Nimm Saatgut der Charge III, weiche es bis zur Mitte ein und erhitze vollständig. Weiche den Ansatz danach erneut bis zur Mitte und die darin enthaltene Holzdroge vollständig ein.	Initiales s ist Saatgut; saiin bezeichnet Charge III, oshey und olshedy lizenzieren Einweichen, aber weder eine Wassermenge noch Ausziehen.	Samen/Saatgut, Typ/Charge III; bis zur mittleren Einweichstufe; bis zur Heizendstufe; Ansatz bis zur mittleren Stufe eingeweicht; Holzdroge im Ansatz vollständig eingeweicht	0	manual workshop prose versus deterministic V42 renderer; neither is confirmed plaintext
4	f104r.4	o l sheedy qokeedy chedal qodaiin qodaiin chry	Weiche den Grundansatz vollständig ein und erhitze ihn bis zur Endstufe. Trockne die erste abgemessene Rohdrogenportion bis zur Mitte; bringe sowohl den vorherigen als auch den folgenden Posten auf Qualitätsstufe III und gib die leicht getrocknete Wurzeldroge hinzu.	Die sichtbare Folge o l wird reader-normalisiert als ol, also Grundansatz; qodaiin bezeichnet Qualitätsgrad III und chry leicht getrocknete Wurzeldroge.	Grundansatz; vollständig eingeweicht; bis zur Heizendstufe gebracht; trockene abgemessene Rohstoffmenge I in der Gradmitte; Vorstehendes: Stufe III; Folgendes: Stufe III; leicht getrocknete Wurzeldroge	0	manual workshop prose versus deterministic V42 renderer; neither is confirmed plaintext
5	f104v.9	ycheo lcheod otaiin qokeedy qokaiin cheor ol chedaiin qotar chedy qoty dal	Nimm den Trockenansatz hierzu. Trockne den Holzdrogenansatz bis zur mittleren Stufe und schließe ihn; kühle den Ansatz auf Stufe III, erhitze ihn bis zur Endstufe und anschließend auf Stufe III. Füge einen trockenen Drogenteil und eine abgemessene Trockendroge der Dosisstufe III hinzu. Gib die erste Kaltfraktion zu, trockne bis zur Mitte, kühle kurz und miss Rohdroge I ab.	lcheod bezeichnet Trocknen und Abschluss, nicht ohne eigenen Flussmarker ein Abziehen; otaiin und qokaiin sind Prozessstufen III.	nimm hierzu den Trockenansatz; trockne den Holzdrogenansatz bis zur mittleren Stufe und schließe ihn ab; kalt im Zubereitungsrahmen, Grad III; bis zur Heizendstufe gebracht; heiß, Grad III; trockener Drogenteil; Grundansatz; abgemessene Trockendroge, Dosis III; kalte Drogenfraktion I; bis zur mittleren Trockenstufe gebracht; leicht gekühlt; abgemessene Rohstoffmenge I	0	manual workshop prose versus deterministic V42 renderer; neither is confirmed plaintext
6	f105v.22	daiin cheodaiin chedal air okaiin cheey	Nimm drei Maße sowie drei Dosen Trockenansatz auf mittlerer Trockenstufe. Gib eine erste abgemessene, bis zur Mitte getrocknete Rohdrogenportion und die zweite Fraktion hinzu, erhitze den Ansatz auf Stufe III und trockne ihn vollständig.	cheodaiin ist CH+E+O+D+AIIN und bezeichnet drei Dosen Trockenansatz auf mittlerer Trockenstufe.	drei Maße; drei Dosen Trockenansatz auf mittlerer Trockenstufe; trockene abgemessene Rohstoffmenge I in der Gradmitte; zweite Drogenfraktion; Ansatz auf Heizstufe III; vollständig getrocknet	0	manual workshop prose versus deterministic V42 renderer; neither is confirmed plaintext
7	f106r.12	okeey lcheedy olkeey qokeeo dchedy	Erhitze den Ansatz vollständig. Trockne Holzdroge ganz und schließe sie ab; erhitze den Holzdrogenansatz vollständig, führe den heißen Ansatz in Bindungsstufe II und schließe mit einer fertig abgemessenen Trockendosis.	lcheedy ist vollständiges Trocknen von Holzdroge; qokeeo bezeichnet einen heißen Ansatz in Bindungsstufe II, keine zweite Fraktion.	Ansatz auf Heizendstufe; Holzdroge vollständig trocknen und abschließen; Holzdrogenansatz vollständig erhitzt; heißer Ansatz, Bindungsstufe II; abgemessene Trockendroge, fertig	0	manual workshop prose versus deterministic V42 renderer; neither is confirmed plaintext
8	f106r.21	olkeedy qokchedy cheo lkeedy chearaiin okain	Erhitze den Holzdrogenansatz vollständig und schließe ihn ab. Erhitze und trockne ihn bis zur Mitte, gib Trockenansatz und fertig erhitzte Holzdroge hinzu. Füge drei Teile der ersten Trockenfraktion bei und halte den Ansatz auf Heizstufe II.	chearaiin bezeichnet drei Teile der ersten Trockenfraktion; die finale Karte lizenziert hier keinen zusätzlichen Trockenimperativ.	Holzdrogenansatz vollständig erhitzt und abgeschlossen; heiß und bis zur mittleren Trockenstufe gebracht; trocken angesetzte Zubereitung; Drogenholz, heiß am Gradende, abgeschlossen; drei Teile der ersten Trockenfraktion; heiß im Zubereitungsrahmen, Grad II	0	manual workshop prose versus deterministic V42 renderer; neither is confirmed plaintext
9	f107r.12	y chol chol loraiir aiinal	Etikett: zwei Posten Trockengut, eine Holzdrogenportion der dritten Fraktion und drei Teile Rohdroge I.	Labelzeile; BOS-y ist Etikettöffnung, loraiir eine Holzdrogenportion der dritten Fraktion und kein Dreimengenwert.	Eintrag: Trockengut; Trockengut; Holzdrogenportion der dritten Fraktion; drei Teile Rohdroge I	0	manual workshop prose versus deterministic V42 renderer; neither is confirmed plaintext
10	f108v.16	okeey lshey qokeeal lkeey okeol okedy qotal sholkeedy chedy qokain teedu	Erhitze den Ansatz bis zur Endstufe. Weiche Holzdroge ein, gib Rohdroge I auf der Heizendstufe und vollständig erhitzte Holzdroge hinzu. Erwärme den Grundansatz bis zur mittleren Heizstufe und schließe diese; gib Rohdroge I auf kalter Anfangsstufe und die vollständig erhitzte Feuchtdroge hinzu, trockne bis zur Mitte, erhitze auf Stufe II und schließe die Kühlendstufe ab.	qokeeal bezeichnet erhitzte Rohdroge I, okeol den bis zur mittleren Heizstufe erwärmten Grundansatz und teedu den Abschluss der Kühlendstufe.	Ansatz auf Heizendstufe; eingeweichtes Drogenholz, Form I; Rohstoff I, heiß am Gradende; Drogenholz, heiß am Gradende; Grundansatz bis zur mittleren Heizstufe erwärmt; Ansatz bis zur mittleren Heizstufe, abgeschlossen; Rohstoff I, kalt am Gradanfang; feuchte Drogenbasis, vollständig erhitzt; bis zur mittleren Trockenstufe gebracht; heiß, Grad II; Kühlendstufe abschließen	0	manual workshop prose versus deterministic V42 renderer; neither is confirmed plaintext
