rank	strict_complete	page	locus	section	language	hand	token_count	known_tokens	context_licensed_tokens	ambiguous_tokens	reader_unstable_tokens	unknown_tokens	coverage_fraction	reader_exact_tokens	split_normalized_tokens	all_three_present	all_present_exact	zl3b_line	token_glosses_de	gloss_sources	scope_states	unknown_ordinals	unknown_surfaces	working_translation_de
1	1	f100v	f100v.22	P	A	1	3	3	1	0	0	0	1.000000	3	3	1	1	daiin cheky chory	Grad-/Maßwert III | bis zur mittleren Trockenstufe, dann leicht erhitzen | Pflanzenteil in Grundform	V13:CONTEXTUAL_VALUE_SERIES | GDT664:EXACT_WHOLE:cheky | GDT665:EXACT_WHOLE:chory	KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	NONE	NONE	drei Maße; bis zur mittleren Trockenstufe, dann leicht erhitzen; Pflanzenteil in Grundform
2	1	f103r	f103r.24	S	B	3	12	12	3	0	0	0	1.000000	12	12	1	1	tchoky okeal shedy qokal oty opchedy qotain shcthy otey dain oteey oky	kühle den Trockenansatz und erwärme ihn anschließend leicht | Rohstoffklasse I im Ansatz, heiß in der Gradmitte | feucht in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | kalter Ansatz am Anfang des Grades | vollständig getrocknetes Pulverpräparat | kalt im qo-Rahmen, Grad II | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | kalter Ansatz in der Mitte des Grades | Grad-/Maßwert II | kalter Ansatz am Ende des Grades | heißer Ansatz am Anfang des Grades	GDT665:EXACT_WHOLE:tchoky | GDT656:NEW_EXACT_WHOLE | GDT647:FAMILY_MIGRATION | GDT656:REVISE_AL_QUALITY_MODEL | GDT647:FAMILY_MIGRATION | GDT664:EXACT_WHOLE:opchedy | V13:QUALITY_DEGREE_SERIES | V13:MOIST_CTH_MATERIAL | GDT647:FAMILY_MIGRATION | V13:CONTEXTUAL_VALUE_SERIES | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	NONE	NONE	kühle den Trockenansatz und erwärme ihn anschließend leicht; Rohstoff I im Ansatz, heiß in der Gradmitte; bis zur mittleren Einweichstufe gebracht; Rohstoff I, heiß am Gradanfang; kalter Ansatz am Anfang des Grades; vollständig getrocknetes Pulverpräparat; kalt im qo-Rahmen, Grad II; feuchte Krautdroge; Ansatz bis zur mittleren Kühlstufe; zwei Maße; Ansatz auf Kühlendstufe; leicht erhitzter Ansatz
3	0	f103r	f103r.49	S	B	3	13	13	2	0	5	0	1.000000	8	9	1	0	okeey lr ain l ol sheed qokeey sheol qokeedy shedy qoky leeesain am	heißer Ansatz am Ende des Grades | Wurzelholz | Menge-/Klassenwert II | Pfund / Gewichtseinheit | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Einweichung vollständig abgeschlossen | heiß am Ende des Grades | feuchtes Material | heiß am Ende des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | heiß am Anfang des Grades | Holzdroge mit Saatgut auf Langstufe, Charge II | Maßeinheit I	GDT647:FAMILY_MIGRATION | GDT664:EXACT_WHOLE:lr | V13:VALUE_MINIM_SERIES | GDT663:L_FREE_WEIGHT_SIGLUM:NONE | V13:QUALITY_STATE_MATERIAL_CARRIER | GDT664:EXACT_WHOLE:sheed | GDT647:FAMILY_MIGRATION | V13:TARGET_SURFACE_DEFAULT | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT665:EXACT_WHOLE:leeesain | GDT661:EXACT_WHOLE:am	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE	NONE	NONE	Ansatz auf Heizendstufe; Wurzelholz; zwei Teile; ein Pfund; Grundansatz; Einweichung vollständig abgeschlossen; bis zur Heizendstufe; feuchtes Material; bis zur Heizendstufe gebracht; bis zur mittleren Einweichstufe gebracht; leicht erhitzt; Holzdroge mit Saatgut auf Langstufe, Charge II; Maßeinheit I
4	1	f103v	f103v.33	S	B	3	10	10	0	0	0	0	1.000000	10	10	1	1	yshey lkeey qokain okey okaiin cheody otey shdpchy opchey oly	weiche hiervon bis zur mittleren Stufe ein | Drogenholz, heiß am Gradende | heiß, Grad II | heißer Ansatz in der Mitte des Grades | heiß, Grad III, im Ansatzrahmen | getrockneter Ansatz | kalter Ansatz in der Mitte des Grades | feuchte eine Dosis Pulver an und trockne sie leicht an | Trockenpulver-Ansatz, Form I | abseihen	GDT664:EXACT_WHOLE:yshey | GDT661:EXACT_WHOLE:lkeey | V13:TARGET_SURFACE_DEFAULT | GDT647:FAMILY_MIGRATION | V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | GDT647:FAMILY_MIGRATION | GDT665:EXACT_WHOLE:shdpchy | GDT663:EXACT_WHOLE:opchey | GDT662:EXACT_WHOLE:oly	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	NONE	NONE	weiche hiervon bis zur mittleren Stufe ein; Drogenholz, heiß am Gradende; heiß, Grad II; Ansatz bis zur mittleren Heizstufe; Ansatz auf Heizstufe III; getrockneter Ansatz; Ansatz bis zur mittleren Kühlstufe; feuchte eine Dosis Pulver an und trockne sie leicht an; Trockenpulver-Ansatz, Form I; seihe Vorstehendes ab.
5	0	f103v	f103v.36	S	B	3	5	5	0	0	1	0	1.000000	4	4	1	0	saiin shey qokeey oshey olshedy	Samen/Saatgut, Typ/Charge III | feucht in der Mitte des Grades | heiß am Ende des Grades | Ansatz bis zur mittleren Stufe eingeweicht | Holzdroge im Ansatz vollständig eingeweicht	V13:SCOPED_CONCRETE_HEAD_FORM | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT665:EXACT_WHOLE:oshey | GDT664:EXACT_WHOLE:olshedy	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE	NONE	NONE	Samen/Saatgut, Typ/Charge III; bis zur mittleren Einweichstufe; bis zur Heizendstufe; Ansatz bis zur mittleren Stufe eingeweicht; Holzdroge im Ansatz vollständig eingeweicht
6	0	f103v	f103v.38	S	B	3	8	8	0	1	4	0	1.000000	4	4	1	0	oteey l chees ol chey chey chol keechy	kalter Ansatz am Ende des Grades | Holzdroge in der gebundenen Anschlussform | vollständig getrocknete Kräutermischung | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken in der Mitte des Grades | trocken in der Mitte des Grades | trocken; nominal trockenes Gut/Material | erhitze Trockengut vollständig und trockne es leicht nach	GDT647:FAMILY_MIGRATION | GDT663:L_READER_MERGE_RIGHT:lchees | GDT664:EXACT_WHOLE:chees | V13:QUALITY_STATE_MATERIAL_CARRIER | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | V13:DRY_OL_FORM | GDT665:KEECHY_READER_MERGE_LEFT_NOVEL:cholkeechy	KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | AMBIGUOUS_ACTIVE_RIVAL | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE	NONE	NONE	Ansatz auf Kühlendstufe; Holzdroge in der gebundenen Anschlussform; Grundansatz; bis zur mittleren Trockenstufe; bis zur mittleren Trockenstufe; erhitze Trockengut vollständig und trockne es leicht nach
7	0	f103v	f103v.40	S	B	3	10	10	0	1	2	0	1.000000	8	8	1	0	yteey sheal shey qoain ol keey qokaiin shckhy lchedy rain	kühle hiervon bis zur Endstufe ab | Rohstoffklasse I, feucht in der Gradmitte | feucht in der Mitte des Grades | nimm zwei Teile | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiß am Ende des Grades | heiß, Grad III | Arzneikompositum: feucht, Gradanfang | getrocknetes Drogenholz | Wurzeldroge in Charge II	GDT665:EXACT_WHOLE:yteey | GDT656:NEW_EXACT_WHOLE | GDT647:FAMILY_MIGRATION | GDT665:EXACT_WHOLE:qoain | V13:QUALITY_STATE_MATERIAL_CARRIER | GDT647:FAMILY_MIGRATION | V13:TARGET_SURFACE_DEFAULT | GDT651:STRONG_LEARNED_CKH_FAMILY | V13:SCOPED_CONCRETE_HEAD_FORM | GDT665:EXACT_WHOLE:rain	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | AMBIGUOUS_ACTIVE_RIVAL | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	NONE	NONE	kühle hiervon bis zur Endstufe ab; Rohstoff I bis zur mittleren Einweichstufe; bis zur mittleren Einweichstufe; nimm zwei Teile; Grundansatz; bis zur Heizendstufe; heiß, Grad III; Arzneikompositum: feucht, Gradanfang; getrocknetes Drogenholz; Wurzeldroge in Charge II
8	0	f103v	f103v.43	S	B	3	9	9	0	0	3	0	1.000000	6	6	1	0	orain chckhey qokaiin shckhy shtal opchy lkeedy chdy lchedy	Drogenportion II | Arzneikompositum: trocken, Gradmitte | heiß, Grad III | Arzneikompositum: feucht, Gradanfang | Rohstoffklasse I, feucht-kalt am Gradanfang | Trockenpulverpräparat in Grundstufe | Drogenholz, heiß am Gradende, abgeschlossen | trocken am Anfang des Grades, abgeschlossen | getrocknetes Drogenholz	GDT664:EXACT_WHOLE:orain | GDT651:REVISED_FOUR_SHELL_CKH_GRID | V13:TARGET_SURFACE_DEFAULT | GDT651:STRONG_LEARNED_CKH_FAMILY | GDT657:EXACT_ORDERED_WHOLE | GDT665:EXACT_WHOLE:opchy | GDT661:EXACT_WHOLE:lkeedy | GDT647:FAMILY_MIGRATION | V13:SCOPED_CONCRETE_HEAD_FORM	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE	NONE	NONE	Drogenportion II; Arzneikompositum: trocken, Gradmitte; heiß, Grad III; Arzneikompositum: feucht, Gradanfang; Rohstoff I, feucht-kalt am Gradanfang; Trockenpulverpräparat in Grundstufe; Drogenholz, heiß am Gradende, abgeschlossen; angetrocknet; getrocknetes Drogenholz
9	0	f104r	f104r.4	S	B	3	8	8	0	0	5	0	1.000000	3	3	1	0	o l sheedy qokeedy chedal qodaiin qodaiin chry	Grundansatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | feucht am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | trockene abgemessene Rohstoffmenge I in der Gradmitte | Qualitätsgrad III | Qualitätsgrad III | leicht getrocknete Wurzeldroge	GDT664:O_READER_MERGE_RIGHT_KNOWN:ol | GDT663:L_READER_MERGE_LEFT:ol | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT655:NEW_EXACT_WHOLE | GDT662:EXACT_WHOLE:qodaiin | GDT662:EXACT_WHOLE:qodaiin | GDT665:EXACT_WHOLE:chry	READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE	NONE	NONE	Grundansatz; vollständig eingeweicht; bis zur Heizendstufe gebracht; trockene abgemessene Rohstoffmenge I in der Gradmitte; Vorstehendes: Stufe III; Folgendes: Stufe III; leicht getrocknete Wurzeldroge
10	0	f104v	f104v.9	S	B	3	12	12	1	1	2	0	1.000000	10	10	1	0	ycheo lcheod otaiin qokeedy qokaiin cheor ol chedaiin qotar chedy qoty dal	nimm hierzu den Trockenansatz | trockne den Holzdrogenansatz bis zur mittleren Stufe und schließe ihn ab | kalt im Zubereitungsrahmen, Grad III | heiß am Ende des Grades, abgeschlossen | heiß, Grad III | trockener Drogenteil | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | abgemessene Trockendroge, Dosis III | kalte Drogenfraktion I | trocken in der Mitte des Grades, abgeschlossen | kalt am Anfang des Grades | abgemessene Rohstoffmenge I	GDT664:EXACT_WHOLE:ycheo | GDT665:EXACT_WHOLE:lcheod | V13:QUALITY_DEGREE_SERIES | GDT647:FAMILY_MIGRATION | V13:TARGET_SURFACE_DEFAULT | GDT642:ROUND_02 | V13:QUALITY_STATE_MATERIAL_CARRIER | GDT663:EXACT_WHOLE:chedaiin | GDT654:NEW_EXACT_WHOLE | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT655:NEW_EXACT_WHOLE	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | AMBIGUOUS_ACTIVE_RIVAL | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	NONE	NONE	nimm hierzu den Trockenansatz; trockne den Holzdrogenansatz bis zur mittleren Stufe und schließe ihn ab; kalt im Zubereitungsrahmen, Grad III; bis zur Heizendstufe gebracht; heiß, Grad III; trockener Drogenteil; Grundansatz; abgemessene Trockendroge, Dosis III; kalte Drogenfraktion I; bis zur mittleren Trockenstufe gebracht; leicht gekühlt; abgemessene Rohstoffmenge I
