page_order	physical_page	source_panels	register	page_description_de	groups	running_groups	address_or_marker_groups	statements	template_profile	predicate_profile	licensed_closes	visible_boundaries	open_ends	cross_line_statements	inherited_predicates
1	f10r	f10r	HERBAL	Pflanzenartikel mit zwei langen Zubereitungsgängen	92	92	0	2	T08:2	EXPLICIT_OPERATION_ROOT:2	1	0	1	2	0
2	f11r	f11r	HERBAL	Pflanzenartikel mit Trennen, Stehenlassen und Nachseihen	59	59	0	2	T06:1|T08:1	EXPLICIT_OPERATION_ROOT:2	1	0	1	1	0
3	f13r	f13r	HERBAL	Pflanzenartikel mit offenem Prozesslauf	77	77	0	5	T05:1|T06:1|T08:3	EXPLICIT_OPERATION_ROOT:5	4	0	1	3	0
4	f17r	f17r	HERBAL	Pflanzenartikel der grossen Blütenpflanze	80	78	2	8	T01:1|T06:2|T07:2|T08:3	EXPLICIT_OPERATION_ROOT:8	7	0	1	4	0
5	f18r	f18r	HERBAL	große einzelne Blütenpflanze mit zwei Textabsätzen	84	84	0	5	T06:1|T07:1|T08:3	EXPLICIT_OPERATION_ROOT:5	3	2	0	4	0
6	f55v	f55v	HERBAL	Pflanzen-/Anwendungsartikel mit fünf Teilgängen	106	106	0	5	T04:1|T07:1|T08:3	EXPLICIT_OPERATION_ROOT:5	4	0	1	4	0
7	f56r	f56r	HERBAL	Pflanzenartikel mit wiederaufgenommenem Bildbesitzer	105	105	0	3	T06:1|T08:2	EXPLICIT_OPERATION_ROOT:3	2	0	1	2	0
8	f67r2	f67r2	CELESTIAL	mehrteiliges Himmels- und Wahlregister	190	126	64	11	T09:11	EXPLICIT_OPERATION_ROOT:11	3	7	1	10	0
9	f68r1	f68r1	CELESTIAL	Sternstations- und Ringregister	65	31	34	3	T09:3	EXPLICIT_OPERATION_ROOT:3	2	1	0	2	0
10	f69v	f69v	CELESTIAL	drei lokale Himmelsräder als reines Adressregister	140	0	140	0	ADDRESS_ONLY	ADDRESS_ONLY	0	0	0	0	0
11	f70v	f70v	CELESTIAL	Widder- und Fischring als reines Adressregister	218	0	218	0	ADDRESS_ONLY	ADDRESS_ONLY	0	0	0	0	0
12	f71v	f71v	CELESTIAL	drei weitere Ringnamensräume	100	78	22	5	T09:5	EXPLICIT_OPERATION_ROOT:5	2	2	1	0	0
13	f72r	f72r1|f72r2|f72r3	CELESTIAL	mehrteilige Tierkreis-Falttafel mit zehn Ringtext-Namensräumen	384	288	96	22	T09:22	EXPLICIT_OPERATION_ROOT:21|FUSED_PATH_OPERATION:1	12	10	0	0	0
14	f75r	f75r	BIOLOGICAL	Becken-, Figuren- und Stationsartikel	418	408	10	111	T01:28|T02:9|T03:16|T04:7|T05:1|T06:18|T07:21|T08:11	ANAPHORIC_ACTION_INHERITANCE:5|EXPLICIT_OPERATION_ROOT:102|FUSED_PATH_OPERATION:3|TARGET_LIST_INHERITANCE:1	110	1	0	23	6
15	f76r	f76r	BIOLOGICAL	dichte unbebilderte Biological-Textseite mit Abschnittsmarkern	569	560	9	118	T01:23|T02:4|T03:9|T04:6|T05:7|T06:20|T07:22|T08:27	ANAPHORIC_ACTION_INHERITANCE:4|EXPLICIT_OPERATION_ROOT:113|PREPARATION_INHERITANCE:1	105	13	0	26	5
16	f77r	f77r	BIOLOGICAL	langer Körper-/Beckenstationsartikel	332	321	11	82	T01:16|T02:1|T03:17|T04:12|T06:12|T07:15|T08:9	ANAPHORIC_ACTION_INHERITANCE:9|EXPLICIT_OPERATION_ROOT:71|FUSED_PATH_OPERATION:2	81	1	0	28	9
17	f81v	f81v	BIOLOGICAL	gemeinschaftliche Becken- und Anwendungseinträge	255	253	2	54	T01:8|T02:3|T03:6|T04:1|T05:1|T06:16|T07:10|T08:9	ANAPHORIC_ACTION_INHERITANCE:1|EXPLICIT_OPERATION_ROOT:52|SELF_PREDICATING_CONTINUATION:1	53	1	0	19	1
18	f82r	f82r	BIOLOGICAL	mehrere lokale Figuren-/Beckenstationen	291	278	13	62	T01:12|T02:1|T03:8|T04:3|T06:8|T07:19|T08:11	ANAPHORIC_ACTION_INHERITANCE:2|EXPLICIT_OPERATION_ROOT:60	60	2	0	25	2
19	f83r	f83r	BIOLOGICAL	lokale Becken-, Bogen- und Verbindungsszenen	345	341	4	91	T01:12|T02:5|T03:13|T04:6|T05:2|T06:11|T07:30|T08:12	ANAPHORIC_ACTION_INHERITANCE:3|EXPLICIT_OPERATION_ROOT:84|FUSED_PATH_OPERATION:3|SELF_PREDICATING_CONTINUATION:1	89	1	1	27	3
20	f88r	f88r	PHARMA	Gefäss-/Drogenregister mit sechzehn lokalen Etiketten	150	134	16	5	T07:2|T08:3	EXPLICIT_OPERATION_ROOT:5	2	2	1	3	0
21	f88v	f88v	PHARMA	drei Gefäss- und Zutatenpartien	145	131	14	13	T01:1|T03:2|T05:1|T06:1|T07:1|T08:7	EXPLICIT_OPERATION_ROOT:13	11	2	0	7	0
22	f89r	f89r1|f89r2	PHARMA	Pharma-Falttafel mit Gefäßen, Wurzeln, Blättern und Prosablocks	376	338	38	20	T01:1|T05:2|T06:6|T07:1|T08:10	EXPLICIT_OPERATION_ROOT:18|SELF_PREDICATING_CONTINUATION:1|TARGET_LIST_INHERITANCE:1	14	6	0	9	1
