statement_id	legacy_statement_id	physical_page	owner_id	locus_span	surface_sequence	component_sequence	resolution_kind	grade_de	inherited_operation_de	inheritance_source_statement_id	inheritance_source_legacy_id	inheritance_source_surface	resolved_workshop_de
P1009-S124	P1006-S097	f75r	P1009_F75R_OWNER_01	f75r.31	daldy	AL+DY	TARGET_LIST_INHERITANCE	WIE ANGEGEBEN	SETZEN	P1009-S123	P1006-S096	chey qoked qokedy	großes Bad-/Stationsblatt mit dreieckiger Insel: den zuvor bearbeiteten Posten an die bezeichnete Zielstelle setzen. Den Teilgang schließen.
P1009-S161	P1006-S134	f75r	P1009_F75R_OWNER_01	f75r.41	oteedy	OT+EE+DY	ANAPHORIC_ACTION_INHERITANCE	LÄNGER	SETZEN	P1009-S160	P1006-S133	qokeedy	großes Bad-/Stationsblatt mit dreieckiger Insel: danach länger setzen. Den Teilgang schließen.
P1009-S166	P1006-S139	f75r	P1009_F75R_OWNER_01	f75r.42	qoteey qoteedy	OT+EE+Y | OT+EE+DY	ANAPHORIC_ACTION_INHERITANCE	LÄNGER	SETZEN	P1009-S165	P1006-S138	qokeedy	großes Bad-/Stationsblatt mit dreieckiger Insel: danach länger setzen. Den Teilgang schließen.
P1009-S172	P1006-S145	f75r	P1009_F75R_OWNER_01	f75r.44	otedy	OT+E+DY	ANAPHORIC_ACTION_INHERITANCE	KURZ	SETZEN	P1009-S171	P1006-S144	qokedy	großes Bad-/Stationsblatt mit dreieckiger Insel: danach kurz setzen. Den Teilgang schließen.
P1009-S177	P1006-S150	f75r	P1009_F75R_OWNER_01	f75r.45	qotedy	OT+E+DY	ANAPHORIC_ACTION_INHERITANCE	KURZ	AUSWÄHLEN	P1009-S176	P1006-S149	sarol oty otedy	großes Bad-/Stationsblatt mit dreieckiger Insel: danach kurz auswählen. Den Teilgang schließen.
P1009-S178	P1006-S151	f75r	P1009_F75R_OWNER_01	f75r.45	otedy	OT+E+DY	ANAPHORIC_ACTION_INHERITANCE	KURZ	AUSWÄHLEN	P1009-S176	P1006-S149	sarol oty otedy	großes Bad-/Stationsblatt mit dreieckiger Insel: danach kurz auswählen. Den Teilgang schließen.
P1009-S187	P1008-S032	f76r	F76R_TEXT_SECTION_A0	f76r.3	otedy	OT+E+DY	ANAPHORIC_ACTION_INHERITANCE	KURZ	GEBEN	P1009-S186	P1008-S031	shky qotedy	unbebilderter Textabschnitt A0: danach kurz geben. Den Teilgang schließen.
P1009-S203	P1008-S048	f76r	F76R_TEXT_SECTION_A3	f76r.11	qorain oteedy	OR+AIN | OT+EE+DY	PREPARATION_INHERITANCE	LÄNGER	ABSETZEN	P1009-S202	P1008-S047	qotedshedy	unbebilderter Textabschnitt A3: eine Portion des Ansatzes danach länger absetzen. Den Teilgang schließen.
P1009-S222	P1008-S067	f76r	F76R_TEXT_SECTION_A5	f76r.19	otedyl	OT+E+DY	ANAPHORIC_ACTION_INHERITANCE	KURZ	UMSETZEN	P1009-S221	P1008-S066	qolchedy	unbebilderter Textabschnitt A5: danach kurz umsetzen. Den Teilgang schließen.
P1009-S274	P1008-S119	f76r	F76R_TEXT_SECTION_C	f76r.46	otedy	OT+E+DY	ANAPHORIC_ACTION_INHERITANCE	KURZ	SETZEN	P1009-S273	P1008-S118	qochy as oin sheey chckhy dain shear okedy	unbebilderter Textabschnitt C: danach kurz setzen. Den Teilgang schließen.
P1009-S293	P1008-S138	f76r	F76R_TEXT_SECTION_D	f76r.53	qoteedy	OT+EE+DY	ANAPHORIC_ACTION_INHERITANCE	LÄNGER	ABSETZEN	P1009-S292	P1008-S137	ol chedor chal shed	unbebilderter Textabschnitt D: danach länger absetzen. Den Teilgang schließen.
P1009-S307	P1006-S162	f77r	P1009_F77R_OWNER_01	f77r.11	oteedy	OT+EE+DY	ANAPHORIC_ACTION_INHERITANCE	LÄNGER	SETZEN	P1009-S306	P1006-S161	shcthey qokeedy	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen: danach länger setzen. Den Teilgang schließen.
P1009-S309	P1006-S164	f77r	P1009_F77R_OWNER_01	f77r.12	qoteedy	OT+EE+DY	ANAPHORIC_ACTION_INHERITANCE	LÄNGER	STELLEN	P1009-S308	P1006-S163	cham solteedy	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen: danach länger stellen. Den Teilgang schließen.
P1009-S318	P1006-S173	f77r	P1009_F77R_OWNER_01	f77r.14	qotedy	OT+E+DY	ANAPHORIC_ACTION_INHERITANCE	KURZ	SETZEN	P1009-S317	P1006-S172	qokeedy	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen: danach kurz setzen. Den Teilgang schließen.
P1009-S328	P1006-S183	f77r	P1009_F77R_OWNER_01	f77r.17	qoteedy	OT+EE+DY	ANAPHORIC_ACTION_INHERITANCE	LÄNGER	LEITEN	P1009-S327	P1006-S182	lol qoteedy	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen: danach länger leiten. Den Teilgang schließen.
P1009-S354	P1006-S209	f77r	P1009_F77R_OWNER_01	f77r.27	qotedy	OT+E+DY	ANAPHORIC_ACTION_INHERITANCE	KURZ	SETZEN	P1009-S353	P1006-S208	qokeedy	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen: danach kurz setzen. Den Teilgang schließen.
P1009-S359	P1006-S214	f77r	P1009_F77R_OWNER_01	f77r.31	qotedy	OT+E+DY	ANAPHORIC_ACTION_INHERITANCE	KURZ	SETZEN	P1009-S358	P1006-S213	qotal qokaiin chckhey sa iin qolkain cheeky lol qokain chckhy qokeey qotedy	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen: danach kurz setzen. Den Teilgang schließen.
P1009-S361	P1006-S216	f77r	P1009_F77R_OWNER_01	f77r.33	qoteeedy	OT+EEE+DY	ANAPHORIC_ACTION_INHERITANCE	VOLLSTÄNDIG	GEBEN	P1009-S360	P1006-S215	qotary qor ain cheol ol chealor cheey qeteiiin dary daiin chedy qol keedy	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen: danach vollständig geben. Den Teilgang schließen.
P1009-S377	P1006-S232	f77r	P1009_F77R_OWNER_01	f77r.42	qotedy	OT+E+DY	ANAPHORIC_ACTION_INHERITANCE	KURZ	SETZEN	P1009-S376	P1006-S231	qotal r ain chl s arol qokeedy	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen: danach kurz setzen. Den Teilgang schließen.
P1009-S381	P1006-S236	f77r	P1009_F77R_OWNER_01	f77r.43	qotedy	OT+E+DY	ANAPHORIC_ACTION_INHERITANCE	KURZ	NEHMEN	P1009-S380	P1006-S235	qokeey s aiin al d chee ol cheedy qotaiin qoteedy	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen: danach kurz nehmen. Den Teilgang schließen.
P1009-S398	P1006-S253	f81v	P1009_F81V_OWNER_01	f81v.10	otedy	OT+E+DY	ANAPHORIC_ACTION_INHERITANCE	KURZ	SETZEN	P1009-S397	P1006-S252	polshy ashyteed qop okeedy	gemeinsames zweireihiges Badfeld: danach kurz setzen. Den Teilgang schließen.
P1009-S454	P1006-S309	f82r	P1009_F82R_OWNER_01	f82r.13	qotedy	OT+E+DY	ANAPHORIC_ACTION_INHERITANCE	KURZ	SETZEN	P1009-S453	P1006-S308	qokeedy	mehrere getrennte Bad- und Leitungsstationen: danach kurz setzen. Den Teilgang schließen.
P1009-S485	P1006-S340	f82r	P1009_F82R_OWNER_01	f82r.27	qoteedy	OT+EE+DY	ANAPHORIC_ACTION_INHERITANCE	LÄNGER	ABSETZEN	P1009-S484	P1006-S339	rshedy	mehrere getrennte Bad- und Leitungsstationen: danach länger absetzen. Den Teilgang schließen.
P1009-S515	P1006-S370	f83r	P1009_F83R_OWNER_01	f83r.7	qoteedy	OT+EE+DY	ANAPHORIC_ACTION_INHERITANCE	LÄNGER	SETZEN	P1009-S514	P1006-S369	qoky solshed lsheedy qeeedy qoky o qol rsheedy qokedy	Variantenatlas lokaler Becken und Anwendungen: danach länger setzen. Den Teilgang schließen.
P1009-S516	P1006-S371	f83r	P1009_F83R_OWNER_01	f83r.7	qoteedy	OT+EE+DY	ANAPHORIC_ACTION_INHERITANCE	LÄNGER	SETZEN	P1009-S514	P1006-S369	qoky solshed lsheedy qeeedy qoky o qol rsheedy qokedy	Variantenatlas lokaler Becken und Anwendungen: danach länger setzen. Den Teilgang schließen.
P1009-S548	P1006-S403	f83r	P1009_F83R_OWNER_01	f83r.21	otedy	OT+E+DY	ANAPHORIC_ACTION_INHERITANCE	KURZ	SETZEN	P1009-S547	P1006-S402	qoky saiin solkeedy qokedy	Variantenatlas lokaler Becken und Anwendungen: danach kurz setzen. Den Teilgang schließen.
P1009-S613	P1008-S151	f89r	F89R_MATERIAL_BATCH_B	f89r1.18	al daldal	AL | AL+AL	TARGET_LIST_INHERITANCE	WIE ANGEGEBEN	SETZEN	P1009-S612	P1008-S150	chy chol cheos aiin dy qeaiin cheyl seey qotey qokeeol daiin edy daiin dam dals al dal cheody dainaldy	Gefäß-/Pflanzenteilgruppe B: den zuvor bearbeiteten Posten an die 3 bezeichneten Zielstellen setzen. Hier endet der sichtbare Abschnitt oder Besitzerblock.
