edition_event_ordinal	navigation_event_id	event_id	cohort	statement_id	card_ordinal_in_statement	physical_page	register	owner_class_or_role	owner_id	owner_de	locus	surface	gdt515_navigation_recipe	final_context_recipe	recipe_relation_to_gdt515	portable_or_controlled_trace_de	state_status	selected_reading_layer	state_replay_status	outer_template_id	structural_template_id	selected_working_clause_de	owner_bound_control_clause_de	selected_equals_owner_bound	state_atom_alignment	source_context_layer	source_recipe_roundtrip	guard
1	G407-E0001	G407-E0001	OLD26_GDT416	G407-S001	1	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	F1R_TEXT_BLOCK_A	f1r.1	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	LOCAL_CHAR_F+A_ADDR+CH+Y+S	SAME	HIER · HIER · NEHMEN · POSTEN · WÄHLEN	NONSTATE_CARD	GDT416_OWNER_CONTEXT_NONSTATE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	YES	NOT_APPLICABLE	GDT416_OWNER_CONTEXT	YES	COMPLETE_PROSE_EVENT__SELECTED_AND_OWNER_BOUND_CHANNELS_DISTINCT
2	G407-E0002	G407-E0002	OLD26_GDT416	G407-S001	2	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	F1R_TEXT_BLOCK_A	f1r.1	ykal	Y+K+AL	Y+K+AL	SAME	POSTEN · GEBEN · ZIELORT	NONSTATE_CARD	GDT416_OWNER_CONTEXT_NONSTATE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	Ordne den laufenden Eintrag zu; zur Zielspalte.	Ordne den laufenden Eintrag zu; zur Zielspalte.	YES	NOT_APPLICABLE	GDT416_OWNER_CONTEXT	YES	COMPLETE_PROSE_EVENT__SELECTED_AND_OWNER_BOUND_CHANNELS_DISTINCT
3	G407-E0003	G407-E0003	OLD26_GDT416	G407-S001	3	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	F1R_TEXT_BLOCK_A	f1r.1	ar	AR	AR	SAME	AUSGANG	NONSTATE_CARD	GDT416_OWNER_CONTEXT_NONSTATE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	YES	NOT_APPLICABLE	GDT416_OWNER_CONTEXT	YES	COMPLETE_PROSE_EVENT__SELECTED_AND_OWNER_BOUND_CHANNELS_DISTINCT
4	G407-E0004	G407-E0004	OLD26_GDT416	G407-S001	4	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	F1R_TEXT_BLOCK_A	f1r.1	ataiin	A_ADDR+T+AIIN	A_ADDR+T+AIIN	SAME	HIER · EINSTELLEN · WERT	NONSTATE_CARD	GDT416_OWNER_CONTEXT_NONSTATE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	Lege den Kennwert fest; an der bezeichneten Stelle.	Lege den Kennwert fest; an der bezeichneten Stelle.	YES	NOT_APPLICABLE	GDT416_OWNER_CONTEXT	YES	COMPLETE_PROSE_EVENT__SELECTED_AND_OWNER_BOUND_CHANNELS_DISTINCT
5	G407-E0005	G407-E0005	OLD26_GDT416	G407-S001	5	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	F1R_TEXT_BLOCK_A	f1r.1	shol	SH+OL	SH+OL	SAME	HALTEN · FORTSETZEN	STATE_CARD	GDT565_STATE_GENERATOR	EXACT_SOURCE_REPLAY	GDT565-O05	GDT565-T072	Weiter: halte den Wert.	Weiter halte den Kennwert [wie zuvor] fest.	NO	1:SH=halten | 2:OL=weiter	GDT416_OWNER_CONTEXT	YES	COMPLETE_PROSE_EVENT__SELECTED_AND_OWNER_BOUND_CHANNELS_DISTINCT
6	G407-E0006	G407-E0006	OLD26_GDT416	G407-S001	6	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	F1R_TEXT_BLOCK_A	f1r.1	shory	SH+OR+Y	SH+OR+Y	SAME	HALTEN · EINHEIT · POSTEN	NONSTATE_CARD	GDT416_OWNER_CONTEXT_NONSTATE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	Halte die Eintragseinheit und den laufenden Eintrag fest.	Halte die Eintragseinheit und den laufenden Eintrag fest.	YES	NOT_APPLICABLE	GDT416_OWNER_CONTEXT	YES	COMPLETE_PROSE_EVENT__SELECTED_AND_OWNER_BOUND_CHANNELS_DISTINCT
7	G407-E0007	G407-E0007	OLD26_GDT416	G407-S001	7	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	F1R_TEXT_BLOCK_A	f1r.1	cthres	CH+T+R+E+S	CH+T+R+E+S	SAME	NEHMEN · EINSTELLEN · MARKIEREN · GRAD I · WÄHLEN	NONSTATE_CARD	GDT416_OWNER_CONTEXT_NONSTATE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	YES	NOT_APPLICABLE	GDT416_OWNER_CONTEXT	YES	COMPLETE_PROSE_EVENT__SELECTED_AND_OWNER_BOUND_CHANNELS_DISTINCT
8	G407-E0008	G407-E0008	OLD26_GDT416	G407-S001	8	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	F1R_TEXT_BLOCK_A	f1r.1	y	Y	Y	SAME	POSTEN	NONSTATE_CARD	GDT416_OWNER_CONTEXT_NONSTATE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	YES	NOT_APPLICABLE	GDT416_OWNER_CONTEXT	YES	COMPLETE_PROSE_EVENT__SELECTED_AND_OWNER_BOUND_CHANNELS_DISTINCT
9	G407-E0009	G407-E0009	OLD26_GDT416	G407-S001	9	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	F1R_TEXT_BLOCK_A	f1r.1	kor	K+OR	K+OR	SAME	GEBEN · EINHEIT	NONSTATE_CARD	GDT416_OWNER_CONTEXT_NONSTATE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	Ordne die Eintragseinheit zu.	Ordne die Eintragseinheit zu.	YES	NOT_APPLICABLE	GDT416_OWNER_CONTEXT	YES	COMPLETE_PROSE_EVENT__SELECTED_AND_OWNER_BOUND_CHANNELS_DISTINCT
10	G407-E0010	G407-E0010	OLD26_GDT416	G407-S001	10	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	F1R_TEXT_BLOCK_A	f1r.1	sholdy	SH+OL+D_ADDR+Y	SH+OL+D_ADDR+Y	SAME	HALTEN · FORTSETZEN · HIER · POSTEN	STATE_CARD	GDT565_STATE_GENERATOR	EXACT_SOURCE_REPLAY	GDT565-O03	GDT565-T068	Weiter: halte den Posten; hier.	Weiter halte den laufenden Eintrag fest; an der bezeichneten Stelle.	NO	1:SH=halten | 2:OL=weiter | 3:D_ADDR=hier | 4:Y=den Posten	GDT416_OWNER_CONTEXT	YES	COMPLETE_PROSE_EVENT__SELECTED_AND_OWNER_BOUND_CHANNELS_DISTINCT
