repair_ordinal	event_id	physical_page	surface	gdt515_navigation_recipe	final_context_recipe	state_status	selected_reading_layer	repair_status
1	G515-E0182	f31r	keeol	K+EE+O+L	K+EE+OL	STATE_CARD	GDT565_STATE_GENERATOR	EXPLICIT_LATER_CONTEXT_RECIPE_RETAINED
2	G515-E0243	f31r	saiis	S+IIN+S	S+A_ADDR+IIN+S	NONSTATE_CARD	GDT539_OWNER_CONTEXT_NONSTATE	EXPLICIT_LATER_CONTEXT_RECIPE_RETAINED
3	G515-E0253	f31r	aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	AIIN+CH+T+Y	NONSTATE_CARD	GDT539_OWNER_CONTEXT_NONSTATE	EXPLICIT_LATER_CONTEXT_RECIPE_RETAINED
4	G515-E0364	f66r	dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	D_ADDR+AIR+Y+K+O+DA+S	NONSTATE_CARD	GDT539_OWNER_CONTEXT_NONSTATE	EXPLICIT_LATER_CONTEXT_RECIPE_RETAINED
5	G515-E0366	f66r	dsholdaiir	D_ADDR+SH+OL+D_ADDR+IIN+R	D_ADDR+SH+OL+DA+IIN+R	STATE_CARD	GDT565_STATE_GENERATOR	EXPLICIT_LATER_CONTEXT_RECIPE_RETAINED
6	G515-E0410	f66r	axor	A_ADDR+LOCAL_NAME_CORE_X+OR	A_ADDR+LOCAL_X+OR	NONSTATE_CARD	GDT539_OWNER_CONTEXT_NONSTATE	EXPLICIT_LATER_CONTEXT_RECIPE_RETAINED
7	G515-E0423	f66r	dalcheeeky	AL+CH+EEE+K+Y	AL+CH+K+EEE+Y	NONSTATE_CARD	GDT539_OWNER_CONTEXT_NONSTATE	EXPLICIT_LATER_CONTEXT_RECIPE_RETAINED
8	G515-E0426	f66r	chekchy	CH+K+CH+Y	CH+K+Y	NONSTATE_CARD	GDT539_OWNER_CONTEXT_NONSTATE	EXPLICIT_LATER_CONTEXT_RECIPE_RETAINED
9	G515-E0437	f66r	kcheody	K+CH+E+O+Y	K+CH+E+O+D_ADDR+Y	NONSTATE_CARD	GDT539_OWNER_CONTEXT_NONSTATE	EXPLICIT_LATER_CONTEXT_RECIPE_RETAINED
10	G515-E0438	f66r	chxar	CH+LOCAL_NAME_CORE_X+AR	CH+LOCAL_X+AR	NONSTATE_CARD	GDT539_OWNER_CONTEXT_NONSTATE	EXPLICIT_LATER_CONTEXT_RECIPE_RETAINED
