page_ordinal	physical_page	registers	source_running_event_count	edition_event_count	source_statement_count	edition_statement_count	state_card_count	nonstate_card_count	all_state_statement_count	mixed_statement_count	no_state_statement_count	normalized_state_card_count	recipe_repair_count_after_gdt515	page_status	count_parity
1	f1r	SOURCE_SECTION_T	214	214	7	7	36	178	0	7	0	0	0	COMPLETE_RUNNING_PAGE	YES
2	f10r	HERBAL	92	92	2	2	23	69	0	2	0	0	0	COMPLETE_RUNNING_PAGE	YES
3	f11r	HERBAL	59	59	2	2	11	48	0	2	0	0	0	COMPLETE_RUNNING_PAGE	YES
4	f13r	HERBAL	77	77	5	5	18	59	0	5	0	0	0	COMPLETE_RUNNING_PAGE	YES
5	f17r	HERBAL	78	78	8	8	19	59	1	7	0	0	0	COMPLETE_RUNNING_PAGE	YES
6	f18r	HERBAL	84	84	5	5	21	63	1	4	0	0	0	COMPLETE_RUNNING_PAGE	YES
7	f24v	HERBAL	86	86	3	3	14	72	0	3	0	0	0	COMPLETE_RUNNING_PAGE	YES
8	f55v	HERBAL	106	106	5	5	17	89	0	5	0	0	0	COMPLETE_RUNNING_PAGE	YES
9	f56r	HERBAL	105	105	3	3	26	79	0	3	0	0	0	COMPLETE_RUNNING_PAGE	YES
10	f67r2	CELESTIAL	126	126	11	11	15	111	1	6	4	1	0	COMPLETE_RUNNING_PAGE	YES
11	f68r1	CELESTIAL	31	31	3	3	8	23	0	3	0	0	0	COMPLETE_RUNNING_PAGE	YES
12	f69v	CELESTIAL	0	0	0	0	0	0	0	0	0	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	YES
13	f70v	CELESTIAL	0	0	0	0	0	0	0	0	0	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	YES
14	f71v	CELESTIAL	78	78	5	5	24	54	0	5	0	0	0	COMPLETE_RUNNING_PAGE	YES
15	f72r	CELESTIAL	288	288	22	22	105	183	1	21	0	0	0	COMPLETE_RUNNING_PAGE	YES
16	f75r	BIOLOGICAL	408	408	111	111	172	236	51	60	0	0	0	COMPLETE_RUNNING_PAGE	YES
17	f76r	BIOLOGICAL	560	560	118	118	187	373	36	76	6	0	0	COMPLETE_RUNNING_PAGE	YES
18	f77r	BIOLOGICAL	321	321	82	82	141	180	35	47	0	0	0	COMPLETE_RUNNING_PAGE	YES
19	f81r	BIOLOGICAL	210	210	48	48	114	96	19	28	1	0	0	COMPLETE_RUNNING_PAGE	YES
20	f81v	BIOLOGICAL	253	253	54	54	102	151	14	39	1	0	0	COMPLETE_RUNNING_PAGE	YES
21	f82r	BIOLOGICAL	278	278	62	62	101	177	23	39	0	0	0	COMPLETE_RUNNING_PAGE	YES
22	f83r	BIOLOGICAL	341	341	91	91	139	202	32	59	0	0	0	COMPLETE_RUNNING_PAGE	YES
23	f88r	PHARMA	134	134	5	5	41	93	0	5	0	0	0	COMPLETE_RUNNING_PAGE	YES
24	f88v	PHARMA	131	131	13	13	30	101	3	9	1	0	0	COMPLETE_RUNNING_PAGE	YES
25	f89r	PHARMA	338	338	20	20	74	264	3	15	2	0	0	COMPLETE_RUNNING_PAGE	YES
26	f95v	HERBAL	178	178	30	30	56	122	6	22	2	0	0	COMPLETE_RUNNING_PAGE	YES
27	f31r	HERBAL	103	103	19	19	25	78	8	11	0	0	3	COMPLETE_RUNNING_PAGE	YES
28	f66r	SOURCE_SECTION_T	293	293	51	51	95	198	13	37	1	0	7	COMPLETE_RUNNING_PAGE	YES
29	f20v	HERBAL	86	86	3	3	21	65	0	3	0	0	0	COMPLETE_RUNNING_PAGE	YES
30	f4r	HERBAL	64	64	5	5	21	43	0	5	0	0	0	COMPLETE_RUNNING_PAGE	YES
