source_layer	source_event_id	physical_page	source_panel	register	locus	source_order	owner_de	surface	component_recipe	literal_core_reading_de	local_contextual_expansion_de	source_local_role	surface_status	admission_color
ORIGINAL22_LOCAL_ADDRESS	P1003-E0079	f17r	f17r	HERBAL	f17r.13	307	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oteeeon	LOCAL_ADDRESS	LOKALE ADRESSE KOPIEREN	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	LOCAL_ADDRESS_OR_LABEL	LOCAL_ADDRESS_OR_LABEL__NO_PROSE_PARSE	LOCAL_ONLY
ORIGINAL22_LOCAL_ADDRESS	P1003-E0080	f17r	f17r	HERBAL	f17r.13	308	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oiil	LOCAL_ADDRESS	LOKALE ADRESSE KOPIEREN	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	LOCAL_ADDRESS_OR_LABEL	LOCAL_ADDRESS_OR_LABEL__NO_PROSE_PARSE	LOCAL_ONLY
ORIGINAL22_LOCAL_ADDRESS	P912-E1749	f67r2	f67r2	CELESTIAL	f67r2.1	604	zwei lokale Himmelsraeder	ykshy	Y+K+Y	LOKALE ADRESSE KOPIEREN	zwei lokale Himmelsraeder: dieser Platz, Wert zuordnen, dieser Platz.	LOCAL_ADDRESS_OR_LABEL	LOCAL_ADDRESS_OR_LABEL__NO_PROSE_PARSE	LOCAL_ONLY
ORIGINAL22_LOCAL_ADDRESS	P912-E1750	f67r2	f67r2	CELESTIAL	f67r2.1	605	zwei lokale Himmelsraeder	s	S	LOKALE ADRESSE KOPIEREN	zwei lokale Himmelsraeder: Klasse wählen.	LOCAL_ADDRESS_OR_LABEL	LOCAL_ADDRESS_OR_LABEL__NO_PROSE_PARSE	LOCAL_ONLY
ORIGINAL22_LOCAL_ADDRESS	P912-E1751	f67r2	f67r2	CELESTIAL	f67r2.1	606	zwei lokale Himmelsraeder	aram	AR+AM_ADDR	LOKALE ADRESSE KOPIEREN	zwei lokale Himmelsraeder: Quell- oder Bezugsstelle, Innenplatz.	LOCAL_ADDRESS_OR_LABEL	LOCAL_ADDRESS_OR_LABEL__NO_PROSE_PARSE	LOCAL_ONLY
ORIGINAL22_LOCAL_ADDRESS	P912-E1752	f67r2	f67r2	CELESTIAL	f67r2.2	607	zwei lokale Himmelsraeder	ykecho	Y+K+E+CH+O	LOKALE ADRESSE KOPIEREN	zwei lokale Himmelsraeder: dieser Platz, Wert zuordnen, erster Grad, Klassenkennung, Reihe aufrufen.	LOCAL_ADDRESS_OR_LABEL	LOCAL_ADDRESS_OR_LABEL__NO_PROSE_PARSE	LOCAL_ONLY
ORIGINAL22_LOCAL_ADDRESS	P912-E1753	f67r2	f67r2	CELESTIAL	f67r2.2	608	zwei lokale Himmelsraeder	ols	OL+S	LOKALE ADRESSE KOPIEREN	zwei lokale Himmelsraeder: gleiche Reihe weiter, Klasse wählen.	LOCAL_ADDRESS_OR_LABEL	LOCAL_ADDRESS_OR_LABEL__NO_PROSE_PARSE	LOCAL_ONLY
ORIGINAL22_LOCAL_ADDRESS	P912-E1754	f67r2	f67r2	CELESTIAL	f67r2.2	609	zwei lokale Himmelsraeder	eesydy	EE+S+Y+D_ADDR+Y	LOKALE ADRESSE KOPIEREN	zwei lokale Himmelsraeder: zweiter Grad, Klasse wählen, dieser Platz, Unterplatz, dieser Platz.	LOCAL_ADDRESS_OR_LABEL	LOCAL_ADDRESS_OR_LABEL__NO_PROSE_PARSE	LOCAL_ONLY
ORIGINAL22_LOCAL_ADDRESS	P912-E1755	f67r2	f67r2	CELESTIAL	f67r2.3	610	zwei lokale Himmelsraeder	ey	E+Y	LOKALE ADRESSE KOPIEREN	zwei lokale Himmelsraeder: erster Grad, dieser Platz.	LOCAL_ADDRESS_OR_LABEL	LOCAL_ADDRESS_OR_LABEL__NO_PROSE_PARSE	LOCAL_ONLY
ORIGINAL22_LOCAL_ADDRESS	P912-E1756	f67r2	f67r2	CELESTIAL	f67r2.3	611	zwei lokale Himmelsraeder	shs	SH+S	LOKALE ADRESSE KOPIEREN	zwei lokale Himmelsraeder: Bezug halten, Klasse wählen.	LOCAL_ADDRESS_OR_LABEL	LOCAL_ADDRESS_OR_LABEL__NO_PROSE_PARSE	LOCAL_ONLY
ORIGINAL22_LOCAL_ADDRESS	P912-E1757	f67r2	f67r2	CELESTIAL	f67r2.3	612	zwei lokale Himmelsraeder	okar	OK+AR	LOKALE ADRESSE KOPIEREN	zwei lokale Himmelsraeder: Platz aktivieren, Quell- oder Bezugsstelle.	LOCAL_ADDRESS_OR_LABEL	LOCAL_ADDRESS_OR_LABEL__NO_PROSE_PARSE	LOCAL_ONLY
ORIGINAL22_LOCAL_ADDRESS	P912-E1758	f67r2	f67r2	CELESTIAL	f67r2.4	613	zwei lokale Himmelsraeder	shekchy	SH+E+K+CH+Y	LOKALE ADRESSE KOPIEREN	zwei lokale Himmelsraeder: Bezug halten, erster Grad, Wert zuordnen, Klassenkennung, dieser Platz.	LOCAL_ADDRESS_OR_LABEL	LOCAL_ADDRESS_OR_LABEL__NO_PROSE_PARSE	LOCAL_ONLY
ORIGINAL22_LOCAL_ADDRESS	P912-E1759	f67r2	f67r2	CELESTIAL	f67r2.4	614	zwei lokale Himmelsraeder	sykos	S+Y+K+O+S_ADDR	LOKALE ADRESSE KOPIEREN	zwei lokale Himmelsraeder: Klasse wählen, dieser Platz, Wert zuordnen, Reihe aufrufen, Sternbezug.	LOCAL_ADDRESS_OR_LABEL	LOCAL_ADDRESS_OR_LABEL__NO_PROSE_PARSE	LOCAL_ONLY
ORIGINAL22_LOCAL_ADDRESS	P912-E1760	f67r2	f67r2	CELESTIAL	f67r2.5	615	zwei lokale Himmelsraeder	ykeody	Y+K+E+O+DY	LOKALE ADRESSE KOPIEREN	zwei lokale Himmelsraeder: dieser Platz, Wert zuordnen, erster Grad, Reihe aufrufen, Eintrag schließen.	LOCAL_ADDRESS_OR_LABEL	LOCAL_ADDRESS_OR_LABEL__NO_PROSE_PARSE	LOCAL_ONLY
ORIGINAL22_LOCAL_ADDRESS	P912-E1761	f67r2	f67r2	CELESTIAL	f67r2.5	616	zwei lokale Himmelsraeder	okchy	OK+Y	LOKALE ADRESSE KOPIEREN	zwei lokale Himmelsraeder: Platz aktivieren, dieser Platz.	LOCAL_ADDRESS_OR_LABEL	LOCAL_ADDRESS_OR_LABEL__NO_PROSE_PARSE	LOCAL_ONLY
