gdt515_surface_id	surface	event_count	physical_pages	source_kinds	content_roles	visible_recipe	literal_core_reading_de	default_working_readings_de	surface_status	admission_colors	old_running_event_count	old_local_surface_contact	genuinely_new_to_old_26_pages	new_portable_atom_count	portable_meaning_changed	structural_tag_promoted_to_word	guard
G515-W0001	aiicthy	1	f31r	P/c	ORDERED_INSTRUCTION_CARD	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	[A_ADDR:LOKALSTRUKTUR=HIER] · [LOCAL_CHAR_I:LOKALSTRUKTUR=VARIANTE] · [LOCAL_CHAR_I:LOKALSTRUKTUR=VARIANTE] · NEHMEN · EINSTELLEN · POSTEN	ANWEISUNG BEI abgebildete Ganzpflanze auf f31r: [A_ADDR:LOKALSTRUKTUR=HIER] · [LOCAL_CHAR_I:LOKALSTRUKTUR=VARIANTE] · [LOCAL_CHAR_I:LOKALSTRUKTUR=VARIANTE] · NEHMEN · EINSTELLEN · POSTEN	NEW_VISIBLE_COMPOSITION	GREEN	0	NO	YES	0	NO	NO	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
G515-W0002	aiin	8	f20v|f31r|f4r|f66r	P/0	COORDINATE_OR_CATALOGUE_CARD	AIIN	WERT	KOORDINATE/KATALOGEINTRAG BEI abgebildete Ganzpflanze auf f4r: WERT || KOORDINATE/KATALOGEINTRAG BEI abgebildete Ganzpflanze auf f20v: WERT || KOORDINATE/KATALOGEINTRAG BEI abgebildete Ganzpflanze auf f31r: WERT || KOORDINATE/KATALOGEINTRAG BEI sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer: WERT	EXACT_GDT405_LOCK	GREEN	55	YES	NO	0	NO	NO	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
G515-W0003	air	1	f66r	L/0	MARGINAL_SIGN_CARD	AIR	BAHN	LOKALE RANDKENNMARKENKARTE BEI sichtbare Folge einzelner Randzeichen von f66r: [AIR:FORMSPUR=BAHN]	EXACT_CURRENT_RUNNING_RECIPE	LOCAL	5	YES	NO	0	NO	NO	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
G515-W0004	akar	1	f66r	P/0	ORDERED_INSTRUCTION_CARD	A_ADDR+K+AR	[A_ADDR:LOKALSTRUKTUR=HIER] · GEBEN · AUSGANG	ANWEISUNG BEI sichtbarer Prosablock 2 auf f66r ohne Gegenstandsbesitzer: [A_ADDR:LOKALSTRUKTUR=HIER] · GEBEN · AUSGANG	NEW_VISIBLE_COMPOSITION	GREEN	0	NO	YES	0	NO	NO	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
G515-W0005	al	1	f66r	P/0	COORDINATE_OR_CATALOGUE_CARD	AL	ZIELORT	KOORDINATE/KATALOGEINTRAG BEI sichtbarer Prosablock 3 auf f66r ohne Gegenstandsbesitzer: ZIELORT	EXACT_GDT405_LOCK	GREEN	28	YES	NO	0	NO	NO	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
G515-W0006	alkey	1	f66r	P/0	ORDERED_INSTRUCTION_CARD	AL+K+E+Y	ZIELORT · GEBEN · [E:STEUERUNG=GRAD I] · POSTEN	ANWEISUNG BEI sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer: ZIELORT · GEBEN · [E:STEUERUNG=GRAD I] · POSTEN	NEW_VISIBLE_COMPOSITION	GREEN	0	NO	YES	0	NO	NO	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
G515-W0007	aly	2	f66r	P/0	COORDINATE_OR_CATALOGUE_CARD	AL+Y	ZIELORT · POSTEN	KOORDINATE/KATALOGEINTRAG BEI sichtbarer Prosablock 3 auf f66r ohne Gegenstandsbesitzer: ZIELORT · POSTEN || KOORDINATE/KATALOGEINTRAG BEI sichtbarer Prosablock 4 auf f66r ohne Gegenstandsbesitzer: ZIELORT · POSTEN	EXACT_CURRENT_RUNNING_RECIPE	GREEN	3	YES	NO	0	NO	NO	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
G515-W0008	ar	6	f20v|f31r|f66r	P/0	COORDINATE_OR_CATALOGUE_CARD	AR	AUSGANG	KOORDINATE/KATALOGEINTRAG BEI abgebildete Ganzpflanze auf f20v: AUSGANG || KOORDINATE/KATALOGEINTRAG BEI abgebildete Ganzpflanze auf f31r: AUSGANG || KOORDINATE/KATALOGEINTRAG BEI sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer: AUSGANG || KOORDINATE/KATALOGEINTRAG BEI sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer: AUSGANG	EXACT_GDT405_LOCK	GREEN	34	YES	NO	0	NO	NO	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
G515-W0009	axor	1	f66r	P/0	LOCAL_NAME_WITH_FUNCTION_SHELL_CARD	A_ADDR+LOCAL_NAME_CORE_X+OR	[A_ADDR:LOKALSTRUKTUR=HIER] · [LOCAL_NAME_CORE_X:LOKALSTRUKTUR=LOKALER NAMENSKERN X] · EINHEIT	LOKALER NAMENSKERN MIT FUNKTIONSRAHMEN BEI sichtbarer Prosablock 2 auf f66r ohne Gegenstandsbesitzer: [A_ADDR:LOKALSTRUKTUR=HIER] · [LOCAL_NAME_CORE_X:LOKALSTRUKTUR=LOKALER NAMENSKERN X] · EINHEIT	NEW_LOCAL_NAME_CORE_WITH_VISIBLE_SHELL	AMBER	0	NO	YES	0	NO	NO	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
G515-W0010	c	1	f66r	L/0	MARGINAL_SIGN_CARD	LOCAL_SIGN_C	[LOCAL_SIGN_C:LOKALSTRUKTUR=LOKALE C-KENNMARKENFORM]	LOKALE RANDKENNMARKENKARTE BEI sichtbare Folge einzelner Randzeichen von f66r: [LOCAL_SIGN_C:LOKALSTRUKTUR=LOKALE C-KENNMARKENFORM]	NEW_OWNER_LOCAL_SIGN	LOCAL	0	NO	YES	0	NO	NO	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
G515-W0011	cfhol	1	f66r	P/0	ORDERED_INSTRUCTION_CARD	CH+LOCAL_CHAR_F+OL	NEHMEN · [LOCAL_CHAR_F:LOKALSTRUKTUR=HIER] · FORTSETZEN	ANWEISUNG BEI sichtbarer Prosablock 4 auf f66r ohne Gegenstandsbesitzer: NEHMEN · [LOCAL_CHAR_F:LOKALSTRUKTUR=HIER] · FORTSETZEN	EXACT_GDT405_LOCK	GREEN	1	NO	NO	0	NO	NO	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
G515-W0012	chady	1	f66r	P/0	ORDERED_INSTRUCTION_CARD	CH+A_ADDR+DY	NEHMEN · [A_ADDR:LOKALSTRUKTUR=HIER] · [DY:STEUERUNG=SCHLUSS]	ANWEISUNG BEI sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer: NEHMEN · [A_ADDR:LOKALSTRUKTUR=HIER] · [DY:STEUERUNG=SCHLUSS]	NEW_VISIBLE_COMPOSITION	GREEN	0	NO	YES	0	NO	NO	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
G515-W0013	chaiin	4	f4r	P/0	ORDERED_INSTRUCTION_CARD	CH+AIIN	NEHMEN · WERT	ANWEISUNG BEI abgebildete Ganzpflanze auf f4r: NEHMEN · WERT	EXACT_CURRENT_RUNNING_RECIPE	GREEN	4	NO	NO	0	NO	NO	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
G515-W0014	chap	1	f66r	P/0	ORDERED_INSTRUCTION_CARD	CH+A_ADDR+P	NEHMEN · [A_ADDR:LOKALSTRUKTUR=HIER] · EINSETZEN	ANWEISUNG BEI sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer: NEHMEN · [A_ADDR:LOKALSTRUKTUR=HIER] · EINSETZEN	NEW_VISIBLE_COMPOSITION	GREEN	0	NO	YES	0	NO	NO	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
