page	page_order	locus	line_number	code	relation	kind	subtype	section	language	hand	quire	folio_type	paragraph_start	paragraph_end	token_count	eva_clean
f4r	7	f4r.1	1	@P0	@	P	0	H	A	1	A	d	1	0	9	kodalchy chpady sheol ol sheey qotey doiin chor ytoy
f4r	7	f4r.2	2	+P0	+	P	0	H	A	1	A	d	0	0	9	dchor shol shol cthol shtchy chaiin s choraiin chom
f4r	7	f4r.3	3	+P0	+	P	0	H	A	1	A	d	0	0	7	otchol chol chy chaiin qotaiin daiin shain
f4r	7	f4r.4	4	+P0	+	P	0	H	A	1	A	d	0	1	6	qotchol chy yty daiin okaiin cthy
f4r	7	f4r.5	5	+P0	+	P	0	H	A	1	A	d	1	0	4	pydaiin qotchy dy tydy
f4r	7	f4r.6	6	+P0	+	P	0	H	A	1	A	d	0	0	3	chor shytchy dytcheey
f4r	7	f4r.7	7	+P0	+	P	0	H	A	1	A	d	0	0	4	qotaiin cthol daiin cthom
f4r	7	f4r.8	8	+P0	+	P	0	H	A	1	A	d	0	0	5	shor shol shol cthy cpholdy
f4r	7	f4r.9	9	+P0	+	P	0	H	A	1	A	d	0	0	5	daiin ckhochy tchy kor aiin
f4r	7	f4r.10	10	+P0	+	P	0	H	A	1	A	d	0	0	4	odal shor shyshol cphaiin
f4r	7	f4r.11	11	+P0	+	P	0	H	A	1	A	d	0	0	3	qotchoiin sheor qoty
f4r	7	f4r.12	12	+P0	+	P	0	H	A	1	A	d	0	0	3	soiin chaiin chaiin
f4r	7	f4r.13	13	+P0	+	P	0	H	A	1	A	d	0	1	2	daiin cthey
f20v	38	f20v.1	1	@P0	@	P	0	H	A	1	C	d	1	0	10	faiis ar okoy shy pofochey opchy qopy choldy opydy cphy
f20v	38	f20v.2	2	+P0	+	P	0	H	A	1	C	d	0	0	10	sos ykoiin cheol chol choiin checthy otol chol chodaiin oty
f20v	38	f20v.3	3	+P0	+	P	0	H	A	1	C	d	0	0	9	okchy sho kchol shol chcthy qoty chy tolshy qotchy
f20v	38	f20v.4	4	+P0	+	P	0	H	A	1	C	d	0	1	5	sho or aiin shol daiin
f20v	38	f20v.5	5	+P0	+	P	0	H	A	1	C	d	1	0	9	tshol folchol otor shol shor fshodchy otchy chcphy dy
f20v	38	f20v.6	6	+P0	+	P	0	H	A	1	C	d	0	0	8	doiiin chockhy dan cheoy shos cheos char aiin
