surface	occurrence_count	physical_pages	source_kinds	direct_visible_recipe	selection_status	admission_color	genuinely_new_to_old_26_pages	old_local_surface_contact	old_local_recipes	direct_recipe_matches_old_local_recipe	best_shared_context_score	best_context_source_count	distinct_best_candidate_recipe_count	direct_recipe_seen_in_best_candidates	candidate_recipes_by_weight	supporting_surfaces_for_direct_recipe	new_portable_atom_count	local_opaque_atoms	working_policy	guard
aiicthy	1	f31r	P/c	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	3	3	NO	CH+LOCAL_CHAR_I+CH+T+Y::13 | SH+LOCAL_CHAR_I+CH+T+Y::5 | O+LOCAL_CHAR_I+CH+T+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
akar	1	f66r	P/0	A_ADDR+K+AR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	3	4	2	YES	A_ADDR+OK+AR::19 | A_ADDR+K+AR::8	kar|lkar|skar	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
alkey	1	f66r	P/0	AL+K+E+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	2	1	YES	AL+K+E+Y::2	lkey|olkey	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
axor	1	f66r	P/0	A_ADDR+LOCAL_NAME_CORE_X+OR	NEW_LOCAL_NAME_CORE_WITH_VISIBLE_SHELL	AMBER	YES	NO	NONE	NO	3	1	1	NO	X+AL+OR::2	NONE	0	LOCAL_NAME_CORE_X	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
c	1	f66r	L/0	LOCAL_SIGN_C	NEW_OWNER_LOCAL_SIGN	LOCAL	YES	NO	NONE	NO	1	1	1	NO	CH::2	NONE	0	LOCAL_SIGN_C	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chady	1	f66r	P/0	CH+A_ADDR+DY	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	1	1	NO	CH+AL+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chap	1	f66r	P/0	CH+A_ADDR+P	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	3	7	4	YES	CH+AL+P::8 | AR+P::5 | CH+A_ADDR+P::4 | CH+AM_ADDR+P::1	cha|chas|chep|chop	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chckhedy	1	f66r	P/0	CH+CH+K+E+DY	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	7	5	3	YES	CH+CH+K+E+DY::5 | CH+CH+K+E+Y::3 | CH+CH+K+D_ADDR+E+Y::2	chcphedy|chcthedy|shckhedy	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chcpheor	1	f66r	P/0	CH+CH+P+E+OR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	1	1	NO	CH+CH+P+E+Y+R::2	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chctho	1	f66r	P/0	CH+CH+T+O	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	1	1	YES	CH+CH+T+O::1	chcthol	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cheda	1	f31r	P/0	CHD+A_ADDR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	2	2	NO	CHD+AR::3 | CHD+AL::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chedaiir	1	f66r	P/0	CHD+IIN+R	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	7	1	1	YES	CHD+IIN+R::8	chedaiin	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cheeo	1	f66r	P/0	CH+EE+O	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	3	3	YES	CH+EE+O::2 | SH+EE+O::2 | Y::1	cheeor	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chefchy	1	f66r	P/0	CH+E+LOCAL_CHAR_F+CH+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	2	2	NO	CH+E+F+CH+Y::1 | CHD+F+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chekchy	1	f66r	P/0	CH+K+CH+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	7	1	1	NO	CH+K+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chekeey	1	f66r	P/0	CH+K+EE+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	7	1	1	YES	CH+K+EE+Y::1	chekeedy	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chekeody	1	f66r	P/0	CH+K+E+O+DY	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	7	3	3	NO	CH+EE+K+O+D_ADDR+Y::1 | CH+K+O+E+DY::1 | CH+K+O+E+D_ADDR+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chekey	2	f31r|f66r	P/0	CH+K+E+Y	OLD_LOCAL_SURFACE_NEW_RUNNING_CONTEXT_VISIBLE_RESEGMENTATION	GREEN	NO	YES	CHK+E+Y	NO	5	4	4	YES	SH+EE+K+Y::25 | CH+K+E+E+Y::9 | CH+E+K+E+Y::2 | CH+K+E+Y::1	chekoy	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cheod	1	f31r	P/0	CH+E+O+D_ADDR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	2	2	YES	CH+E+O::12 | CH+E+O+D_ADDR::1	ctheod	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chepakeo	1	f31r	P/0	CH+E+P+A_ADDR+K+E+O	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	1	1	NO	CH+E+CH+K+E+O::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chepos	1	f31r	P/0	CH+E+P+O+S	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	2	2	YES	CH+E+P+O+S::4 | CH+E+P+S+OL::1	cheos	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cheta	1	f66r	P/0	CH+E+T+A_ADDR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	3	7	7	NO	Y+A_ADDR::57 | CH+E+O+A_ADDR::6 | CH+E+S+A_ADDR::6 | CHD+A_ADDR::2 | CH+E+LOCAL_CHAR_G+A_ADDR::1 | CH+E+P+A_ADDR::1 | SH+EE+A_ADDR::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
choekeey	1	f66r	P/0	CH+O+E+K+EE+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	7	1	1	NO	OK+E+EE+Y::2	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
choiin	1	f20v	P/0	CH+O+IIN	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	1	1	YES	CH+O+IIN::4	chaiin	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
