global_group_ordinal	global_group_id	group_kind	source_layer	source_event_id	physical_page	source_panel	register	locus	source_order	source_statement_id	owner_de	surface	component_recipe	literal_core_reading_de	surface_status	admission_color	source_local_role
1	G407-G0001	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0001	f1r	f1r	SOURCE_SECTION_T	f1r.1	1	G404-S001	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	HIER · HIER · NEHMEN · AKTIVER POSTEN · WÄHLEN	NEW_MICROFORM_OLD_FACTORS	AMBER	NONE
2	G407-G0002	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0002	f1r	f1r	SOURCE_SECTION_T	f1r.1	2	G404-S001	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	AKTIVER POSTEN · GEBEN · ZIELORT	NEW_VISIBLE_COMPOSITION	GREEN	NONE
3	G407-G0003	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0003	f1r	f1r	SOURCE_SECTION_T	f1r.1	3	G404-S001	F1R_TEXT_BLOCK_A	ar	AR	AUSGANG	EXACT_SURFACE_ONE_RECIPE	GREEN	NONE
4	G407-G0004	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0004	f1r	f1r	SOURCE_SECTION_T	f1r.1	4	G404-S001	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	HIER · EINSTELLEN · WERT	NEW_VISIBLE_COMPOSITION	GREEN	NONE
5	G407-G0005	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0005	f1r	f1r	SOURCE_SECTION_T	f1r.1	5	G404-S001	F1R_TEXT_BLOCK_A	shol	SH+OL	HALTEN · FORTSETZEN	EXACT_SURFACE_ONE_RECIPE	GREEN	NONE
6	G407-G0006	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0006	f1r	f1r	SOURCE_SECTION_T	f1r.1	6	G404-S001	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	HALTEN · EINHEIT · AKTIVER POSTEN	NEW_VISIBLE_COMPOSITION	GREEN	NONE
7	G407-G0007	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0007	f1r	f1r	SOURCE_SECTION_T	f1r.1	7	G404-S001	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	NEHMEN · EINSTELLEN · MARKIEREN · GRAD I · WÄHLEN	NEW_MICROFORM_OLD_FACTORS	AMBER	NONE
8	G407-G0008	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0008	f1r	f1r	SOURCE_SECTION_T	f1r.1	8	G404-S001	F1R_TEXT_BLOCK_A	y	Y	AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN	NONE
9	G407-G0009	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0009	f1r	f1r	SOURCE_SECTION_T	f1r.1	9	G404-S001	F1R_TEXT_BLOCK_A	kor	K+OR	GEBEN · EINHEIT	EXACT_SURFACE_ONE_RECIPE	GREEN	NONE
10	G407-G0010	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0010	f1r	f1r	SOURCE_SECTION_T	f1r.1	10	G404-S001	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	HALTEN · FORTSETZEN · HIER · AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN	NONE
11	G407-G0011	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0011	f1r	f1r	SOURCE_SECTION_T	f1r.2	11	G404-S001	F1R_TEXT_BLOCK_A	sory	S+OR+Y	WÄHLEN · EINHEIT · AKTIVER POSTEN	NEW_VISIBLE_COMPOSITION	GREEN	NONE
12	G407-G0012	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0012	f1r	f1r	SOURCE_SECTION_T	f1r.2	12	G404-S001	F1R_TEXT_BLOCK_A	ckhar	CH+K+AR	NEHMEN · GEBEN · AUSGANG	NEW_VISIBLE_COMPOSITION	GREEN	NONE
13	G407-G0013	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0013	f1r	f1r	SOURCE_SECTION_T	f1r.2	13	G404-S001	F1R_TEXT_BLOCK_A	or	OR	EINHEIT	EXACT_SURFACE_ONE_RECIPE	GREEN	NONE
14	G407-G0014	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0014	f1r	f1r	SOURCE_SECTION_T	f1r.2	14	G404-S001	F1R_TEXT_BLOCK_A	y	Y	AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN	NONE
15	G407-G0015	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0015	f1r	f1r	SOURCE_SECTION_T	f1r.2	15	G404-S001	F1R_TEXT_BLOCK_A	kair	K+AIR	GEBEN · LAUF	EXACT_SURFACE_ONE_RECIPE	GREEN	NONE
16	G407-G0016	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0016	f1r	f1r	SOURCE_SECTION_T	f1r.2	16	G404-S001	F1R_TEXT_BLOCK_A	chtaiin	CH+T+AIIN	NEHMEN · EINSTELLEN · WERT	NEW_VISIBLE_COMPOSITION	GREEN	NONE
17	G407-G0017	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0017	f1r	f1r	SOURCE_SECTION_T	f1r.2	17	G404-S001	F1R_TEXT_BLOCK_A	shar	SH+AR	HALTEN · AUSGANG	EXACT_SURFACE_ONE_RECIPE	GREEN	NONE
18	G407-G0018	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0018	f1r	f1r	SOURCE_SECTION_T	f1r.2	18	G404-S001	F1R_TEXT_BLOCK_A	ase	A_ADDR+S+E	HIER · WÄHLEN · GRAD I	NEW_VISIBLE_COMPOSITION	GREEN	NONE
19	G407-G0019	RUNNING_EVENT	GDT404_RANDOM4_RUNNING	G404-E0019	f1r	f1r	SOURCE_SECTION_T	f1r.2	19	G404-S001	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	NEHMEN · EINSTELLEN · AUSGANG	EXACT_SURFACE_ONE_RECIPE	GREEN	NONE
