page_ordinal	physical_page	registers	visible_group_count	running_event_count	local_group_count	statement_count	focus_attachment_count	open_statement_count	amber_event_count	distinct_surface_count
1	f1r	SOURCE_SECTION_T	214	214	0	7	203	3	17	164
2	f10r	HERBAL	92	92	0	2	82	1	0	72
3	f11r	HERBAL	59	59	0	2	54	1	0	42
4	f13r	HERBAL	77	77	0	5	68	1	0	61
5	f17r	HERBAL	80	78	2	8	62	1	0	76
6	f18r	HERBAL	84	84	0	5	75	0	0	63
7	f24v	HERBAL	86	86	0	3	67	2	10	79
8	f55v	HERBAL	106	106	0	5	120	1	0	74
9	f56r	HERBAL	105	105	0	3	94	1	0	81
10	f67r2	CELESTIAL	190	126	64	11	145	1	0	157
11	f68r1	CELESTIAL	65	31	34	3	44	0	0	64
12	f69v	CELESTIAL	140	0	140	0	0	0	0	107
13	f70v	CELESTIAL	218	0	218	0	0	0	0	170
14	f71v	CELESTIAL	100	78	22	5	105	1	0	83
15	f72r	CELESTIAL	384	288	96	22	352	0	0	270
16	f75r	BIOLOGICAL	418	408	10	111	433	0	0	203
17	f76r	BIOLOGICAL	569	560	9	118	652	0	0	259
18	f77r	BIOLOGICAL	332	321	11	82	359	0	0	177
19	f81r	BIOLOGICAL	210	210	0	48	213	1	9	128
20	f81v	BIOLOGICAL	255	253	2	54	282	0	0	157
21	f82r	BIOLOGICAL	291	278	13	62	353	0	0	173
22	f83r	BIOLOGICAL	345	341	4	91	389	1	0	199
23	f88r	PHARMA	150	134	16	5	151	1	0	110
24	f88v	PHARMA	145	131	14	13	176	0	0	119
25	f89r	PHARMA	376	338	38	20	378	0	0	240
26	f95v	HERBAL	178	178	0	30	194	4	13	142
27	f31r	HERBAL	103	103	0	19	131	3	1	79
28	f66r	SOURCE_SECTION_T	344	293	51	51	363	5	5	246
29	f20v	HERBAL	86	86	0	3	69	2	0	67
30	f4r	HERBAL	64	64	0	5	58	2	0	48
