edition	paragraph	at	left	right	direct_sheckhy
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.33|G005	sheeky	sheey	False
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.34|G001	[?:a]rsheg	ar	False
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.35|G003	qokeey	qokeey	False
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.39|G001	shy	chey	False
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.39|G006	shey	o	False
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.40|G005	shey	shckhy	False
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.42|G002	qo	sheckhy	False
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.42|G004	sheckhy	shekain	True
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.44|G003	o[k:?]eedy	shckhy	False
ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.44|G004	sheckhy	ol	True
ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.46|G007	lsheckhy	dal	False
ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.47|G001	olchedy	olshey	False
ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.47|G003	olshey	dar	False
ZL3b	f80r|f80r.28-f80r.33	ZL3b|f80r.29|G004	chedy	shedy	False
ZL3b	f80r|f80r.28-f80r.33	ZL3b|f80r.30|G004	chcthy	shedy	False
ZL3b	f80r|f80r.28-f80r.33	ZL3b|f80r.32|G006	sheckhy	okain	True
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.33|G005	sheeky	sheey	False
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.34|G001	arsheg	ar	False
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.35|G003	qokeey	qokeey	False
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.38|G004	lshey	chkar	False
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.39|G001	shy	chey	False
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.39|G006	shey	olkeey	False
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.40|G005	shey	shckhy	False
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.42|G002	qo	sheckhy	False
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.42|G004	sheckhy	shekain	True
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.44|G002	syokeedy	shckhy	False
IT2a	f75v|f75v.43-f75v.49	IT2a|f75v.44|G004	sheckhy	ol	True
IT2a	f75v|f75v.43-f75v.49	IT2a|f75v.46|G007	lsheckhy	dal	False
IT2a	f75v|f75v.43-f75v.49	IT2a|f75v.47|G001	olchedy	olshey	False
IT2a	f75v|f75v.43-f75v.49	IT2a|f75v.47|G003	olshey	dar	False
IT2a	f80r|f80r.28-f80r.33	IT2a|f80r.29|G004	chedy	shedy	False
IT2a	f80r|f80r.28-f80r.33	IT2a|f80r.30|G004	chcthy	shedy	False
IT2a	f80r|f80r.28-f80r.33	IT2a|f80r.32|G006	sheckhy	okain	True
