event_id	page	record	statement_id	surface	component_parse	atomic_card_value_de	local_action_expansion_de	fluent_statement_de	complete_meaning
E001	f10r	H1	H1-S001	dchey	CH+E+Y	diesen Posten kurz abziehen	abnehmen	Nimm von der abgebildeten Pflanze den vorgesehenen Teil kurz ab.	YES
E002	f10r	H1	H1-S001	cthoor	CTH+O+OR	bereit · Arbeitsgang · Ansatz	NON_ACTION_CONTRIBUTION	Nimm von der abgebildeten Pflanze den vorgesehenen Teil kurz ab.	YES
E003	f10r	H1	H1-S001	char	AR	von dort	NON_ACTION_CONTRIBUTION	Nimm von der abgebildeten Pflanze den vorgesehenen Teil kurz ab.	YES
E004	f10r	H1	H1-S001	chty	T+Y	den aktuellen Posten eintragen	übertragen	Nimm von der abgebildeten Pflanze den vorgesehenen Teil kurz ab.	YES
E005	f10r	H1	H1-S001	os	OS	Arbeitsfach	NON_ACTION_CONTRIBUTION	Nimm von der abgebildeten Pflanze den vorgesehenen Teil kurz ab.	YES
E006	f10r	H1	H1-S001	chair	CH+AIR	den laufenden Posten durch laufender Bestand abziehen	ablaufen lassen	Nimm von der abgebildeten Pflanze den vorgesehenen Teil kurz ab.	YES
E007	f10r	H1	H1-S001	otytchol	OT+Y+T+CH+OL	danach fortsetzen diesen Posten eintragen und abziehen	eintragen + abnehmen	Nimm von der abgebildeten Pflanze den vorgesehenen Teil kurz ab.	YES
E008	f10r	H1	H1-S001	oky	OK+Y	den aktuellen Posten in Einsatz bringen	einsetzen	Nimm von der abgebildeten Pflanze den vorgesehenen Teil kurz ab.	YES
E009	f10r	H1	H1-S001	daiin	AIIN	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	Nimm von der abgebildeten Pflanze den vorgesehenen Teil kurz ab.	YES
E010	f10r	H1	H1-S001	etyd	E+T+Y	diesen Posten kurz eintragen	eintragen	Nimm von der abgebildeten Pflanze den vorgesehenen Teil kurz ab.	YES
E011	f10r	H1	H1-S002	qokchy	OK+Y	den aktuellen Posten in Einsatz bringen	einsetzen	Setze diesen Pflanzenteil in den laufenden Ansatz ein.	YES
E012	f10r	H1	H1-S002	qotchol	OT+CH+OL	danach fortsetzen den laufenden Posten abziehen	abnehmen	Setze diesen Pflanzenteil in den laufenden Ansatz ein.	YES
E013	f10r	H1	H1-S002	chol	OL	fortsetzen	NON_ACTION_CONTRIBUTION	Setze diesen Pflanzenteil in den laufenden Ansatz ein.	YES
E014	f10r	H1	H1-S002	cthy	CTH+Y	bereit · dieser Posten	NON_ACTION_CONTRIBUTION	Setze diesen Pflanzenteil in den laufenden Ansatz ein.	YES
E015	f10r	H2	H2-S001	ycheor	Y+CH+E+OR	diesen Posten kurz abziehen	abziehen	Zieh von derselben Pflanze den nächsten vorgesehenen Teil ab.	YES
E016	f10r	H2	H2-S001	cthy	CTH+Y	bereit · dieser Posten	NON_ACTION_CONTRIBUTION	Zieh von derselben Pflanze den nächsten vorgesehenen Teil ab.	YES
E017	f10r	H2	H2-S001	chor	OR	Ansatz	NON_ACTION_CONTRIBUTION	Zieh von derselben Pflanze den nächsten vorgesehenen Teil ab.	YES
E018	f10r	H2	H2-S001	cthaiin	CTH+AIIN	bereit · vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	Zieh von derselben Pflanze den nächsten vorgesehenen Teil ab.	YES
E019	f10r	H2	H2-S001	qoctholy	O+CTH+OL+Y	Arbeitsgang · bereit · fortsetzen · dieser Posten	NON_ACTION_CONTRIBUTION	Zieh von derselben Pflanze den nächsten vorgesehenen Teil ab.	YES
E020	f10r	H2	H2-S001	dy	Y	dieser Posten	NON_ACTION_CONTRIBUTION	Zieh von derselben Pflanze den nächsten vorgesehenen Teil ab.	YES
E021	f10r	H2	H2-S001	chy	Y	dieser Posten	NON_ACTION_CONTRIBUTION	Zieh von derselben Pflanze den nächsten vorgesehenen Teil ab.	YES
E022	f10r	H2	H2-S001	taiin	AIIN	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	Zieh von derselben Pflanze den nächsten vorgesehenen Teil ab.	YES
E023	f10r	H2	H2-S001	shy	Y	dieser Posten	NON_ACTION_CONTRIBUTION	Zieh von derselben Pflanze den nächsten vorgesehenen Teil ab.	YES
E024	f10r	H2	H2-S002	qotchor	OT+CH+OR	danach den Ansatz abziehen	abziehen	Bearbeite ihn danach im vorgeschriebenen Maß weiter, bis die Zubereitung gebrauchsfertig ist.	YES
E025	f10r	H2	H2-S002	chor	OR	Ansatz	NON_ACTION_CONTRIBUTION	Bearbeite ihn danach im vorgeschriebenen Maß weiter, bis die Zubereitung gebrauchsfertig ist.	YES
E026	f10r	H2	H2-S002	otol	OT+OL	danach · fortsetzen	NON_ACTION_CONTRIBUTION	Bearbeite ihn danach im vorgeschriebenen Maß weiter, bis die Zubereitung gebrauchsfertig ist.	YES
E027	f10r	H2	H2-S002	chol	OL	fortsetzen	NON_ACTION_CONTRIBUTION	Bearbeite ihn danach im vorgeschriebenen Maß weiter, bis die Zubereitung gebrauchsfertig ist.	YES
E028	f10r	H2	H2-S002	cholor	OL+OR	fortsetzen · Ansatz	NON_ACTION_CONTRIBUTION	Bearbeite ihn danach im vorgeschriebenen Maß weiter, bis die Zubereitung gebrauchsfertig ist.	YES
E029	f10r	H2	H2-S002	chol	OL	fortsetzen	NON_ACTION_CONTRIBUTION	Bearbeite ihn danach im vorgeschriebenen Maß weiter, bis die Zubereitung gebrauchsfertig ist.	YES
E030	f10r	H2	H2-S002	daiin	AIIN	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	Bearbeite ihn danach im vorgeschriebenen Maß weiter, bis die Zubereitung gebrauchsfertig ist.	YES
