record	page	title_de	statements	continuous_translation_de
H1	f10r	Erster Pflanzeneintrag: Teil abnehmen und einsetzen	2	Nimm von der abgebildeten Pflanze den vorgesehenen Teil kurz ab. Setze diesen Pflanzenteil in den laufenden Ansatz ein.
H2	f10r	Zweiter Pflanzenabsatz: messen, weiterbearbeiten, zugeben	3	Zieh von derselben Pflanze den nächsten vorgesehenen Teil ab. Bearbeite ihn danach im vorgeschriebenen Maß weiter, bis die Zubereitung gebrauchsfertig ist. Gib anschließend aus demselben Bezug nochmals das vorgeschriebene Maß zu.
H3	f11r	Blütenpflanze: eintragen, halten, ergänzen	4	Trage den blühenden Pflanzenteil in den Ansatz ein und halte ihn darin. Halte ihn im laufenden Arbeitsgang und arbeite ihn ein. Gib einen weiteren Anteil davon zu. Setze danach das vorgeschriebene Maß ein und führe den Gang fort, bis der Ansatz bereit ist.
H4	f55v	Breitblättrige Pflanze: abmessen und anlegen	4	Setze vom breitblättrigen Kraut das vorgeschriebene Maß ein. Miss eine weitere Portion ab und arbeite sie um. Gib das Sollmaß dosiert zu. Lege den abgemessenen Pflanzenstoff an der im Bild bezeichneten Stelle an.
H5	f56r	Mehrköpfige Pflanze: Ansatz abziehen und Anteil ansetzen	6	Zieh den Ansatz vom Pflanzenstoff ab. Lege den nächsten Anteil an der im Bild bezeichneten Stelle an. Halte diesen Anteil dort. Setze ihn in den Arbeitsgang ein. Setze anschließend den nächsten Pflanzenanteil an. Gib danach eine abgemessene Portion kurz in den laufenden Ansatz.
B1	f81v	Gemeinsames Becken: waschen, halten und weiterführen	21	Die Flüssigkeit im gemeinsamen Becken kurz einwirken lassen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit im gemeinsamen Becken nach vorgeschriebenem Maß einsetzen. Die Flüssigkeit im gemeinsamen Becken weiter halten und zugeben und überführen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit im gemeinsamen Becken umsetzen. Die Flüssigkeit im gemeinsamen Becken weiter überführen; schließe damit diesen Arbeitsschritt. Eine abgeteilte Portion der Arbeitsflüssigkeit einsetzen. Die Flüssigkeit im gemeinsamen Becken einsetzen und überführen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit im gemeinsamen Becken weiter kurz warm halten. Die Flüssigkeit im gemeinsamen Becken kurz einwirken lassen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit im gemeinsamen Becken kurz einwirken lassen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit im gemeinsamen Becken durch den Durchlass einleiten. Die Flüssigkeit im gemeinsamen Becken im laufenden Arbeitsgang waschen. Die Flüssigkeit im gemeinsamen Becken kurz durchwaschen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit im gemeinsamen Becken umsetzen. Danach die Flüssigkeit im gemeinsamen Becken weiter aus dieser Station kurz übertragen. Die Flüssigkeit im gemeinsamen Becken an der im Bild bezeichneten Stelle anlegen. Die Flüssigkeit im gemeinsamen Becken weiter an der im Bild bezeichneten Stelle kurz umfüllen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit im gemeinsamen Becken führen. Die Flüssigkeit im gemeinsamen Becken absetzen lassen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit im gemeinsamen Becken kurz warm halten. An der im Bild bezeichneten Stelle weiterarbeiten.
B2	f82r	Mehrere Beckenstationen: anlegen, ruhen, ableiten	22	Die Flüssigkeit des oberen Beckenpaars überführen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit des oberen Beckenpaars weiter überführen; schließe damit diesen Arbeitsschritt. Eine abgeteilte Portion der Arbeitsflüssigkeit einsetzen. Die Flüssigkeit des oberen Beckenpaars an der im Bild bezeichneten Stelle anlegen. Die Flüssigkeit des oberen Beckenpaars an der im Bild bezeichneten Stelle anlegen. Danach die Flüssigkeit des oberen Beckenpaars an der im Bild bezeichneten Stelle länger anlegen. Die Arbeitsflüssigkeit am Handgerät kurz ruhen lassen; schließe damit diesen Arbeitsschritt. Danach die Arbeitsflüssigkeit am Handgerät aus dieser Station nach vorgeschriebenem Maß einsetzen. Die Arbeitsflüssigkeit am Handgerät weiter kurz ruhen lassen; schließe damit diesen Arbeitsschritt. Die Arbeitsflüssigkeit am Handgerät länger wirken lassen. Eine abgeteilte Portion der Arbeitsflüssigkeit einsetzen. Die Portion an der mittleren rechten Station führen und abnehmen. Die Flüssigkeit des unteren Beckens abführen und überführen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit des unteren Beckens aus dieser Station ableiten. Die Arbeitsflüssigkeit der Randstationen kurz halten. Die Arbeitsflüssigkeit der Randstationen aus dieser Station an der im Bild bezeichneten Stelle ableiten und umfüllen. Die Arbeitsflüssigkeit der Randstationen an der im Bild bezeichneten Stelle kurz abkühlen lassen und ruhen lassen; schließe damit diesen Arbeitsschritt. Die Arbeitsflüssigkeit der Randstationen länger einwirken lassen; schließe damit diesen Arbeitsschritt. Die Arbeitsflüssigkeit der Randstationen auskühlen lassen und absetzen lassen; schließe damit diesen Arbeitsschritt. Danach länger einwirken lassen; schließe damit diesen Arbeitsschritt. Die Arbeitsflüssigkeit der Randstationen länger einwirken lassen; schließe damit diesen Arbeitsschritt. Die Arbeitsflüssigkeit der Randstationen im laufenden Arbeitsgang abführen und überführen; schließe damit diesen Arbeitsschritt.
B3	f83r	Gefäß- und Randstationen: zuführen, absetzen, umfüllen	34	Die Flüssigkeit der oberen Fächerstation länger auffangen und stehen lassen; schließe damit diesen Arbeitsschritt. Danach die Flüssigkeit der oberen Fächerstation an der im Bild bezeichneten Stelle länger anwärmen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit der oberen Fächerstation nach vorgeschriebenem Maß abführen und abmessen und umsetzen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit der oberen Fächerstation nach vorgeschriebenem Maß einsetzen. Danach die Flüssigkeit im runden Gefäß aus dieser Station an der im Bild bezeichneten Stelle umfüllen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit im runden Gefäß umsetzen. Die Flüssigkeit im runden Gefäß nach vorgeschriebenem Maß einsetzen. Die Flüssigkeit im runden Gefäß abführen und überführen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit im runden Gefäß einsetzen. Danach die Flüssigkeit im korbartigen Gefäß an der im Bild bezeichneten Stelle kurz einfüllen und umfüllen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit im korbartigen Gefäß kurz bis zum gebrauchsfertigen Zustand halten und umsetzen. Die Flüssigkeit im korbartigen Gefäß aus dieser Station absetzen lassen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit im korbartigen Gefäß nach vorgeschriebenem Maß einsetzen. Die Flüssigkeit im korbartigen Gefäß im Lauf einleiten. Die Flüssigkeit im korbartigen Gefäß abführen und überführen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit im korbartigen Gefäß im laufenden Arbeitsgang führen. Den getrennt geführten Arbeitsposten länger einwirken lassen; schließe damit diesen Arbeitsschritt. Den getrennt geführten Arbeitsposten absetzen lassen; schließe damit diesen Arbeitsschritt. Den getrennt geführten Arbeitsposten kurz einwirken lassen und ruhen lassen; schließe damit diesen Arbeitsschritt. Den getrennt geführten Arbeitsposten an der im Bild bezeichneten Stelle hinleiten und umfüllen; schließe damit diesen Arbeitsschritt. Den getrennt geführten Arbeitsposten nach vorgeschriebenem Maß einsetzen. Danach den getrennt geführten Arbeitsposten überführen; schließe damit diesen Arbeitsschritt. Den getrennt geführten Arbeitsposten abführen und überführen; schließe damit diesen Arbeitsschritt. Den getrennt geführten Arbeitsposten überführen; schließe damit diesen Arbeitsschritt. Den getrennt geführten Arbeitsposten einsetzen und überführen; schließe damit diesen Arbeitsschritt. Den getrennt geführten Arbeitsposten aus dieser Station nach vorgeschriebenem Maß länger ableiten. Danach länger einwirken lassen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit zwischen dem Figurenpaar länger wirken lassen. Die Flüssigkeit zwischen dem Figurenpaar weiter vollständig eintragen. Die Flüssigkeit zwischen dem Figurenpaar einsetzen. Die Flüssigkeit zwischen dem Figurenpaar länger einwirken lassen; schließe damit diesen Arbeitsschritt. Eine abgeteilte Portion der Arbeitsflüssigkeit abmessen und umsetzen. Die Flüssigkeit zwischen dem Figurenpaar abführen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit zwischen dem Figurenpaar im laufenden Arbeitsgang bis zum gebrauchsfertigen Zustand bis zur vorgeschriebenen Stufe eintragen.
B4	f83r	Figurenpaar und Hauptstationen: einwirken, befestigen, führen	16	Die Flüssigkeit zwischen dem Figurenpaar länger einwirken lassen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit zwischen dem Figurenpaar weiter länger wirken lassen. Die Flüssigkeit zwischen dem Figurenpaar umsetzen. Die Flüssigkeit zwischen dem Figurenpaar einsetzen und festbinden; schließe damit diesen Arbeitsschritt. Die Flüssigkeit zwischen dem Figurenpaar als Portion abmessen und umsetzen. Die Flüssigkeit zwischen dem Figurenpaar durch den Durchlass kurz zurückhalten; schließe damit diesen Arbeitsschritt. Die Flüssigkeit zwischen dem Figurenpaar durch den Durchlass kurz zurückhalten; schließe damit diesen Arbeitsschritt. Die Flüssigkeit zwischen dem Figurenpaar nach vorgeschriebenem Maß länger warm halten. Die Flüssigkeit zwischen dem Figurenpaar absetzen lassen; schließe damit diesen Arbeitsschritt. Weiterarbeiten; schließe damit diesen Arbeitsschritt. Die Flüssigkeit der linken Hauptstation nach vorgeschriebenem Maß kurz warm halten. Die Flüssigkeit der linken Hauptstation abführen und überführen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit der linken Hauptstation weiter einsetzen. Den Ansatz mit dem laufenden Bestand kurz durch den Durchlass führen; schließe damit diesen Arbeitsschritt. Eine abgeteilte Portion der Arbeitsflüssigkeit einsetzen. Eine abgeteilte Portion der Arbeitsflüssigkeit weiter dosiert zugeben.
B5	f83r	Linker Nachtrag: überführen und ablagern	3	Danach die Flüssigkeit der linken Fransenstation überführen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit der linken Fransenstation einsetzen und überführen; schließe damit diesen Arbeitsschritt. Die Flüssigkeit der linken Fransenstation an der im Bild bezeichneten Stelle ablagern.
