statement_id	page	record	silent_owner_de	supplied_work_object_de	literal_workshop_clause_de	fluent_working_translation_de	translation_status
H1-S001	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	den laufenden Posten kurz abnehmen	Nimm von der abgebildeten Pflanze den vorgesehenen Teil kurz ab.	CONCRETE_WORKING_READING
H1-S002	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	den laufenden Posten einsetzen	Setze diesen Pflanzenteil in den laufenden Ansatz ein.	CONCRETE_WORKING_READING
H2-S001	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	den laufenden Posten kurz abziehen	Zieh von derselben Pflanze den nächsten vorgesehenen Teil ab.	CONCRETE_WORKING_READING
H2-S002	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	Bearbeite ihn danach im vorgeschriebenen Maß weiter, bis die Zubereitung gebrauchsfertig ist.	CONCRETE_WORKING_READING
H2-S003	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben	Gib anschließend aus demselben Bezug nochmals das vorgeschriebene Maß zu.	CONCRETE_WORKING_READING
H3-S001	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	den laufenden Posten weiter eintragen und halten	Trage den blühenden Pflanzenteil in den Ansatz ein und halte ihn darin.	CONCRETE_WORKING_READING
H3-S002	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	den laufenden Posten im Arbeitsgang halten und eintragen	Halte ihn im laufenden Arbeitsgang und arbeite ihn ein.	CONCRETE_WORKING_READING
H3-S003	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	den laufenden Posten weiter zugeben	Gib einen weiteren Anteil davon zu.	CONCRETE_WORKING_READING
H3-S004	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	danach den laufenden Posten weiter nach vorgeschriebenem Maß bis bereit einsetzen	Setze danach das vorgeschriebene Maß ein und führe den Gang fort, bis der Ansatz bereit ist.	CONCRETE_WORKING_READING
H4-S001	f55v	H4	abgebildete breitblättrige rispige Pflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	den laufenden Posten nach vorgeschriebenem Maß einsetzen	Setze vom breitblättrigen Kraut das vorgeschriebene Maß ein.	CONCRETE_WORKING_READING
