atoms	portable_nucleus_de	plant_expansion_de	station_expansion_de	celestial_expansion_de	not_encoded_in_nucleus
AIIN	vorgegebener Wert	vorgeschriebenes Maß des Pflanzenansatzes	Sollstand der Beckencharge	Wert des gewählten Himmelsplatzes	Maß|Sollstand|Tabellenwert
AIN	abgeteilte Einheit	Portion des Pflanzenstoffs	Teilcharge des Beckengangs	gezählter Ring- oder Feldabschnitt	Pflanzenportion|Teilcharge|Teilabschnitt
IIN	Arbeitsstufe	Stufe der Zubereitung	Stufe des örtlichen Betriebs	Stufe der Tafelauswahl	Zubereitungsstufe|Betriebsstufe|Tafelstufe
AL	bezeichnetes Ziel	Stelle für den Pflanzenansatz	örtliche Zielstation	Zielsektor der Tafel	Anwendungsstelle|Station|Sektor
AR	bezeichnete Quelle	Ausgang aus dem Pflanzenvorrat	Quell- oder Einlassstation	Ausgangssektor oder Bezugswert	Vorrat|Einlass|Ausgangssektor
AIR	sichtbarer Lauf oder Bahn	Arbeitsflüssigkeit läuft durch Pflanzenstoff	Flüssigkeitslauf zwischen Beckenstationen	Bahn im sichtbaren Rad	Arbeitsflüssigkeit|Beckenlauf|Himmelsbahn
OL	im selben Gang fortsetzen	denselben Pflanzenansatz weiterführen	dasselbe Stationsprogramm fortsetzen	im selben Ring oder Band fortfahren	Ansatz|Stationsgang|Ringband
OT+AR	danach von der bezeichneten Quelle	danach vom Pflanzenvorrat nehmen	danach von der Quellstation weiterarbeiten	danach vom Ausgangssektor lesen	Pflanzenvorrat|Quellstation|Ausgangssektor
OR	laufender Arbeitssatz	Pflanzenzubereitung als Ansatz	örtliche Arbeitscharge	Bedingungs- oder Tabellensatz	Zubereitung|Charge|Tabellensatz
HO	Eingangsposten	Pflanzenstoff oder Zusatz eingeben	neue Charge in die Station geben	Tafeleingang oder Himmelsobjekt einsetzen	Zutat|Charge|Tafeleingang
CHEEY	sichtbares Ergebnis	klaren Auszug ablesen oder nehmen	sichtbaren Ablaufzustand prüfen	sichtbaren Tabellenwert ablesen	Klarauszug|Ablaufzustand|Ablesewert
OK+AIIN	auf Vorgabewert setzen	Pflanzenansatz auf Sollmaß stellen	Beckencharge auf Sollstand setzen	gewählten Tabellenwert aktivieren	Sollmaß|Sollstand|Tafelwert
OK+AIN	eine Einheit einsetzen	eine Pflanzenportion zugeben	eine Teilcharge einsetzen	einen gezählten Abschnitt aktivieren	Portion|Teilcharge|Abschnitt
OK+AL	am Ziel ansetzen	Ansatz an die sichtbare Stelle bringen	Zielstation in Betrieb nehmen	Zielsektor aktivieren	Anwendungsstelle|Zielstation|Zielsektor
OK+AR	von der Quelle ansetzen	vom Pflanzenvorrat neu ansetzen	Quellstation öffnen oder aktivieren	Ausgangssektor aktivieren	Pflanzenvorrat|Quellstation|Ausgangssektor
OK+OL	Fortsetzung neu aufnehmen	laufenden Pflanzenansatz wieder aufnehmen	denselben Stationsgang wieder einsetzen	Fortsetzung im Ring aktivieren	Ansatz|Stationsgang|Ringfortsetzung
OT+OL	danach im selben Verfahren weiter	mit der nächsten Fraktion im selben Ansatz fortfahren	an der nächsten Station dasselbe Programm fortführen	am nächsten Platz im selben Ring weitergehen	Fraktion|Station|Platz
OL+OR	fortgeführter Arbeitssatz	weitergeführte Pflanzenzubereitung	fortgesetzte Arbeitscharge	fortgesetzter Bedingungs- oder Tabellensatz	Zubereitung|Charge|Bedingungssatz
