exercise_id	invariant_atoms	invariant_nucleus_de	observed_occurrences	observed_surface_types	observed_pages	herbal_owner	herbal_expansion_de	biological_owner	biological_expansion_de	astro_owner	astro_expansion_de	changed_local_nouns	invariant_prediction_de	overreading_warning_de	status
OS01	AIIN	vorgegebener Wert	34	aiin|chaiin|dadaiin|daiin|oaiin|saiin|taiin|todaiin	f10r|f11r|f55v|f56r|f67r2|f69v|f81v|f82r|f83r	sichtbare abgebildete Pflanze oder ihr laufender Ansatz	vorgeschriebenes Maß des Pflanzenansatzes	sichtbares Becken, Gefäß oder örtliche Station	Sollstand der Beckencharge	sichtbarer Ring, Sternplatz oder lokales Tabellenfeld	Wert des gewählten Himmelsplatzes	Maß|Sollstand|Tabellenwert	Bei jedem Besitzer bleibt der Kern ‚vorgegebener Wert‘ erhalten.	AIIN benennt nicht selbst die Maßeinheit	CREATIVE_OWNER_SUBSTITUTION__NOT_MANUSCRIPT_TEXT
OS02	AIN	abgeteilte Einheit	9	ain|chkain|dain|kain|oekain|sain|yfain	f67r2|f81v|f83r	sichtbare abgebildete Pflanze oder ihr laufender Ansatz	Portion des Pflanzenstoffs	sichtbares Becken, Gefäß oder örtliche Station	Teilcharge des Beckengangs	sichtbarer Ring, Sternplatz oder lokales Tabellenfeld	gezählter Ring- oder Feldabschnitt	Pflanzenportion|Teilcharge|Teilabschnitt	Bei jedem Besitzer bleibt der Kern ‚abgeteilte Einheit‘ erhalten.	AIN ist nicht AIIN und keine Zahl an sich	CREATIVE_OWNER_SUBSTITUTION__NOT_MANUSCRIPT_TEXT
OS03	IIN	Arbeitsstufe	6	daiiin|doiin|kaiiin|oiiin|oiin|soiiin	f10r|f67r2|f81v|f83r	sichtbare abgebildete Pflanze oder ihr laufender Ansatz	Stufe der Zubereitung	sichtbares Becken, Gefäß oder örtliche Station	Stufe des örtlichen Betriebs	sichtbarer Ring, Sternplatz oder lokales Tabellenfeld	Stufe der Tafelauswahl	Zubereitungsstufe|Betriebsstufe|Tafelstufe	Bei jedem Besitzer bleibt der Kern ‚Arbeitsstufe‘ erhalten.	IIN trägt keinen konkreten Zustand ohne Besitzer	CREATIVE_OWNER_SUBSTITUTION__NOT_MANUSCRIPT_TEXT
OS04	AL	bezeichnetes Ziel	22	al|aldy|alys|chal|cheal|daiial|dal|ldalor|ral|sal|tal	f56r|f67r2|f69v|f81v|f82r|f83r	sichtbare abgebildete Pflanze oder ihr laufender Ansatz	Stelle für den Pflanzenansatz	sichtbares Becken, Gefäß oder örtliche Station	örtliche Zielstation	sichtbarer Ring, Sternplatz oder lokales Tabellenfeld	Zielsektor der Tafel	Anwendungsstelle|Station|Sektor	Bei jedem Besitzer bleibt der Kern ‚bezeichnetes Ziel‘ erhalten.	AL ist keine Körperstelle aus eigener Kraft	CREATIVE_OWNER_SUBSTITUTION__NOT_MANUSCRIPT_TEXT
OS05	AR	bezeichnete Quelle	31	ar|char|chear|chykar|dar|dary|dosar|oar|oear|ofar|qear|sar|sarydy|sodar|soear	f10r|f67r2|f68r1|f69v|f81v|f82r|f83r	sichtbare abgebildete Pflanze oder ihr laufender Ansatz	Ausgang aus dem Pflanzenvorrat	sichtbares Becken, Gefäß oder örtliche Station	Quell- oder Einlassstation	sichtbarer Ring, Sternplatz oder lokales Tabellenfeld	Ausgangssektor oder Bezugswert	Vorrat|Einlass|Ausgangssektor	Bei jedem Besitzer bleibt der Kern ‚bezeichnete Quelle‘ erhalten.	AR benennt weder Gefäß noch Stern	CREATIVE_OWNER_SUBSTITUTION__NOT_MANUSCRIPT_TEXT
OS06	AIR	sichtbarer Lauf oder Bahn	14	air|airchy|chair|dair|doair|kair|qofair|schedair|ypair	f10r|f67r2|f69v|f81v|f83r	sichtbare abgebildete Pflanze oder ihr laufender Ansatz	Arbeitsflüssigkeit läuft durch Pflanzenstoff	sichtbares Becken, Gefäß oder örtliche Station	Flüssigkeitslauf zwischen Beckenstationen	sichtbarer Ring, Sternplatz oder lokales Tabellenfeld	Bahn im sichtbaren Rad	Arbeitsflüssigkeit|Beckenlauf|Himmelsbahn	Bei jedem Besitzer bleibt der Kern ‚sichtbarer Lauf oder Bahn‘ erhalten.	AIR ist nicht allgemein das Wort Wasser	CREATIVE_OWNER_SUBSTITUTION__NOT_MANUSCRIPT_TEXT
OS07	OL	im selben Gang fortsetzen	29	cheol|chol|cphol|dolchsody|oeoldan|ol|oldy|ols|oly|qol|qolky|rol|sol|tol	f10r|f67r2|f68r1|f69v|f81v|f83r	sichtbare abgebildete Pflanze oder ihr laufender Ansatz	denselben Pflanzenansatz weiterführen	sichtbares Becken, Gefäß oder örtliche Station	dasselbe Stationsprogramm fortsetzen	sichtbarer Ring, Sternplatz oder lokales Tabellenfeld	im selben Ring oder Band fortfahren	Ansatz|Stationsgang|Ringband	Bei jedem Besitzer bleibt der Kern ‚im selben Gang fortsetzen‘ erhalten.	OL sagt nicht, was fortgesetzt wird	CREATIVE_OWNER_SUBSTITUTION__NOT_MANUSCRIPT_TEXT
OS08	OT+AR	danach von der bezeichneten Quelle	3	otar|otoar	f67r2|f69v|f81v	sichtbare abgebildete Pflanze oder ihr laufender Ansatz	danach vom Pflanzenvorrat nehmen	sichtbares Becken, Gefäß oder örtliche Station	danach von der Quellstation weiterarbeiten	sichtbarer Ring, Sternplatz oder lokales Tabellenfeld	danach vom Ausgangssektor lesen	Pflanzenvorrat|Quellstation|Ausgangssektor	Bei jedem Besitzer bleibt der Kern ‚danach von der bezeichneten Quelle‘ erhalten.	OT ordnet, AR adressiert; keines benennt die Sache selbst	CREATIVE_OWNER_SUBSTITUTION__NOT_MANUSCRIPT_TEXT
OS09	OR	laufender Arbeitssatz	13	chor|chpor|or|oran|ror|shor|sor|soraiir	f10r|f55v|f67r2|f68r1|f83r	sichtbare abgebildete Pflanze oder ihr laufender Ansatz	Pflanzenzubereitung als Ansatz	sichtbares Becken, Gefäß oder örtliche Station	örtliche Arbeitscharge	sichtbarer Ring, Sternplatz oder lokales Tabellenfeld	Bedingungs- oder Tabellensatz	Zubereitung|Charge|Tabellensatz	Bei jedem Besitzer bleibt der Kern ‚laufender Arbeitssatz‘ erhalten.	OR ist weder Öl noch ein einzelner Stoff	CREATIVE_OWNER_SUBSTITUTION__NOT_MANUSCRIPT_TEXT
OS10	HO	Eingangsposten	23	cho|chocfhy|chod|choer|choky|chol|choly|chos|dchor|ochol|ochoyk|oepchod|sho	f56r|f67r2|f68r1|f69v	sichtbare abgebildete Pflanze oder ihr laufender Ansatz	Pflanzenstoff oder Zusatz eingeben	sichtbares Becken, Gefäß oder örtliche Station	neue Charge in die Station geben	sichtbarer Ring, Sternplatz oder lokales Tabellenfeld	Tafeleingang oder Himmelsobjekt einsetzen	Zutat|Charge|Tafeleingang	Bei jedem Besitzer bleibt der Kern ‚Eingangsposten‘ erhalten.	HO ist kein universelles Pflanzenwort	CREATIVE_OWNER_SUBSTITUTION__NOT_MANUSCRIPT_TEXT
OS11	CHEEY	sichtbares Ergebnis	10	cheey|qocheey|shey|sshey|tshey	f11r|f67r2|f68r1|f69v|f82r|f83r	sichtbare abgebildete Pflanze oder ihr laufender Ansatz	klaren Auszug ablesen oder nehmen	sichtbares Becken, Gefäß oder örtliche Station	sichtbaren Ablaufzustand prüfen	sichtbarer Ring, Sternplatz oder lokales Tabellenfeld	sichtbaren Tabellenwert ablesen	Klarauszug|Ablaufzustand|Ablesewert	Bei jedem Besitzer bleibt der Kern ‚sichtbares Ergebnis‘ erhalten.	CHEEY bedeutet weder klar noch Flüssigkeit allein	CREATIVE_OWNER_SUBSTITUTION__NOT_MANUSCRIPT_TEXT
