slot	event_memberships	distinct_card_types	core_16_event_memberships	top_cards_de	apprentice_question_de
FLOW_TRANSFER	13	10	4	durchleiten:4|Wasserzulauf:1|auffangen:1|füllen:1|abführen:1|abziehen:1|von dort abführen:1|Wasser einlassen:1	Welcher lokale Lauf oder Übergang?
MEDIUM	10	9	0	Badzusatz:2|Wasserzulauf:1|Weinsud:1|Beckenwasser:1|Spülwasser:1|Warmwasser:1|Wasser einlassen:1|Wasser weiterleiten:1	Welches Arbeitsmedium?
OPERATION	143	70	73	fortsetzen:19|umsetzen:11|Posten ansetzen:10|auf Sollmaß einstellen:9|eine Portion zugeben:7|länger ansetzen:7|dort ansetzen:6|durchleiten:4	Welche Handlung wird vorbereitet?
ORDER	36	12	19	fortsetzen:19|Folgemaß:3|Vorposten:2|Folgeposten:2|weitere Portion:2|langer Folgeposten:2|danach fortsetzen:1|Fortsetzung einsetzen:1	Weiter, danach oder vom Vorposten?
OWNER_ITEM	85	30	54	dieser Posten:18|umsetzen:11|Posten ansetzen:10|länger ansetzen:7|Zutat:4|durchleiten:4|Posten ansetzen:3|Vorposten:2	Welcher aktuelle Posten ist gemeint?
PREPARATION	23	12	11	Ansatz:7|Klarflüssigkeit:4|Folgeansatz:2|Fortsetzungsansatz:2|Weinsud:1|Trank:1|verwahren:1|Auszug entnehmen:1	Welcher Ansatz oder Zustand liegt vor?
QUANTITY	56	17	36	Sollmaß:20|auf Sollmaß einstellen:9|eine Portion zugeben:7|eine Portion:3|Folgemaß:3|weitere Portion:2|Sollstufe:2|Weichstufe:1	Welche Portion, welches Maß oder welche Stufe?
SOURCE	11	6	5	daraus:5|Vorposten:2|Auszug entnehmen:1|danach von dort:1|daraus ansetzen:1|von dort abführen:1	Woher kommt er?
STATE_GRADE	47	24	18	bereit:7|länger ansetzen:7|Klarflüssigkeit:4|kurz wärmen:3|länger wärmen:2|kurz ansetzen:2|Sollstufe:2|langer Folgeposten:2	Welcher Zustand oder Grad?
TARGET	34	17	16	dorthin:10|dort ansetzen:6|danach dorthin:3|dort absetzen:2|dort länger halten:1|Arbeitsstelle:1|Auslass:1|Auffangschale:1	Wohin oder an welche Stelle?
