family_rank	family	surface	card_type	composition	working_meaning_de	strongest_rival_de	confidence	page	locus	section	language	hand	ordinal	token_count	line_position	context_basis	context_decision	action_license	it2a_operation	it2a_render	rf1b_operation	rf1b_render	reader_support	all_three_present	all_present_exact	zl3b_line	context_before_de	context_after_de	literal_after_de	review_note
1	COLD_WOOD_PAIR	ltaiin	PRODUCTIVE_COMPOUND	L_WOOD+T_COLD+AIIN_III	Holzdroge, kalt auf Stufe III	kalter Holzabsud, Charge III	STRONG_PRACTICAL_OR_COMPOSITIONAL	f77r	f77r.38	B	B	2	7	9	MEDIAL	GDT676_V50_LINE_READER	HOLD_DEFAULT	0	EXACT	ltaiin	EXACT	ltaiin	BOTH_EXACT	1	0	pol shedy qoeedy qokaiin chcphey qol ltaiin shedy qol	Pulverstoff · feucht, Mittelstufe, abgeschlossen · vollständig fertiggestellten Ansatz nehmen · heiß, Grad III · bis Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum · Drogenstoff zugeben · ⟦ltaiin:?⟧ · feucht, Mittelstufe, abgeschlossen · Drogenstoff zugeben.	Pulverstoff · feucht, Mittelstufe, abgeschlossen · vollständig fertiggestellten Ansatz nehmen · heiß, Grad III · bis Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum · Drogenstoff zugeben · Holzdroge, kalt auf Stufe III · feucht, Mittelstufe, abgeschlossen · Drogenstoff zugeben.	Pulverstoff | feucht in der Mitte des Grades, abgeschlossen | nimm den vollständig fertiggestellten Ansatz | heiß, Grad III | bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum | Drogenstoff zugeben | Holzdroge, kalt auf Stufe III | feucht in der Mitte des Grades, abgeschlossen | Drogenstoff zugeben	Zwischen Zugebe- und Feuchtfeldern als konkret bezeichnetes Zugabegut lesbar.
1	COLD_WOOD_PAIR	oltaiin	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+T_COLD+AIIN_III	Holzdrogenansatz, kalt auf Stufe III	kalte Drogenbasis, Stufe III	STRONG_PRACTICAL_OR_COMPOSITIONAL	f80v	f80v.27	B	B	2	7	10	MEDIAL	GDT676_V50_LINE_READER	HOLD_DEFAULT	0	EXACT	oltaiin	EXACT	oltaiin	BOTH_EXACT	1	0	pshol kain olkar shey qokain dal oltaiin okain shal qoty	Eingeweichter Pulverstoff · heiß, Grad II · erste erhitzte Drogenfraktion im Ansatz · feucht, Mittelstufe · heiß, Grad II · abgemessene Rohstoffmenge I · ⟦oltaiin:?⟧ · heiß, Grad II, im Zubereitungsrahmen · Rohstoffklasse I, feucht, Anfangsstufe · kalt, Anfangsstufe.	Eingeweichter Pulverstoff · heiß, Grad II · erste erhitzte Drogenfraktion im Ansatz · feucht, Mittelstufe · heiß, Grad II · abgemessene Rohstoffmenge I · Holzdrogenansatz, kalt auf Stufe III · heiß, Grad II, im Zubereitungsrahmen · Rohstoffklasse I, feucht, Anfangsstufe · kalt, Anfangsstufe.	eingeweichter Pulverstoff | heiß, Grad II | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | feucht in der Mitte des Grades | heiß, Grad II | abgemessene Rohstoffmenge I | Holzdrogenansatz, kalt auf Stufe III | heiß im Zubereitungsrahmen, Grad II | Rohstoffklasse I, feucht am Gradanfang | kalt am Anfang des Grades	Im Heiß-/Kaltregister sauberer Gegenpol zu den benachbarten Heizstufen.
2	HOT_DRY_PAIR	kchody	PRODUCTIVE_COMPOUND	K_HOT+CH_DRY+O_PREP+DY_FINISHED	fertiggestellter heiß-trockener Ansatz	erhitzen, trocknen, ansetzen und fertigstellen	STRONG_PRACTICAL_OR_COMPOSITIONAL	f5r	f5r.1	H	A	1	1	9	INITIAL	GDT671_V48_PANEL	HOLD_DEFAULT	0	ONE	kshody	EXACT	kchody	ONE_EXACT	1	0	kchody fchoy chkoy oaiin oar olsy chody dkshy dy	⟦kchody:?⟧ · ⟦fchoy:?⟧ · ⟦chkoy:?⟧ · Ansatzmenge III · Drogenfraktion I im Ansatz · ⟦olsy:?⟧ · Trockenansatz, abgeschlossen · ⟦dkshy:?⟧ · Qualitäts-/Wertfeld geschlossen.	fertiggestellter heiß-trockener Ansatz · ⟦fchoy:?⟧ · ⟦chkoy:?⟧ · Ansatzmenge III · Drogenfraktion I im Ansatz · ⟦olsy:?⟧ · Trockenansatz, abgeschlossen · ⟦dkshy:?⟧ · Qualitäts-/Wertfeld geschlossen.	fertiggestellter heiß-trockener Ansatz | [fchoy:?] | [chkoy:?] | Ansatzmenge III | Drogenfraktion I im Ansatz | [olsy:?] | Trockenansatz, abgeschlossen | [dkshy:?] | Qualitäts-/Wertfeld geschlossen	Späteres chody derselben Zeile liefert den Minimalvergleich ohne vorangestelltes k.
2	HOT_DRY_PAIR	kchody	PRODUCTIVE_COMPOUND	K_HOT+CH_DRY+O_PREP+DY_FINISHED	fertiggestellter heiß-trockener Ansatz	erhitzen, trocknen, ansetzen und fertigstellen	STRONG_PRACTICAL_OR_COMPOSITIONAL	f66r	f66r.57	T	B	5	3	8	MEDIAL	GDT671_V48_PANEL	HOLD_DEFAULT	0	EXACT	kchody	EXACT	kchody	BOTH_EXACT	1	0	tocpheey dol kchody qokeody qokshy qopaiin dairykodas okyd	⟦tocpheey:?⟧ · Materialmaß · ⟦kchody:?⟧ · ⟦qokeody:?⟧ · heiß und feucht am Anfang des Grades · ⟦qopaiin:?⟧ · ⟦dairykodas:?⟧ · ⟦okyd:?⟧.	⟦tocpheey:?⟧ · Materialmaß · fertiggestellter heiß-trockener Ansatz · ⟦qokeody:?⟧ · heiß und feucht am Anfang des Grades · ⟦qopaiin:?⟧ · ⟦dairykodas:?⟧ · ⟦okyd:?⟧.	[tocpheey:?] | Materialmaß | fertiggestellter heiß-trockener Ansatz | [qokeody:?] | heiß und feucht am Anfang des Grades | [qopaiin:?] | [dairykodas:?] | [okyd:?]	Nach Materialmaß und vor weiterer Prozesskarte als fertiges Zwischenergebnis lesbar.
2	HOT_DRY_PAIR	kchody	PRODUCTIVE_COMPOUND	K_HOT+CH_DRY+O_PREP+DY_FINISHED	fertiggestellter heiß-trockener Ansatz	erhitzen, trocknen, ansetzen und fertigstellen	STRONG_PRACTICAL_OR_COMPOSITIONAL	f86v5	f86v5.24	T	B	2	5	9	MEDIAL	GDT676_V50_LINE_READER	HOLD_DEFAULT	0	EXACT	kchody	EXACT	kchody	BOTH_EXACT	1	1	oar aiin ykain okal kchody chckhy otaiin olkar otaiin	Drogenfraktion I im Ansatz · Menge III · hiervon auf Stufe II erhitzen · Rohstoffklasse I im heißen Anfangsansatz · ⟦kchody:?⟧ · trockenes Arzneikompositum, Anfangsstufe · kalt, Grad III, im Zubereitungsrahmen · erste erhitzte Drogenfraktion im Ansatz · kalt, Grad III, im Zubereitungsrahmen.	Drogenfraktion I im Ansatz · Menge III · hiervon auf Stufe II erhitzen · Rohstoffklasse I im heißen Anfangsansatz · fertiggestellter heiß-trockener Ansatz · trockenes Arzneikompositum, Anfangsstufe · kalt, Grad III, im Zubereitungsrahmen · erste erhitzte Drogenfraktion im Ansatz · kalt, Grad III, im Zubereitungsrahmen.	Drogenfraktion I im Ansatz | Menge III | erhitze hiervon auf Stufe II | Rohstoffklasse I im Ansatz, heiß am Gradanfang | fertiggestellter heiß-trockener Ansatz | Arzneikompositum: trocken, Gradanfang | kalt im Zubereitungsrahmen, Grad III | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | kalt im Zubereitungsrahmen, Grad III	Nominales Zustandsregister; Ergebnislesung ist lokaler als ein neuer Imperativ.
2	HOT_DRY_PAIR	kchody	PRODUCTIVE_COMPOUND	K_HOT+CH_DRY+O_PREP+DY_FINISHED	fertiggestellter heiß-trockener Ansatz	erhitzen, trocknen, ansetzen und fertigstellen	STRONG_PRACTICAL_OR_COMPOSITIONAL	f87r	f87r.8	H	A	1	5	5	FINAL	GDT671_V48_PANEL	HOLD_DEFAULT	0	EXACT	kchody	EXACT	kchody	BOTH_EXACT	1	0	solsheor ysaiin chor cheory kchody	⟦solsheor:?⟧ · ⟦ysaiin:?⟧ · Pflanzen-/Reproduktionsteil · ⟦cheory:?⟧ · ⟦kchody:?⟧.	⟦solsheor:?⟧ · ⟦ysaiin:?⟧ · Pflanzen-/Reproduktionsteil · ⟦cheory:?⟧ · fertiggestellter heiß-trockener Ansatz.	[solsheor:?] | [ysaiin:?] | Pflanzen-/Reproduktionsteil | [cheory:?] | fertiggestellter heiß-trockener Ansatz	Zeilenfinal nach Pflanzenteil; typische Ergebnisposition.
2	HOT_DRY_PAIR	ykcho	PRODUCTIVE_COMPOUND	Y_REFERENCE+KCHO_HOT_DRY_PREP	hieraus einen heiß-trockenen Ansatz bereiten	daraus bereiteter heiß-trockener Ansatz	STRONG_PRACTICAL_OR_COMPOSITIONAL	f18v	f18v.4	H	A	1	4	6	MEDIAL	GDT671_V48_PANEL	HOLD_ACTION_DEFAULT	1	EXACT	ykcho	EXACT	ykcho	BOTH_EXACT	1	0	qotchy qokay qokchy ykcho ydl dar	kalt und trocken am Anfang des Grades · ⟦qokay:?⟧ · heiß und trocken am Anfang des Grades · ⟦ykcho:?⟧ · ⟦ydl:?⟧ · abgemessene Fraktion I.	kalt und trocken am Anfang des Grades · ⟦qokay:?⟧ · heiß und trocken am Anfang des Grades · hieraus einen heiß-trockenen Ansatz bereiten · ⟦ydl:?⟧ · abgemessene Fraktion I.	kalt und trocken am Anfang des Grades | [qokay:?] | heiß und trocken am Anfang des Grades | hieraus einen heiß-trockenen Ansatz bereiten | [ydl:?] | abgemessene Fraktion I	Nach einer heiß-trockenen Zustandskarte fügt y+kcho einen rückbezogenen neuen Ansatzschritt hinzu.
2	HOT_DRY_PAIR	ykcho	PRODUCTIVE_COMPOUND	Y_REFERENCE+KCHO_HOT_DRY_PREP	hieraus einen heiß-trockenen Ansatz bereiten	daraus bereiteter heiß-trockener Ansatz	STRONG_PRACTICAL_OR_COMPOSITIONAL	f21v	f21v.7	H	A	1	1	8	INITIAL	GDT671_V48_PANEL	HOLD_ACTION_WITH_NOMINAL_RIVAL	1	EXACT	ykcho	EXACT	ykcho	BOTH_EXACT	1	0	ykcho lchol cho l chaiin otchy s sheaiin	⟦ykcho:?⟧ · trockener Drogenholzstoff/Trockengut · Trockenansatz · Pfund / Gewichtseinheit · trocken, Grad III · kalt-trockener Ansatz am Anfang des Grades · Samen-/Saatgutposten · ⟦sheaiin:?⟧.	Hieraus einen heiß-trockenen Ansatz bereiten · trockener Drogenholzstoff/Trockengut · Trockenansatz · Pfund / Gewichtseinheit · trocken, Grad III · kalt-trockener Ansatz am Anfang des Grades · Samen-/Saatgutposten · ⟦sheaiin:?⟧.	hieraus einen heiß-trockenen Ansatz bereiten | trockener Drogenholzstoff/Trockengut | Trockenansatz | Pfund / Gewichtseinheit | trocken, Grad III | kalt-trockener Ansatz am Anfang des Grades | Samen-/Saatgutposten | [sheaiin:?]	Rezeptöffnender Imperativ vor Holz-/Trocken-/Gradfeldern; der nominale Rivale bleibt hier am stärksten.
2	HOT_DRY_PAIR	ykcho	PRODUCTIVE_COMPOUND	Y_REFERENCE+KCHO_HOT_DRY_PREP	hieraus einen heiß-trockenen Ansatz bereiten	daraus bereiteter heiß-trockener Ansatz	STRONG_PRACTICAL_OR_COMPOSITIONAL	f56r	f56r.6	H	A	1	1	6	INITIAL	GDT676_V50_LINE_READER	HOLD_ACTION_DEFAULT	1	EXACT	ykcho	EXACT	ykcho	BOTH_EXACT	1	1	ykcho dy dchey keey daiin y	⟦ykcho:?⟧ · Qualitäts-/Wertfeld geschlossen · abgemessene Trockendroge der Mittelstufe, abgeschlossen · heiß, Endstufe · Grad/Maß III · Eintrag abgeschlossen.	Hieraus einen heiß-trockenen Ansatz bereiten · Qualitäts-/Wertfeld geschlossen · abgemessene Trockendroge der Mittelstufe, abgeschlossen · heiß, Endstufe · Grad/Maß III · Eintrag abgeschlossen.	hieraus einen heiß-trockenen Ansatz bereiten | Qualitäts-/Wertfeld geschlossen | abgemessene Trockendroge der Mittelstufe, abgeschlossen | heiß am Ende des Grades | Grad-/Maßwert III | Eintrag abgeschlossen	Der Ansatzschritt eröffnet die Zeile; die folgenden Schluss- und Messfelder beschreiben sein Ergebnis.
2	HOT_DRY_PAIR	ykcho	PRODUCTIVE_COMPOUND	Y_REFERENCE+KCHO_HOT_DRY_PREP	hieraus einen heiß-trockenen Ansatz bereiten	daraus bereiteter heiß-trockener Ansatz	STRONG_PRACTICAL_OR_COMPOSITIONAL	f86v3	f86v3.20	C	B	2	2	9	MEDIAL	GDT671_V48_PANEL	HOLD_ACTION_DEFAULT	1	EXACT	ykcho	EXACT	ykcho	BOTH_EXACT	1	0	lshodair ykcho dar chody ykeeody qochey chckhey lkar ary	⟦lshodair:?⟧ · ⟦ykcho:?⟧ · abgemessene Fraktion I · Trockenansatz, abgeschlossen · ⟦ykeeody:?⟧ · ⟦qochey:?⟧ · Arzneikompositum: trocken, Gradmitte · heiße Holzfraktion I · Drogenfraktion I, abgeschlossen.	⟦lshodair:?⟧ · hieraus einen heiß-trockenen Ansatz bereiten · abgemessene Fraktion I · Trockenansatz, abgeschlossen · ⟦ykeeody:?⟧ · ⟦qochey:?⟧ · Arzneikompositum: trocken, Gradmitte · heiße Holzfraktion I · Drogenfraktion I, abgeschlossen.	[lshodair:?] | hieraus einen heiß-trockenen Ansatz bereiten | abgemessene Fraktion I | Trockenansatz, abgeschlossen | [ykeeody:?] | [qochey:?] | Arzneikompositum: trocken, Gradmitte | heiße Holzfraktion I | Drogenfraktion I, abgeschlossen	Direkt nach einem Ausgangsposten und vor abgemessener Fraktion der stärkste anaphorische Handlungskontext.
