decision_order	group_serial	diagram_id	page	locus	position_in_locus	groups_in_locus	surface	parse_alternatives	selected_parse	selected_atomic_value_de	selection_rule	working_confidence
1	6	A1	f67r2	f67r2.2	3	3	eesydy	EE+Y+DY || EE+Y+Y	EE+Y+DY	laenger + dies + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM_HIGH
2	12	A1	f67r2	f67r2.5	1	2	ykeody	Y+K+E+O+DY || Y+K+E+O+Y	Y+K+E+O+Y	dies + zufuehren + kurz + Arbeitsgang + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
3	18	A1	f67r2	f67r2.8	1	1	chkchdar	CHK+CH+AR || CHK+CHD+AR	CHK+CHD+AR	waermen + umsetzen + von dort	KNOWN_CHD_MACRO_BEATS_CH_PLUS_ENDPOINT	MEDIUM
4	32	A1	f67r2	f67r2.13	4	4	aldy	AL+DY || AL+Y	AL+DY	Stelle + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM_HIGH
5	72	A1	f67r2	f67r2.29	1	2	ytody	Y+T+O+DY || Y+T+O+Y	Y+T+O+Y	dies + eintragen + Arbeitsgang + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
6	76	A1	f67r2	f67r2.31	1	1	opcholdy	O+P+OL+DY || O+P+OL+Y	O+P+OL+DY	Arbeitsgang + hinein + fortsetzen + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM
7	102	A1	f67r2	f67r2.41	2	2	chekody	CH+E+K+O+DY || CH+E+K+O+Y	CH+E+K+O+DY	abziehen + kurz + zufuehren + Arbeitsgang + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM_HIGH
8	111	A1	f67r2	f67r2.44	2	3	sheody	SH+E+O+DY || SH+E+O+Y	SH+E+O+Y	halten + kurz + Arbeitsgang + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
9	113	A1	f67r2	f67r2.45	1	3	ycheody	Y+CHEO+DY || Y+CHEO+Y	Y+CHEO+Y	dies + Auszug + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
10	143	A1	f67r2	f67r2.62	1	1	otolor	O+OL+OR || OT+OL+OR	OT+OL+OR	danach + fortsetzen + Ansatz	KNOWN_OT_SEQUENCE_MARKER_BEATS_O_SPLIT	MEDIUM
