unified_order	unified_id	domain	unit_id	page	locus	visible_surface	formal_parse	atomic_default_de	context_expansion_de	interpretation_status	owner_or_namespace
1	P:E001	PROSE	H1	f10r	f10r.2	dchey	CH+E+Y	dies kurz abziehen	dies kurz abziehen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
2	P:E002	PROSE	H1	f10r	f10r.2	cthoor	CTH+O+OR	Ansatz bereit	Ansatz bereit	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
3	P:E003	PROSE	H1	f10r	f10r.2	char	AR	von dort	von dort	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
4	P:E004	PROSE	H1	f10r	f10r.2	chty	T+Y	dies eintragen	dies fuellen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
5	P:E005	PROSE	H1	f10r	f10r.2	os	OS	Fach	Gefäß	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
6	P:E006	PROSE	H1	f10r	f10r.2	chair	CH+AIR	Lauf abziehen	Wasser abziehen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
7	P:E007	PROSE	H1	f10r	f10r.2	otytchol	OT+Y+T+CH+OL	danach dies eintragen und weiter abziehen	danach dies fuellen und weiter abziehen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
8	P:E008	PROSE	H1	f10r	f10r.2	oky	OK+Y	verwende dies	verwende dies	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
9	P:E009	PROSE	H1	f10r	f10r.2	daiin	AIIN	Mass	Mass	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
10	P:E010	PROSE	H1	f10r	f10r.2	etyd	E+T+Y	dies kurz eintragen	dies kurz fuellen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
11	P:E011	PROSE	H1	f10r	f10r.5	qokchy	OK+Y	dies ansetzen	dies ansetzen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
12	P:E012	PROSE	H1	f10r	f10r.5	qotchol	OT+CH+OL	danach weiter abziehen	danach weiter abziehen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
13	P:E013	PROSE	H1	f10r	f10r.5	chol	OL	fortsetzen	fortsetzen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
14	P:E014	PROSE	H1	f10r	f10r.5	cthy	CTH+Y	bereit	bereit	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
15	P:E015	PROSE	H2	f10r	f10r.6	ycheor	Y+CH+E+OR	diesen Ansatz kurz abziehen	diesen Ansatz kurz abziehen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
16	P:E016	PROSE	H2	f10r	f10r.6	cthy	CTH+Y	bereit	bereit	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
17	P:E017	PROSE	H2	f10r	f10r.6	chor	OR	Ansatz	Ansatz	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
18	P:E018	PROSE	H2	f10r	f10r.6	cthaiin	CTH+AIIN	auf Maß bereitstellen	auf Maß bereitstellen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
19	P:E019	PROSE	H2	f10r	f10r.6	qoctholy	O+CTH+OL+Y	dies bereit weiterführen	dies bereit weiterführen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
20	P:E020	PROSE	H2	f10r	f10r.6	dy	Y	dies	dies	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
21	P:E021	PROSE	H2	f10r	f10r.6	chy	Y	dies	dies	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
22	P:E022	PROSE	H2	f10r	f10r.6	taiin	AIIN	Mass	Mass	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
23	P:E023	PROSE	H2	f10r	f10r.6	shy	Y	dies	dies	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
24	P:E024	PROSE	H2	f10r	f10r.8	qotchor	OT+CH+OR	danach Ansatz abziehen	danach Ansatz abziehen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
25	P:E025	PROSE	H2	f10r	f10r.8	chor	OR	Ansatz	Ansatz	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
26	P:E026	PROSE	H2	f10r	f10r.8	otol	OT+OL	danach fortsetzen	danach fortsetzen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
27	P:E027	PROSE	H2	f10r	f10r.8	chol	OL	fortsetzen	fortsetzen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
28	P:E028	PROSE	H2	f10r	f10r.8	cholor	OL+OR	weiterer Ansatz	weiterer Ansatz	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
29	P:E029	PROSE	H2	f10r	f10r.8	chol	OL	fortsetzen	fortsetzen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
30	P:E030	PROSE	H2	f10r	f10r.8	daiin	AIIN	Mass	Mass	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
31	P:E031	PROSE	H2	f10r	f10r.8	dar	AR	von dort	von dort	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
32	P:E032	PROSE	H2	f10r	f10r.9	oykchor	O+Y+K+OR	dies dem Ansatz zuführen	dies dem Ansatz zuführen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
33	P:E033	PROSE	H2	f10r	f10r.9	shor	OR	Ansatz	Ansatz	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
34	P:E034	PROSE	H2	f10r	f10r.9	chor	OR	Ansatz	Ansatz	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
35	P:E035	PROSE	H2	f10r	f10r.9	chy	Y	dies	dies	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
36	P:E036	PROSE	H2	f10r	f10r.9	kaiiin	K+IIN	bis zur Sollstufe zuführen	bis zur Sollstufe zuführen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
37	P:E037	PROSE	H2	f10r	f10r.9	dy	Y	dies	dies	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
38	P:E038	PROSE	H2	f10r	f10r.9	chodaiin	CH+O+AIIN	auf Maß abziehen	auf Maß abziehen	EXACT_PROSE_CARD	F10R_PICTURED_PLANT
39	P:E039	PROSE	H3	f11r	f11r.1	tshol	T+SH+OL	weiter eingetragen halten	weiter gefuellt halten	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
40	P:E040	PROSE	H3	f11r	f11r.1	schoal	SH+O+AL	an der Stelle halten	an der Stelle halten	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
41	P:E041	PROSE	H3	f11r	f11r.1	cfhy	CFHY	auswringen	auswringen	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
42	P:E042	PROSE	H3	f11r	f11r.1	shfydaiin	SH+Y+AIIN	dies bis zum Maß halten	dies bis zum Maß halten	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
43	P:E043	PROSE	H3	f11r	f11r.1	cphy	P+Y	dies hineinführen	dies hineinführen	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
44	P:E044	PROSE	H3	f11r	f11r.1	shey	WHOLE[cheey|shey]	Ergebnis	Klarauszug	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
45	P:E045	PROSE	H3	f11r	f11r.1	tchody	T+CH+O+DY	eintragen und abziehen; Schluss	fuellen und abziehen; Schluss	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
46	P:E046	PROSE	H3	f11r	f11r.1	shoyty	SH+O+Y+T+Y	dies halten und eintragen	dies halten und fuellen	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
47	P:E047	PROSE	H3	f11r	f11r.4	dchol	OL	fortsetzen	fortsetzen	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
48	P:E048	PROSE	H3	f11r	f11r.4	chy	Y	dies	dies	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
49	P:E049	PROSE	H3	f11r	f11r.4	kchy	K+Y	dies zuführen	dies zuführen	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
50	P:E050	PROSE	H3	f11r	f11r.4	dy	Y	dies	dies	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
51	P:E051	PROSE	H3	f11r	f11r.4	daiin	AIIN	Mass	Mass	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
52	P:E052	PROSE	H3	f11r	f11r.7	qotchy	OT+Y	nächster Posten	nächster Posten	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
53	P:E053	PROSE	H3	f11r	f11r.7	okchol	OK+OL	weiter ansetzen	weiter ansetzen	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
54	P:E054	PROSE	H3	f11r	f11r.7	cthy	CTH+Y	bereit	bereit	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
55	P:E055	PROSE	H3	f11r	f11r.7	dy	Y	dies	dies	EXACT_PROSE_CARD	F11R_PICTURED_PLANT
56	P:E056	PROSE	H4	f55v	f55v.5	qokaiin	OK+AIIN	bemessen	bemessen	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
57	P:E057	PROSE	H4	f55v	f55v.5	chaiin	AIIN	Mass	Mass	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
58	P:E058	PROSE	H4	f55v	f55v.5	ykain	Y+K+AIN	eine Portion davon zuführen	eine Portion davon zuführen	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
59	P:E059	PROSE	H4	f55v	f55v.5	ykan	Y+K+AIN	eine Portion davon zuführen	eine Portion davon zuführen	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
60	P:E060	PROSE	H4	f55v	f55v.5	ody	O+DY	Arbeitsgang abschließen	Arbeitsgang abschließen	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
61	P:E061	PROSE	H4	f55v	f55v.5	daiin	AIIN	Mass	Mass	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
62	P:E062	PROSE	H4	f55v	f55v.5	chedy	CHD+Y	dies umsetzen	dies umsetzen	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
63	P:E063	PROSE	H4	f55v	f55v.5	talam	TALAM	verwahren	verwahren	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
64	P:E064	PROSE	H4	f55v	f55v.11	ykaiin	Y+K+AIIN	dies auf Maß zuführen	dies auf Maß zuführen	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
65	P:E065	PROSE	H4	f55v	f55v.11	cheoar	CHEO+AR	Auszug aus der Quelle	Auszug aus der Quelle	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
66	P:E066	PROSE	H4	f55v	f55v.11	cheeky	CHK+EE+Y	dies länger wärmen	dies länger wärmen	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
67	P:E067	PROSE	H4	f55v	f55v.11	oldy	OL+DY	fortsetzen; Schluss	fortsetzen; Schluss	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
68	P:E068	PROSE	H4	f55v	f55v.11	aiin	AIIN	Mass	Mass	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
69	P:E069	PROSE	H4	f55v	f55v.11	okal	OK+AL	an die Stelle setzen	an die Stelle setzen	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
70	P:E070	PROSE	H4	f55v	f55v.11	oltchy	OL+T+Y	dies weiter eintragen	dies weiter fuellen	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
71	P:E071	PROSE	H4	f55v	f55v.11	or	OR	Ansatz	Ansatz	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
72	P:E072	PROSE	H4	f55v	f55v.11	y	Y	dies	dies	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
73	P:E073	PROSE	H4	f55v	f55v.11	orain	OR+AIN	Ansatzportion	Ansatzportion	EXACT_PROSE_CARD	F55V_PICTURED_PLANT
74	P:E074	PROSE	H5	f56r	f56r.5	chochor	HO+CH+OR	Gabe aus dem Ansatz abziehen	Zutat aus dem Ansatz abziehen	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
