record	page	statements	events	owners_in_order	surface_statement_sequence	continuous_clean_reading_de	surface_owner_boundary_status
H1	f10r	2	14	die breite gezahnte Bluetenpflanze	dchey cthoor char chty os chair otytchol oky daiin etyd || qokchy qotchol chol cthy	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden. Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	UNCHANGED
H2	f10r	3	24	die breite gezahnte Bluetenpflanze	ycheor cthy chor cthaiin qoctholy dy chy taiin shy || qotchor chor otol chol cholor chol daiin dar || oykchor shor chor chy kaiiin dy chodaiin	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen. Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren. Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.	UNCHANGED
H3	f11r	4	17	die dicht bluehende Kronenpflanze	tshol schoal cfhy shfydaiin cphy shey tchody || shoyty || dchol chy kchy dy daiin || qotchy okchol cthy dy	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen. Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und anwenden. Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren. Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	UNCHANGED
H4	f55v	4	18	die breitblaettrige rispige Pflanze	qokaiin chaiin ykain ykan ody || daiin chedy talam || ykaiin cheoar cheeky oldy || aiin okal oltchy or y orain	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen. Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend verwahren. Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen. Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.	UNCHANGED
H5	f56r	6	27	die mehrkoepfige stachelige Pflanze	chochor cho chodaly daiin sho kchol otchor choky dal || schol choy choky cheeckhody || sh cho kchey qokokchy || okchy chokcheo kchal || sho chokchy kchoar sotodan || otchey keol daiin	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen. Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen. Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen. Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zur Zielstelle zugeben. Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen. Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Sollmass erreicht ist.	UNCHANGED
B1	f81v	21	66	das gemeinsame zweireihige Becken	qokedy || okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy || qol sshkchdy || chedy ol shedy || qolchedy || qokain shckhy dl ral || qokchdy || chey ol cheky ol shedy || qokedy || qokedy || chckhy qoky || lsho qokey lshedy || lshedy || chedy qolky lchedal qol otar || ytey okchedy || qokal okeey qol cheedy || sal teol dchdy || ly dsheol oiiin olkeedy || tedy || cheky shckhedy || chal	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen. Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann absetzen lassen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen. Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen. Am gemeinsamen zweireihigen Becken: Den Arbeitsgang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und an der Sammelstelle halten; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln. Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten anwenden; dann ansetzen und umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann absetzen lassen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz weiterarbeiten, umsetzen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Arbeitsstufe; dann laenger an der Sammelstelle halten; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Die Zielstelle festlegen.	UNCHANGED
B2	f82r	22	62	die oberen Paarbecken mit Zylinder | die linke Mittelstation mit Zwischenknoten | die rechte unklare Mittelstation | die rechte unklare Mittelstation und das untere gruene Figurenbecken | das untere gruene Figurenbecken | die Randstationen des unteren Beckens	dchedy || qolchedy || qokain dy qokeedy || qokal lcheckhy lched qokeey lcheckhedy || qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy || oteey qokal sheckhy qoky || dshedy || sotaiin qokar shedy || solshedy || qokeey qoky ls cheey || okain char okain qokeedy || lchy cheey qcthey qokeey lcheey daiin chey qokeeedy || lchedy || lar || tshey qokeedy || cheal lchedar ches aiin oteey qokaiin okey pchedy || rsheal daldy || qokeedy || rshedy || qoteedy || qokeedy || lochedy	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen. An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen. An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen. An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen. An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen. An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen. An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen. An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen. An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen. An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten. An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen. An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen. Am unteren gruenen Figurenbecken: Leiten und umsetzen; den Schritt schliessen. Am unteren gruenen Figurenbecken: Aus der Quelle leiten. An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen. An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz entnehmen und teilen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, fuellen, umsetzen und schliessen. An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Schritt an der Zielstelle schliessen. An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen. An den Randstationen des unteren Beckens: Kuehlen und absetzen lassen; den Schritt schliessen. An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen. An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen. An den Randstationen des unteren Beckens: Im Arbeitsgang leiten und umsetzen; den Schritt schliessen.	UNCHANGED
B3	f83r	34	86	die obere offene Faecherstation | das runde Mittelgefaess | das untere Korbgefaess | das untere Korbgefaess und der bildlich unverbundene Zwischenabschnitt | der bildlich unverbundene Zwischenabschnitt | der bildlich unverbundene Zwischenabschnitt und das durch den Bogen verbundene Hauptpaar | das durch den Bogen verbundene Hauptpaar	olkeedy || qotal chkeedy || chey daiin chey lchedy || qokaiin qotal dar || schedy || chedchy qokal olchedy || qokaiin chedy qokeedy || lchedy || qoky || pchedal otedy || shecthedchy qoky chedy chary || sor shedy || qokaiin chkain shcthey qokedy || okair sheedy || lchedy || lo qokchedy || qokeedy || shedy || qokshedy || dal lchedy || qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy || qotchedy || lchedy || tchedy || qokchdy || cheedar chldaiin chedy qokain checthy chealror solkeedy || qoteedy || qokeey qokedy || sol cheeety qokedy || qoky saiin schedair otchedy || qokeedy || chedain chedy qotedaiin otaiin otedy || ldy || soiiin checthy chety otaiin olsaly shedy	An der oberen offenen Faecherstation: Laenger an der Sammelstelle halten und den Schritt schliessen. An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen. An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen. An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten. Am runden Mittelgefaess: Umsetzen; den Schritt schliessen. Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen. Am runden Mittelgefaess: Nach Sollmass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen. Am runden Mittelgefaess: Leiten und umsetzen; den Schritt schliessen. Am runden Mittelgefaess: Den laufenden Posten ansetzen. Am unteren Korbgefaess: An der Zielstelle fuellen und umsetzen; danach den kurzen Folgeschritt schliessen. Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle. Am unteren Korbgefaess: Den Ansatz absetzen lassen und den Schritt schliessen. Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen. Am unteren Korbgefaess: Die laufende Fluessigkeit ansetzen; dann laenger halten; den Schritt schliessen. Am unteren Korbgefaess: Leiten und umsetzen; den Schritt schliessen. Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang leiten; dann ansetzen und umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Absetzen lassen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: An der Zielstelle leiten, umsetzen und den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen. Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Leiten und umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger an der Sammelstelle halten und schliessen. Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; dann vollstaendig den laufenden Posten anwenden; dann kurz ansetzen; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen. Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Leiten; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Arbeitsstufe fuehren; den Posten bereitet halten und anwenden; danach nach Sollmass an der Zielstelle weiterfuehren, absetzen und schliessen.	UNCHANGED
B4	f83r	16	47	das zweite durch den Bogen verbundene Hauptpaar | die linke offene Randstation | die linke offene Randstation und die rechte S-Lauf-Mehrfachstation | die rechte S-Lauf-Mehrfachstation	qokeedy || qolchey qokeey qokedy || chedy otal otchey qokeey qoky tol shedy || qokylddy || dain chedy qokeedy || shckhedy || shckhedy || saiin cheeky sheey qokedy || shedy || oldy || saiin cheky okeeol okain chdy sol lkedy || lchedy || qokol shedy || or chey qockhey dairydy || qokain shey kain chckhal solkey lchedy || qolkain dal skar shedy	Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten weiterarbeiten; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, absetzen und schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Absetzen lassen; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; den Schritt schliessen. An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen. An der linken offenen Randstation: Leiten und umsetzen; den Schritt schliessen. An der linken offenen Randstation: Weiter ansetzen; dann absetzen lassen; den Schritt schliessen. An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen. An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz an der Sammelstelle halten, leiten, umsetzen und schliessen. An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, absetzen lassen und schliessen.	UNCHANGED
B5	f83r	3	11	die linke offene Nebenstation	otchdy || qokchdy || shedal dal cheol lol chdal aiin sol daiiin chedy	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen. An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen. An der linken offenen Nebenstation: An der Zielstelle absetzen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, fuer den zweiten Durchgang bis zur Arbeitsstufe fuehren und den Posten umsetzen.	UNCHANGED
