exact_card_id	semantic_family	component_recipe	rebuilt_reading_de	component_count	pass737_status	pass738_status	registered_surfaces	events	pass739_status
PROC001	SEM001	CH+E+Y	ENTNEHMEN · KURZ · DIES	3	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	dchey	1	UNCHANGED_CARD_COMPOSITION
PROC002	SEM002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	3	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	cthoor	1	UNCHANGED_CARD_COMPOSITION
PROC003	SEM003	AR	QUELLE	1	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	char|dar|sar	5	UNCHANGED_CARD_COMPOSITION
PROC004	SEM004	T+Y	ANWENDEN · DIES	2	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	chety|chty	2	UNCHANGED_CARD_COMPOSITION
PROC005	SEM005	OS	FACH	1	HAS_MEMORIZED_WHOLE_COMMAND	HAS_MEMORIZED_WHOLE_COMMAND	os	1	UNCHANGED_CARD_COMPOSITION
PROC006	SEM006	CH+AIR	ENTNEHMEN · WASSER	2	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	chair	1	UNCHANGED_CARD_COMPOSITION
PROC007	SEM007	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	5	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	otytchol	1	UNCHANGED_CARD_COMPOSITION
PROC008	SEM008	OK+Y	ANSETZEN · DIES	2	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	choky|oky|qoky	10	UNCHANGED_CARD_COMPOSITION
PROC011	SEM008	OK+Y	ANSETZEN · DIES	2	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	chokchy|okchy|qokchy	3	UNCHANGED_CARD_COMPOSITION
PROC009	SEM009	AIIN	SOLLMASS	1	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	aiin|chaiin|daiin|saiin|taiin	20	UNCHANGED_CARD_COMPOSITION
PROC010	SEM010	E+T+Y	KURZ · ANWENDEN · DIES	3	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	etyd	1	UNCHANGED_CARD_COMPOSITION
PROC012	SEM011	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	3	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	qotchol	1	UNCHANGED_CARD_COMPOSITION
PROC013	SEM012	OL	WEITER	1	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	cheol|chol|ol|qol|sol|tol	19	UNCHANGED_CARD_COMPOSITION
PROC115	SEM012	OL	WEITER	1	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	FULLY_COMPOSED_FROM_RECURRENT_ROOTS	ls	1	UNCHANGED_CARD_COMPOSITION
