case_id	cue_surface	cue_component	cue_reading	base_cue_position	tested_cue_position	is_original_631_order	surface_sequence	card_sequence	command_sequence	selected_case_id	selector_signal	selector_correct	semantic_order_licensed	license_rule	source_sequence_occurrences	source_start_events	novel_bigrams_of_five	all_surfaces_unique_to_card
C1	os	OS	ARBEITSFACH	2	1	NO	os qokaiin lsho qokal shey shedy	PROC005|PROC038|PROC084|PROC048|PROC031|PROC078	ARBEITSFACH / ANSETZEN · SOLLMASS / WASCHEN · ARBEITSGANG / ANSETZEN · ZIELSTELLE / HALTEN · LANG · ARBEITSPOSTEN / ABSETZEN; SCHLUSS	C1	OS=ARBEITSFACH	YES	YES	ARBEITSFACH MUSS VOR WASCHGANG STEHEN	0	NONE	5	YES
C1	os	OS	ARBEITSFACH	2	2	YES	qokaiin os lsho qokal shey shedy	PROC038|PROC005|PROC084|PROC048|PROC031|PROC078	ANSETZEN · SOLLMASS / ARBEITSFACH / WASCHEN · ARBEITSGANG / ANSETZEN · ZIELSTELLE / HALTEN · LANG · ARBEITSPOSTEN / ABSETZEN; SCHLUSS	C1	OS=ARBEITSFACH	YES	YES	ARBEITSFACH MUSS VOR WASCHGANG STEHEN	0	NONE	5	YES
C1	os	OS	ARBEITSFACH	2	3	NO	qokaiin lsho os qokal shey shedy	PROC038|PROC084|PROC005|PROC048|PROC031|PROC078	ANSETZEN · SOLLMASS / WASCHEN · ARBEITSGANG / ARBEITSFACH / ANSETZEN · ZIELSTELLE / HALTEN · LANG · ARBEITSPOSTEN / ABSETZEN; SCHLUSS	C1	OS=ARBEITSFACH	YES	NO	ARBEITSFACH MUSS VOR WASCHGANG STEHEN	0	NONE	5	YES
C1	os	OS	ARBEITSFACH	2	4	NO	qokaiin lsho qokal os shey shedy	PROC038|PROC084|PROC048|PROC005|PROC031|PROC078	ANSETZEN · SOLLMASS / WASCHEN · ARBEITSGANG / ANSETZEN · ZIELSTELLE / ARBEITSFACH / HALTEN · LANG · ARBEITSPOSTEN / ABSETZEN; SCHLUSS	C1	OS=ARBEITSFACH	YES	NO	ARBEITSFACH MUSS VOR WASCHGANG STEHEN	0	NONE	5	YES
C1	os	OS	ARBEITSFACH	2	5	NO	qokaiin lsho qokal shey os shedy	PROC038|PROC084|PROC048|PROC031|PROC005|PROC078	ANSETZEN · SOLLMASS / WASCHEN · ARBEITSGANG / ANSETZEN · ZIELSTELLE / HALTEN · LANG · ARBEITSPOSTEN / ARBEITSFACH / ABSETZEN; SCHLUSS	C1	OS=ARBEITSFACH	YES	NO	ARBEITSFACH MUSS VOR WASCHGANG STEHEN	0	NONE	5	YES
C2	cthy	CTH	BEREIT	1	1	YES	cthy cthaiin qoctholy ches qokal qokeeedy	PROC014|PROC017|PROC018|PROC124|PROC048|PROC119	BEREIT · ARBEITSPOSTEN / BEREIT · SOLLMASS / ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN / ABNEHMEN · KURZ · TEILEN / ANSETZEN · ZIELSTELLE / ANSETZEN · VOLL; SCHLUSS	C2	CTH=BEREIT x3	YES	YES	BEREIT-CHECK DARF VOR DEM VOLLSCHLUSS WANDERN	0	NONE	4	YES
C2	cthy	CTH	BEREIT	1	2	NO	cthaiin cthy qoctholy ches qokal qokeeedy	PROC017|PROC014|PROC018|PROC124|PROC048|PROC119	BEREIT · SOLLMASS / BEREIT · ARBEITSPOSTEN / ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN / ABNEHMEN · KURZ · TEILEN / ANSETZEN · ZIELSTELLE / ANSETZEN · VOLL; SCHLUSS	C2	CTH=BEREIT x3	YES	YES	BEREIT-CHECK DARF VOR DEM VOLLSCHLUSS WANDERN	0	NONE	5	YES
C2	cthy	CTH	BEREIT	1	3	NO	cthaiin qoctholy cthy ches qokal qokeeedy	PROC017|PROC018|PROC014|PROC124|PROC048|PROC119	BEREIT · SOLLMASS / ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN / BEREIT · ARBEITSPOSTEN / ABNEHMEN · KURZ · TEILEN / ANSETZEN · ZIELSTELLE / ANSETZEN · VOLL; SCHLUSS	C2	CTH=BEREIT x3	YES	YES	BEREIT-CHECK DARF VOR DEM VOLLSCHLUSS WANDERN	0	NONE	4	YES
C2	cthy	CTH	BEREIT	1	4	NO	cthaiin qoctholy ches cthy qokal qokeeedy	PROC017|PROC018|PROC124|PROC014|PROC048|PROC119	BEREIT · SOLLMASS / ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN / ABNEHMEN · KURZ · TEILEN / BEREIT · ARBEITSPOSTEN / ANSETZEN · ZIELSTELLE / ANSETZEN · VOLL; SCHLUSS	C2	CTH=BEREIT x3	YES	YES	BEREIT-CHECK DARF VOR DEM VOLLSCHLUSS WANDERN	0	NONE	4	YES
C2	cthy	CTH	BEREIT	1	5	NO	cthaiin qoctholy ches qokal cthy qokeeedy	PROC017|PROC018|PROC124|PROC048|PROC014|PROC119	BEREIT · SOLLMASS / ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN / ABNEHMEN · KURZ · TEILEN / ANSETZEN · ZIELSTELLE / BEREIT · ARBEITSPOSTEN / ANSETZEN · VOLL; SCHLUSS	C2	CTH=BEREIT x3	YES	YES	BEREIT-CHECK DARF VOR DEM VOLLSCHLUSS WANDERN	0	NONE	4	YES
