case_id	tested_cue_position	sequence_position	surface	decoded_card_no	decoded_component_parse	decoded_command_de	exact_backward_read
C1	1	1	os	PROC005	OS	ARBEITSFACH	YES
C1	1	2	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1	1	3	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1	1	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1	1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1	1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1	2	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1	2	2	os	PROC005	OS	ARBEITSFACH	YES
C1	2	3	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1	2	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1	2	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1	2	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1	3	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1	3	2	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1	3	3	os	PROC005	OS	ARBEITSFACH	YES
C1	3	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1	3	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1	3	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1	4	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1	4	2	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1	4	3	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1	4	4	os	PROC005	OS	ARBEITSFACH	YES
C1	4	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1	4	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1	5	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1	5	2	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1	5	3	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1	5	4	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1	5	5	os	PROC005	OS	ARBEITSFACH	YES
C1	5	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C2	1	1	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	YES
C2	1	2	cthaiin	PROC017	CTH+AIIN	BEREIT · SOLLMASS	YES
C2	1	3	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	YES
C2	1	4	ches	PROC124	CH+E+S	ABNEHMEN · KURZ · TEILEN	YES
C2	1	5	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C2	1	6	qokeeedy	PROC119	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	YES
C2	2	1	cthaiin	PROC017	CTH+AIIN	BEREIT · SOLLMASS	YES
C2	2	2	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	YES
C2	2	3	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	YES
C2	2	4	ches	PROC124	CH+E+S	ABNEHMEN · KURZ · TEILEN	YES
C2	2	5	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C2	2	6	qokeeedy	PROC119	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	YES
C2	3	1	cthaiin	PROC017	CTH+AIIN	BEREIT · SOLLMASS	YES
C2	3	2	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	YES
C2	3	3	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	YES
C2	3	4	ches	PROC124	CH+E+S	ABNEHMEN · KURZ · TEILEN	YES
C2	3	5	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C2	3	6	qokeeedy	PROC119	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	YES
C2	4	1	cthaiin	PROC017	CTH+AIIN	BEREIT · SOLLMASS	YES
C2	4	2	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	YES
C2	4	3	ches	PROC124	CH+E+S	ABNEHMEN · KURZ · TEILEN	YES
C2	4	4	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	YES
C2	4	5	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C2	4	6	qokeeedy	PROC119	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	YES
C2	5	1	cthaiin	PROC017	CTH+AIIN	BEREIT · SOLLMASS	YES
C2	5	2	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	YES
C2	5	3	ches	PROC124	CH+E+S	ABNEHMEN · KURZ · TEILEN	YES
C2	5	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C2	5	5	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	YES
C2	5	6	qokeeedy	PROC119	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	YES
C3	1	1	cfhy	PROC028	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	YES
C3	1	2	cphy	PROC030	P+Y	EINFUELLEN · ARBEITSPOSTEN	YES
C3	1	3	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C3	1	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C3	1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C3	1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C3	2	1	cphy	PROC030	P+Y	EINFUELLEN · ARBEITSPOSTEN	YES
C3	2	2	cfhy	PROC028	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	YES
C3	2	3	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C3	2	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C3	2	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C3	2	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C3	3	1	cphy	PROC030	P+Y	EINFUELLEN · ARBEITSPOSTEN	YES
C3	3	2	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C3	3	3	cfhy	PROC028	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	YES
C3	3	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C3	3	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C3	3	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C3	4	1	cphy	PROC030	P+Y	EINFUELLEN · ARBEITSPOSTEN	YES
C3	4	2	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C3	4	3	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C3	4	4	cfhy	PROC028	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	YES
C3	4	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C3	4	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C3	5	1	cphy	PROC030	P+Y	EINFUELLEN · ARBEITSPOSTEN	YES
C3	5	2	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C3	5	3	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C3	5	4	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C3	5	5	cfhy	PROC028	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	YES
C3	5	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C4	1	1	ykan	PROC040	Y+K+AN	ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION	YES
C4	1	2	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C4	1	3	qokain	PROC080	OK+AIN	ANSETZEN · PORTION	YES
C4	1	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C4	1	5	qokylddy	PROC155	OK+Y+LD+DY	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	YES
C4	1	6	talam	PROC043	TALAM	VERWAHREN	YES
C4	2	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C4	2	2	ykan	PROC040	Y+K+AN	ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION	YES
C4	2	3	qokain	PROC080	OK+AIN	ANSETZEN · PORTION	YES
C4	2	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C4	2	5	qokylddy	PROC155	OK+Y+LD+DY	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	YES
C4	2	6	talam	PROC043	TALAM	VERWAHREN	YES
C4	3	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C4	3	2	qokain	PROC080	OK+AIN	ANSETZEN · PORTION	YES
C4	3	3	ykan	PROC040	Y+K+AN	ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION	YES
C4	3	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
