model	world	target	witness	form	object	kind	row_status
E	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	f17v.8:1	qokeey	f17v.7:4	PRIOR_HOT	recorded
P	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	f17v.8:1	qokeey	f17v.7:4	PRIOR_HOT	recorded
R	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	f17v.8:1	qokeey	f17v.7:4	PRIOR_HOT	recorded
E	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	f17v.8:1	qokeey	f17v.7:4	PRIOR_HOT	recorded
P	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	f17v.8:1	qokeey	f17v.7:4	PRIOR_HOT	recorded
R	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	f17v.8:1	qokeey	f17v.7:4	PRIOR_HOT	recorded
P	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.33:1	qokeor	f102v2.32:9	PRIOR_HOT	recorded
P	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.38:4	qokeor	f102v2.32:9	PRIOR_HOT	recorded
R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:3	okeey	f102v2.35:9	REP_EXACT	recorded
R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:8	okeey	f102v2.35:9	REP_EXACT	recorded
P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.33:1	qokeor	f102v2.32:9	PRIOR_HOT	recorded
P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.38:4	qokeor	f102v2.32:9	PRIOR_HOT	recorded
R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:3	okeey	f102v2.35:9	REP_EXACT	recorded
R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:8	okeey	f102v2.35:9	REP_EXACT	recorded
P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.33:1	qokeor	f102v2.32:9	PRIOR_HOT	recorded
P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.38:4	qokeor	f102v2.32:9	PRIOR_HOT	recorded
R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:3	okeey	f102v2.35:9	REP_EXACT	recorded
R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:8	okeey	f102v2.35:9	REP_EXACT	recorded
