model	world	operation	form	object	prior_origin	classification	row_status
E	E|ZL3b|B|f9v|f9v.5-f9v.12	f9v.8:3	qokcho	f9v.7:6	f9v.7:3	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|B|f9v|f9v.5-f9v.12	f9v.8:3	qokcho	f9v.7:6	f9v.7:3	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|B|f9v|f9v.5-f9v.12	f9v.8:3	qokcho	f9v.7:6	f9v.7:3	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|J|f9v|f9v.5-f9v.12	f9v.8:3	qokcho	f9v.7:6	f9v.7:3	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|J|f9v|f9v.5-f9v.12	f9v.8:3	qokcho	f9v.7:6	f9v.7:3	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|J|f9v|f9v.5-f9v.12	f9v.8:3	qokcho	f9v.7:6	f9v.7:3	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|M|f9v|f9v.5-f9v.12	f9v.8:3	qokcho	f9v.7:6	f9v.7:3	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|M|f9v|f9v.5-f9v.12	f9v.8:3	qokcho	f9v.7:6	f9v.7:3	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|M|f9v|f9v.5-f9v.12	f9v.8:3	qokcho	f9v.7:6	f9v.7:3	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:2	okeey	f17v.7:4	f17v.8:1	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:2	okeey	f17v.7:4	f17v.8:1	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:2	okeey	f17v.7:4	f17v.8:1	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	f17v.8:1	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	f17v.8:1	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	f17v.8:1	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	f17v.8:1	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	f17v.8:1	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	f17v.8:1	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|B|f45v|f45v.5-f45v.11	f45v.9:4	qokom	f45v.9:2	f45v.9:3	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|B|f45v|f45v.5-f45v.11	f45v.9:4	qokom	f45v.9:2	f45v.9:3	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|B|f45v|f45v.5-f45v.11	f45v.9:4	qokom	f45v.9:2	f45v.9:3	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|J|f45v|f45v.5-f45v.11	f45v.9:4	qokom	f45v.9:2	f45v.9:3	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|J|f45v|f45v.5-f45v.11	f45v.9:4	qokom	f45v.9:2	f45v.9:3	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|J|f45v|f45v.5-f45v.11	f45v.9:4	qokom	f45v.9:2	f45v.9:3	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|M|f45v|f45v.5-f45v.11	f45v.9:4	qokom	f45v.9:2	f45v.9:3	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|M|f45v|f45v.5-f45v.11	f45v.9:4	qokom	f45v.9:2	f45v.9:3	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|M|f45v|f45v.5-f45v.11	f45v.9:4	qokom	f45v.9:2	f45v.9:3	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|B|f99r|f99r.47-f99r.52	f99r.49:4	okeey	f99r.48:2	f99r.48:4	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|B|f99r|f99r.47-f99r.52	f99r.51:7	okeey	f99r.48:2	f99r.50:3	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|B|f99r|f99r.47-f99r.52	f99r.49:4	okeey	f99r.48:2	f99r.48:4	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|B|f99r|f99r.47-f99r.52	f99r.51:7	okeey	f99r.48:2	f99r.50:3	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|B|f99r|f99r.47-f99r.52	f99r.49:4	okeey	f99r.48:2	f99r.48:4	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|B|f99r|f99r.47-f99r.52	f99r.51:7	okeey	f99r.48:2	f99r.50:3	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|J|f99r|f99r.47-f99r.52	f99r.49:4	okeey	f99r.48:2	f99r.48:4	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|J|f99r|f99r.47-f99r.52	f99r.51:7	okeey	f99r.48:2	f99r.50:3	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|J|f99r|f99r.47-f99r.52	f99r.49:4	okeey	f99r.48:2	f99r.48:4	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|J|f99r|f99r.47-f99r.52	f99r.51:7	okeey	f99r.48:2	f99r.50:3	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|J|f99r|f99r.47-f99r.52	f99r.49:4	okeey	f99r.48:2	f99r.48:4	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|J|f99r|f99r.47-f99r.52	f99r.51:7	okeey	f99r.48:2	f99r.50:3	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|M|f99r|f99r.47-f99r.52	f99r.49:4	okeey	f99r.48:2	f99r.48:4	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|M|f99r|f99r.47-f99r.52	f99r.51:7	okeey	f99r.48:2	f99r.50:3	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|M|f99r|f99r.47-f99r.52	f99r.49:4	okeey	f99r.48:2	f99r.48:4	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|M|f99r|f99r.47-f99r.52	f99r.51:7	okeey	f99r.48:2	f99r.50:3	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|M|f99r|f99r.47-f99r.52	f99r.49:4	okeey	f99r.48:2	f99r.48:4	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|M|f99r|f99r.47-f99r.52	f99r.51:7	okeey	f99r.48:2	f99r.50:3	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.36:3	okeey	f102v2.35:9	f102v2.35:9	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.36:3	okeey	f102v2.35:9	f102v2.35:9	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.32:9	f102v2.38:4	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.36:3	okeey	f102v2.35:9	f102v2.35:9	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.36:3	okeey	f102v2.35:9	f102v2.35:9	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.36:3	okeey	f102v2.35:9	f102v2.35:9	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.32:9	f102v2.38:4	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.36:3	okeey	f102v2.35:9	f102v2.35:9	HOT_TO_WARM_ASSIGNMENT	recorded
E	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.36:3	okeey	f102v2.35:9	f102v2.35:9	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.36:3	okeey	f102v2.35:9	f102v2.35:9	HOT_TO_WARM_ASSIGNMENT	recorded
P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.32:9	f102v2.38:4	HOT_TO_WARM_ASSIGNMENT	recorded
R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.36:3	okeey	f102v2.35:9	f102v2.35:9	HOT_TO_WARM_ASSIGNMENT	recorded
