model	world	source_event	location	kind	form	changed_fields	E_object	new_object	E_before	new_before	E_after	new_after	E_status	new_status	E_origin	new_origin	row_status
P	E|ZL3b|B|f17v|f17v.1-f17v.23	58	f17v.20:5	MATERIAL	sho	object,before,after,status	f17v.20:5	f17v.7:4	{}	"{""PHYSICAL:thermal"":""hot""}"	{}	"{""PHYSICAL:thermal"":""hot""}"	EXTERNAL_PORTION	ASSUMED_REFERENCE			recorded
R	E|ZL3b|B|f17v|f17v.1-f17v.23	58	f17v.20:5	MATERIAL	sho	object,before,after,status	f17v.20:5	f17v.7:4	{}	"{""PHYSICAL:thermal"":""hot""}"	{}	"{""PHYSICAL:thermal"":""hot""}"	EXTERNAL_PORTION	ASSUMED_REFERENCE			recorded
P	E|ZL3b|J|f17v|f17v.1-f17v.23	58	f17v.20:5	MATERIAL	sho	object,before,after,status	f17v.20:5	f17v.7:4	{}	"{""PHYSICAL:thermal"":""hot""}"	{}	"{""PHYSICAL:thermal"":""hot""}"	EXTERNAL_PORTION	ASSUMED_REFERENCE			recorded
R	E|ZL3b|J|f17v|f17v.1-f17v.23	58	f17v.20:5	MATERIAL	sho	object,before,after,status	f17v.20:5	f17v.7:4	{}	"{""PHYSICAL:thermal"":""hot""}"	{}	"{""PHYSICAL:thermal"":""hot""}"	EXTERNAL_PORTION	ASSUMED_REFERENCE			recorded
P	E|ZL3b|M|f17v|f17v.1-f17v.23	58	f17v.20:5	MATERIAL	sho	object,before,after,status	f17v.20:5	f17v.7:4	{}	"{""PHYSICAL:thermal"":""hot""}"	{}	"{""PHYSICAL:thermal"":""hot""}"	EXTERNAL_PORTION	ASSUMED_REFERENCE			recorded
R	E|ZL3b|M|f17v|f17v.1-f17v.23	58	f17v.20:5	MATERIAL	sho	object,before,after,status	f17v.20:5	f17v.7:4	{}	"{""PHYSICAL:thermal"":""hot""}"	{}	"{""PHYSICAL:thermal"":""hot""}"	EXTERNAL_PORTION	ASSUMED_REFERENCE			recorded
P	E|ZL3b|B|f22v|f22v.6-f22v.16	24	f22v.15:1	MATERIAL	sho	object,status	f22v.15:1		{}	{}	{}	{}	EXTERNAL_PORTION	MISSING_REFERENT			recorded
P	E|ZL3b|B|f22v|f22v.6-f22v.16	26	f22v.15:4	ACTION	qokchy	second_object,status	f22v.8:2	f22v.8:2	{}	{}	{}	{}	NO_STATE_TRANSITION_MODELLED	ARGUMENT_INCOMPLETE			recorded
R	E|ZL3b|B|f22v|f22v.6-f22v.16	24	f22v.15:1	MATERIAL	sho	object,status	f22v.15:1		{}	{}	{}	{}	EXTERNAL_PORTION	MISSING_REFERENT			recorded
R	E|ZL3b|B|f22v|f22v.6-f22v.16	26	f22v.15:4	ACTION	qokchy	second_object,status	f22v.8:2	f22v.8:2	{}	{}	{}	{}	NO_STATE_TRANSITION_MODELLED	ARGUMENT_INCOMPLETE			recorded
P	E|ZL3b|J|f22v|f22v.6-f22v.16	24	f22v.15:1	MATERIAL	sho	object,status	f22v.15:1		{}	{}	{}	{}	EXTERNAL_PORTION	MISSING_REFERENT			recorded
P	E|ZL3b|J|f22v|f22v.6-f22v.16	26	f22v.15:4	ACTION	qokchy	second_object,status	f22v.8:2	f22v.8:2	{}	{}	{}	{}	NO_STATE_TRANSITION_MODELLED	ARGUMENT_INCOMPLETE			recorded
R	E|ZL3b|J|f22v|f22v.6-f22v.16	24	f22v.15:1	MATERIAL	sho	object,status	f22v.15:1		{}	{}	{}	{}	EXTERNAL_PORTION	MISSING_REFERENT			recorded
R	E|ZL3b|J|f22v|f22v.6-f22v.16	26	f22v.15:4	ACTION	qokchy	second_object,status	f22v.8:2	f22v.8:2	{}	{}	{}	{}	NO_STATE_TRANSITION_MODELLED	ARGUMENT_INCOMPLETE			recorded
P	E|ZL3b|M|f22v|f22v.6-f22v.16	24	f22v.15:1	MATERIAL	sho	object,status	f22v.15:1		{}	{}	{}	{}	EXTERNAL_PORTION	MISSING_REFERENT			recorded
P	E|ZL3b|M|f22v|f22v.6-f22v.16	26	f22v.15:4	ACTION	qokchy	second_object,status	f22v.8:2	f22v.8:2	{}	{}	{}	{}	NO_STATE_TRANSITION_MODELLED	ARGUMENT_INCOMPLETE			recorded
R	E|ZL3b|M|f22v|f22v.6-f22v.16	24	f22v.15:1	MATERIAL	sho	object,status	f22v.15:1		{}	{}	{}	{}	EXTERNAL_PORTION	MISSING_REFERENT			recorded
R	E|ZL3b|M|f22v|f22v.6-f22v.16	26	f22v.15:4	ACTION	qokchy	second_object,status	f22v.8:2	f22v.8:2	{}	{}	{}	{}	NO_STATE_TRANSITION_MODELLED	ARGUMENT_INCOMPLETE			recorded
P	E|ZL3b|B|f45v|f45v.5-f45v.11	7	f45v.8:3	MATERIAL	sho	object,status	f45v.8:3		{}	{}	{}	{}	EXTERNAL_PORTION	MISSING_REFERENT			recorded
R	E|ZL3b|B|f45v|f45v.5-f45v.11	7	f45v.8:3	MATERIAL	sho	object,status	f45v.8:3		{}	{}	{}	{}	EXTERNAL_PORTION	MISSING_REFERENT			recorded
P	E|ZL3b|J|f45v|f45v.5-f45v.11	7	f45v.8:3	MATERIAL	sho	object,status	f45v.8:3		{}	{}	{}	{}	EXTERNAL_PORTION	MISSING_REFERENT			recorded
R	E|ZL3b|J|f45v|f45v.5-f45v.11	7	f45v.8:3	MATERIAL	sho	object,status	f45v.8:3		{}	{}	{}	{}	EXTERNAL_PORTION	MISSING_REFERENT			recorded
P	E|ZL3b|M|f45v|f45v.5-f45v.11	7	f45v.8:3	MATERIAL	sho	object,status	f45v.8:3		{}	{}	{}	{}	EXTERNAL_PORTION	MISSING_REFERENT			recorded
R	E|ZL3b|M|f45v|f45v.5-f45v.11	7	f45v.8:3	MATERIAL	sho	object,status	f45v.8:3		{}	{}	{}	{}	EXTERNAL_PORTION	MISSING_REFERENT			recorded
P	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	7	f102v2.33:2	MATERIAL	sho	object,status	f102v2.33:2	f102v2.32:9	{}	{}	{}	{}	EXTERNAL_PORTION	ASSUMED_REFERENCE			recorded
P	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	8	f102v2.33:1	ACTION	qokeor	object,after,status,debts	f102v2.33:2	f102v2.32:9	{}	{}	{}	"{""PHYSICAL:thermal"":""hot""}"	ARGUMENT_INCOMPLETE	ASSUMED_EFFECT_APPLIED			recorded
P	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	30	f102v2.38:7	MATERIAL	sho	object,before,after,status	f102v2.33:2	f102v2.32:9	{}	"{""PHYSICAL:thermal"":""hot""}"	{}	"{""PHYSICAL:thermal"":""hot""}"	SAME_FORM_REMENTION	ASSUMED_REFERENCE			recorded
P	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	31	f102v2.38:4	ACTION	qokeor	object,before,after,status,debts	f102v2.33:2	f102v2.32:9	{}	"{""PHYSICAL:thermal"":""hot""}"	{}	"{""PHYSICAL:thermal"":""hot""}"	ARGUMENT_INCOMPLETE	ASSUMED_EFFECT_APPLIED			recorded
P	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	32	f102v2.38:5	QUALITY	okey	object,before,after,status,state_origin	f102v2.33:2	f102v2.32:9	{}	"{""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""hot""}"	INITIAL_CONSTRAINT	DIFFERENT_NOT_OPPOSED		f102v2.38:4	recorded
P	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	33	f102v2.38:8	ACTION	ykeey	object,before	f102v2.33:2	f102v2.32:9	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED			recorded
R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	7	f102v2.33:2	MATERIAL	sho	object,status	f102v2.33:2	f102v2.32:9	{}	{}	{}	{}	EXTERNAL_PORTION	ASSUMED_REFERENCE			recorded
R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	8	f102v2.33:1	ACTION	qokeor	object,after,status,debts	f102v2.33:2	f102v2.32:9	{}	{}	{}	"{""PHYSICAL:thermal"":""hot""}"	ARGUMENT_INCOMPLETE	ASSUMED_EFFECT_APPLIED			recorded
R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	30	f102v2.38:7	MATERIAL	sho	object,before,after,status	f102v2.33:2	f102v2.35:9	{}	"{""PHYSICAL:thermal"":""warm""}"	{}	"{""PHYSICAL:thermal"":""warm""}"	SAME_FORM_REMENTION	ASSUMED_REFERENCE			recorded
R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	31	f102v2.38:4	ACTION	qokeor	object,before,after	f102v2.33:2	f102v2.35:9	{}	"{""PHYSICAL:thermal"":""warm""}"	{}	"{""PHYSICAL:thermal"":""warm""}"	ARGUMENT_INCOMPLETE	ARGUMENT_INCOMPLETE			recorded
R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	32	f102v2.38:5	QUALITY	okey	object,before,status,state_origin	f102v2.33:2	f102v2.35:9	{}	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	INITIAL_CONSTRAINT	MATCH		f102v2.36:8	recorded
R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	33	f102v2.38:8	ACTION	ykeey	object	f102v2.33:2	f102v2.35:9	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED			recorded
P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	7	f102v2.33:2	MATERIAL	sho	object,status	f102v2.33:2	f102v2.32:9	{}	{}	{}	{}	EXTERNAL_PORTION	ASSUMED_REFERENCE			recorded
P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	8	f102v2.33:1	ACTION	qokeor	object,after,status,debts	f102v2.33:2	f102v2.32:9	{}	{}	{}	"{""PHYSICAL:thermal"":""hot""}"	ARGUMENT_INCOMPLETE	ASSUMED_EFFECT_APPLIED			recorded
P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	30	f102v2.38:7	MATERIAL	sho	object,before,after,status	f102v2.33:2	f102v2.32:9	{}	"{""PHYSICAL:thermal"":""hot""}"	{}	"{""PHYSICAL:thermal"":""hot""}"	SAME_FORM_REMENTION	ASSUMED_REFERENCE			recorded
P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	31	f102v2.38:4	ACTION	qokeor	object,before,after,status,debts	f102v2.33:2	f102v2.32:9	{}	"{""PHYSICAL:thermal"":""hot""}"	{}	"{""PHYSICAL:thermal"":""hot""}"	ARGUMENT_INCOMPLETE	ASSUMED_EFFECT_APPLIED			recorded
P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	32	f102v2.38:5	QUALITY	okey	object,before,after,status,state_origin	f102v2.33:2	f102v2.32:9	{}	"{""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""hot""}"	INITIAL_CONSTRAINT	DIFFERENT_NOT_OPPOSED		f102v2.38:4	recorded
P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	33	f102v2.38:8	ACTION	ykeey	object,before	f102v2.33:2	f102v2.32:9	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED			recorded
R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	7	f102v2.33:2	MATERIAL	sho	object,status	f102v2.33:2	f102v2.32:9	{}	{}	{}	{}	EXTERNAL_PORTION	ASSUMED_REFERENCE			recorded
R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	8	f102v2.33:1	ACTION	qokeor	object,after,status,debts	f102v2.33:2	f102v2.32:9	{}	{}	{}	"{""PHYSICAL:thermal"":""hot""}"	ARGUMENT_INCOMPLETE	ASSUMED_EFFECT_APPLIED			recorded
R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	30	f102v2.38:7	MATERIAL	sho	object,before,after,status	f102v2.33:2	f102v2.35:9	{}	"{""PHYSICAL:thermal"":""warm""}"	{}	"{""PHYSICAL:thermal"":""warm""}"	SAME_FORM_REMENTION	ASSUMED_REFERENCE			recorded
R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	31	f102v2.38:4	ACTION	qokeor	object,before,after	f102v2.33:2	f102v2.35:9	{}	"{""PHYSICAL:thermal"":""warm""}"	{}	"{""PHYSICAL:thermal"":""warm""}"	ARGUMENT_INCOMPLETE	ARGUMENT_INCOMPLETE			recorded
R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	32	f102v2.38:5	QUALITY	okey	object,before,status,state_origin	f102v2.33:2	f102v2.35:9	{}	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	INITIAL_CONSTRAINT	MATCH		f102v2.36:8	recorded
R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	33	f102v2.38:8	ACTION	ykeey	object	f102v2.33:2	f102v2.35:9	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED			recorded
P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	7	f102v2.33:2	MATERIAL	sho	object,status	f102v2.33:2	f102v2.32:9	{}	{}	{}	{}	EXTERNAL_PORTION	ASSUMED_REFERENCE			recorded
P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	8	f102v2.33:1	ACTION	qokeor	object,after,status,debts	f102v2.33:2	f102v2.32:9	{}	{}	{}	"{""PHYSICAL:thermal"":""hot""}"	ARGUMENT_INCOMPLETE	ASSUMED_EFFECT_APPLIED			recorded
P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	30	f102v2.38:7	MATERIAL	sho	object,before,after,status	f102v2.33:2	f102v2.32:9	{}	"{""PHYSICAL:thermal"":""hot""}"	{}	"{""PHYSICAL:thermal"":""hot""}"	SAME_FORM_REMENTION	ASSUMED_REFERENCE			recorded
P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	31	f102v2.38:4	ACTION	qokeor	object,before,after,status,debts	f102v2.33:2	f102v2.32:9	{}	"{""PHYSICAL:thermal"":""hot""}"	{}	"{""PHYSICAL:thermal"":""hot""}"	ARGUMENT_INCOMPLETE	ASSUMED_EFFECT_APPLIED			recorded
P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	32	f102v2.38:5	QUALITY	okey	object,before,after,status,state_origin	f102v2.33:2	f102v2.32:9	{}	"{""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""hot""}"	INITIAL_CONSTRAINT	DIFFERENT_NOT_OPPOSED		f102v2.38:4	recorded
P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	33	f102v2.38:8	ACTION	ykeey	object,before	f102v2.33:2	f102v2.32:9	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED			recorded
R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	7	f102v2.33:2	MATERIAL	sho	object,status	f102v2.33:2	f102v2.32:9	{}	{}	{}	{}	EXTERNAL_PORTION	ASSUMED_REFERENCE			recorded
R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	8	f102v2.33:1	ACTION	qokeor	object,after,status,debts	f102v2.33:2	f102v2.32:9	{}	{}	{}	"{""PHYSICAL:thermal"":""hot""}"	ARGUMENT_INCOMPLETE	ASSUMED_EFFECT_APPLIED			recorded
R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	30	f102v2.38:7	MATERIAL	sho	object,before,after,status	f102v2.33:2	f102v2.35:9	{}	"{""PHYSICAL:thermal"":""warm""}"	{}	"{""PHYSICAL:thermal"":""warm""}"	SAME_FORM_REMENTION	ASSUMED_REFERENCE			recorded
R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	31	f102v2.38:4	ACTION	qokeor	object,before,after	f102v2.33:2	f102v2.35:9	{}	"{""PHYSICAL:thermal"":""warm""}"	{}	"{""PHYSICAL:thermal"":""warm""}"	ARGUMENT_INCOMPLETE	ARGUMENT_INCOMPLETE			recorded
R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	32	f102v2.38:5	QUALITY	okey	object,before,status,state_origin	f102v2.33:2	f102v2.35:9	{}	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	INITIAL_CONSTRAINT	MATCH		f102v2.36:8	recorded
R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	33	f102v2.38:8	ACTION	ykeey	object	f102v2.33:2	f102v2.35:9	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""warm""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED			recorded
