model	world	target	form	object	status	exact_effect_witnesses	prior_hot_actions	before	row_status
E	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
P	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
R	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
E	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
P	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
R	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
E	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
P	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
R	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
E	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
E	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
E	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
P	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
P	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
P	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
R	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
R	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
R	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
E	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
E	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
E	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
P	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
P	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
P	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
R	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
R	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
R	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
E	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
E	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
E	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
P	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
P	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
P	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
R	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
R	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
R	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
E	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
P	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.32:9	ASSUMED_EFFECT_APPLIED	0	2	"{""PHYSICAL:thermal"":""hot""}"	recorded
R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.35:9	ASSUMED_EFFECT_APPLIED	2	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
E	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.32:9	ASSUMED_EFFECT_APPLIED	0	2	"{""PHYSICAL:thermal"":""hot""}"	recorded
R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.35:9	ASSUMED_EFFECT_APPLIED	2	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
E	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.32:9	ASSUMED_EFFECT_APPLIED	0	2	"{""PHYSICAL:thermal"":""hot""}"	recorded
R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.35:9	ASSUMED_EFFECT_APPLIED	2	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
