occurrence_id	fragment_id	clause_id	physical_page	register	action_start_position	action_end_position	action_sequence	instruction_sequence	event_span_sequence	spoken_sequence_de
P928-O0001	P928-F02	P915-C001	f10r	HERBAL	15	17	O>P>CH	P917-I0006|P917-I0006|P917-I0006	P912-E0006..P912-E0006|P912-E0006..P912-E0006|P912-E0006..P912-E0006	ausführen → einsetzen → entnehmen
P928-O0002	P928-F04	P915-C001	f10r	HERBAL	33	35	T>CH>O	P917-I0017|P917-I0018|P917-I0018	P912-E0021..P912-E0021|P912-E0022..P912-E0023|P912-E0022..P912-E0023	einstellen → entnehmen → ausführen
P928-O0003	P928-F04	P915-C001	f10r	HERBAL	45	47	T>CH>O	P917-I0024|P917-I0024|P917-I0025	P912-E0034..P912-E0037|P912-E0034..P912-E0037|P912-E0038..P912-E0038	einstellen → entnehmen → ausführen
P928-O0004	P928-F05	P915-C001	f10r	HERBAL	13	15	O>CH>O	P917-I0005|P917-I0006|P917-I0006	P912-E0005..P912-E0005|P912-E0006..P912-E0006|P912-E0006..P912-E0006	ausführen → entnehmen → ausführen
P928-O0005	P928-F10	P915-C001	f10r	HERBAL	25	27	CH>T>CH	P917-I0011|P917-I0011|P917-I0012	P912-E0011..P912-E0012|P912-E0011..P912-E0012|P912-E0013..P912-E0014	entnehmen → einstellen → entnehmen
P928-O0006	P928-F10	P915-C001	f10r	HERBAL	27	29	CH>T>CH	P917-I0012|P917-I0013|P917-I0013	P912-E0013..P912-E0014|P912-E0015..P912-E0015|P912-E0015..P912-E0015	entnehmen → einstellen → entnehmen
P928-O0007	P928-F10	P915-C001	f10r	HERBAL	44	46	CH>T>CH	P917-I0024|P917-I0024|P917-I0024	P912-E0034..P912-E0037|P912-E0034..P912-E0037|P912-E0034..P912-E0037	entnehmen → einstellen → entnehmen
P928-O0008	P928-F14	P915-C001	f10r	HERBAL	2	4	CH>O>CTH	P917-I0001|P917-I0001|P917-I0001	P912-E0001..P912-E0001|P912-E0001..P912-E0001|P912-E0001..P912-E0001	entnehmen → ausführen → bereitstellen
P928-O0009	P928-F14	P915-C001	f10r	HERBAL	34	36	CH>O>CTH	P917-I0018|P917-I0018|P917-I0018	P912-E0022..P912-E0023|P912-E0022..P912-E0023|P912-E0022..P912-E0023	entnehmen → ausführen → bereitstellen
P928-O0010	P928-F27	P915-C001	f10r	HERBAL	44	47	CH>T>CH>O	P917-I0024|P917-I0024|P917-I0024|P917-I0025	P912-E0034..P912-E0037|P912-E0034..P912-E0037|P912-E0034..P912-E0037|P912-E0038..P912-E0038	entnehmen → einstellen → entnehmen → ausführen
P928-O0011	P928-F05	P915-C002	f10r	HERBAL	32	34	O>CH>O	P917-I0051|P917-I0052|P917-I0052	P912-E0083..P912-E0083|P912-E0084..P912-E0084|P912-E0084..P912-E0084	ausführen → entnehmen → ausführen
P928-O0012	P928-F06	P915-C002	f10r	HERBAL	22	24	CH>K>CH	P917-I0044|P917-I0045|P917-I0046	P912-E0073..P912-E0073|P912-E0074..P912-E0075|P912-E0076..P912-E0077	entnehmen → zugeben → entnehmen
P928-O0013	P928-F09	P915-C002	f10r	HERBAL	16	18	CH>CH>O	P917-I0040|P917-I0041|P917-I0042	P912-E0060..P912-E0063|P912-E0064..P912-E0064|P912-E0065..P912-E0071	entnehmen → entnehmen → ausführen
P928-O0014	P928-F20	P915-C002	f10r	HERBAL	11	13	OK>K>CH	P917-I0036|P917-I0037|P917-I0037	P912-E0052..P912-E0054|P912-E0055..P912-E0056|P912-E0055..P912-E0056	ansetzen → zugeben → entnehmen
P928-O0015	P928-F22	P915-C002	f10r	HERBAL	17	19	CH>O>K	P917-I0041|P917-I0042|P917-I0042	P912-E0064..P912-E0064|P912-E0065..P912-E0071|P912-E0065..P912-E0071	entnehmen → ausführen → zugeben
P928-O0016	P928-F26	P915-C002	f10r	HERBAL	16	19	CH>CH>O>K	P917-I0040|P917-I0041|P917-I0042|P917-I0042	P912-E0060..P912-E0063|P912-E0064..P912-E0064|P912-E0065..P912-E0071|P912-E0065..P912-E0071	entnehmen → entnehmen → ausführen → zugeben
P928-O0017	P928-F04	P915-C003	f11r	HERBAL	9	11	T>CH>O	P917-I0062|P917-I0062|P917-I0062	P912-E0099..P912-E0099|P912-E0099..P912-E0099|P912-E0099..P912-E0099	einstellen → entnehmen → ausführen
P928-O0018	P928-F06	P915-C004	f11r	HERBAL	31	33	CH>K>CH	P917-I0084|P917-I0085|P917-I0085	P912-E0139..P912-E0141|P912-E0142..P912-E0142|P912-E0142..P912-E0142	entnehmen → zugeben → entnehmen
P928-O0019	P928-F09	P915-C004	f11r	HERBAL	18	20	CH>CH>O	P917-I0072|P917-I0073|P917-I0074	P912-E0115..P912-E0115|P912-E0116..P912-E0117|P912-E0118..P912-E0119	entnehmen → entnehmen → ausführen
P928-O0020	P928-F09	P915-C004	f11r	HERBAL	33	35	CH>CH>O	P917-I0085|P917-I0086|P917-I0086	P912-E0142..P912-E0142|P912-E0143..P912-E0144|P912-E0143..P912-E0144	entnehmen → entnehmen → ausführen
P928-O0021	P928-F14	P915-C004	f11r	HERBAL	34	36	CH>O>CTH	P917-I0086|P917-I0086|P917-I0087	P912-E0143..P912-E0144|P912-E0143..P912-E0144|P912-E0145..P912-E0145	entnehmen → ausführen → bereitstellen
P928-O0022	P928-F22	P915-C004	f11r	HERBAL	19	21	CH>O>K	P917-I0073|P917-I0074|P917-I0075	P912-E0116..P912-E0117|P912-E0118..P912-E0119|P912-E0120..P912-E0122	entnehmen → ausführen → zugeben
