fragment_id	steps	action_sequence	spoken_sequence_de	occurrences	clauses	pages	page_list	interpretation
P928-F01	3	OK>OK>OK	ansetzen → ansetzen → ansetzen	9	8	6	f55v|f56r|f75r|f81v|f82r|f88r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F02	3	O>P>CH	ausführen → einsetzen → entnehmen	8	7	5	f10r|f13r|f67r2|f68r1|f82r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F03	3	OK>SH>OK	ansetzen → halten → ansetzen	7	7	5	f67r2|f75r|f82r|f83r|f88r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F04	3	T>CH>O	einstellen → entnehmen → ausführen	6	5	5	f10r|f11r|f56r|f67r2|f88r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F05	3	O>CH>O	ausführen → entnehmen → ausführen	8	7	4	f10r|f67r2|f82r|f88r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F06	3	CH>K>CH	entnehmen → zugeben → entnehmen	7	5	4	f10r|f11r|f56r|f67r2	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F07	3	CH>OK>OK	entnehmen → ansetzen → ansetzen	7	5	4	f13r|f56r|f68r1|f82r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F08	3	OK>OK>K	ansetzen → ansetzen → zugeben	7	6	4	f55v|f56r|f75r|f81v	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F09	3	CH>CH>O	entnehmen → entnehmen → ausführen	6	5	4	f10r|f11r|f68r1|f88r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F10	3	CH>T>CH	entnehmen → einstellen → entnehmen	6	4	4	f10r|f56r|f68r1|f88r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F11	3	K>OK>OK	zugeben → ansetzen → ansetzen	6	6	4	f55v|f56r|f75r|f81v	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F12	3	OK>OK>CH	ansetzen → ansetzen → entnehmen	6	5	4	f13r|f56r|f75r|f81v	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F13	3	OK>SH>K	ansetzen → halten → zugeben	6	6	4	f56r|f82r|f83r|f88r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F14	3	CH>O>CTH	entnehmen → ausführen → bereitstellen	5	4	4	f10r|f11r|f56r|f68r1	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F15	3	CH>O>OK	entnehmen → ausführen → ansetzen	5	5	4	f13r|f67r2|f82r|f88r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F16	3	CHD>OK>OK	umsetzen → ansetzen → ansetzen	5	5	4	f55v|f75r|f82r|f83r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F17	3	O>OK>O	ausführen → ansetzen → ausführen	5	5	4	f13r|f55v|f67r2|f88r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F18	3	O>SH>OK	ausführen → halten → ansetzen	5	4	4	f75r|f82r|f83r|f88r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F19	3	OK>CH>O	ansetzen → entnehmen → ausführen	5	5	4	f13r|f56r|f68r1|f88r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F20	3	OK>K>CH	ansetzen → zugeben → entnehmen	5	4	4	f10r|f56r|f81v|f88r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F21	3	SH>K>CHD	halten → zugeben → umsetzen	5	5	4	f75r|f81v|f82r|f83r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F22	3	CH>O>K	entnehmen → ausführen → zugeben	4	4	4	f10r|f11r|f68r1|f88r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F23	3	K>OK>CH	zugeben → ansetzen → entnehmen	4	4	4	f13r|f55v|f81v|f88r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F24	3	K>S>OK	zugeben → auswählen → ansetzen	4	4	4	f13r|f55v|f81v|f82r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F25	4	SH>OK>SH>OK	halten → ansetzen → halten → ansetzen	4	4	3	f75r|f82r|f83r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F26	4	CH>CH>O>K	entnehmen → entnehmen → ausführen → zugeben	3	3	3	f10r|f11r|f68r1	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F27	4	CH>T>CH>O	entnehmen → einstellen → entnehmen → ausführen	3	3	3	f10r|f56r|f88r	RECOMBINABLE_WORKSHOP_FRAGMENT
P928-F28	4	K>OK>OK>OK	zugeben → ansetzen → ansetzen → ansetzen	3	3	3	f55v|f56r|f81v	RECOMBINABLE_WORKSHOP_FRAGMENT
