visible_surface	master_card_id	master_form	renderer_gesture	family_class	semantic_atoms	short_default_de
chdal	MC001	chdal	ZERO	SINGLE_REGISTERED_FORM	CHD+AL	umsetzen+Ziel
okeey	MC002	okeey	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+EE+Y	ansetzen+länger+Posten
qokeey	MC002	okeey	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+EE+Y	ansetzen+länger+Posten
sheedy	MC003	sheedy	ZERO	SINGLE_REGISTERED_FORM	SHED+EE+CLOSE	absetzen+länger+Schluss
ldy	MC004	ldy	ZERO	SINGLE_REGISTERED_FORM	L+CLOSE	abführen+Schluss
okchedy	MC005	okchedy	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+CHD+CLOSE	ansetzen+umsetzen+Schluss
qokchedy	MC005	okchedy	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+CHD+CLOSE	ansetzen+umsetzen+Schluss
chokcheo	MC006	chokcheo	ZERO	SINGLE_REGISTERED_FORM	OK+CHEO	ansetzen+Auszug
okey	MC007	okey	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+E+Y	ansetzen+kurz+Posten
qokey	MC007	okey	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+E+Y	ansetzen+kurz+Posten
lchy	MC008	lchy	ZERO	SINGLE_REGISTERED_FORM	L+Y	abführen+Posten
chary	MC009	chary	ZERO	SINGLE_REGISTERED_FORM	AR+Y	Quelle+Posten
chodaly	MC010	chodaly	ZERO	SINGLE_REGISTERED_FORM	HO+AL+Y	Zutat+Ziel+Posten
lchedar	MC011	lchedar	ZERO	SINGLE_REGISTERED_FORM	L+CHD+AR	abführen+umsetzen+Quelle
dl	MC012	dl	ZERO	SINGLE_REGISTERED_FORM	LOCAL_WHOLE	Zusatz
otchor	MC013	otchor	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OT+OR	danach+Ansatz
qotchor	MC013	otchor	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OT+OR	danach+Ansatz
chair	MC014	chair	ZERO	SINGLE_REGISTERED_FORM	AIR	Lauf
qokokchy	MC015	qokokchy	ZERO	SINGLE_REGISTERED_FORM	OK+OK+Y	ansetzen+ansetzen+Posten
rol	MC016	rol	ZERO	SINGLE_REGISTERED_FORM	OL	weiter
okain	MC017	okain	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+AIN	ansetzen+Anteil
qokain	MC017	okain	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+AIN	ansetzen+Anteil
qotedaiin	MC018	qotedaiin	ZERO	SINGLE_REGISTERED_FORM	OT+E+AIIN	danach+kurz+Sollmaß
oldy	MC019	oldy	ZERO	SINGLE_REGISTERED_FORM	OL+CLOSE	weiter+Schluss
solkeey	MC020	solkeey	ZERO	SINGLE_REGISTERED_FORM	SOLK+EE+Y	sammeln+länger+Posten
oltchy	MC021	oltchy	ZERO	SINGLE_REGISTERED_FORM	OL+CTH+Y	weiter+bereit+Posten
chckhal	MC022	chckhal	ZERO	SINGLE_REGISTERED_FORM	CKH+AL	Durchlass+Ziel
kair	MC023	kair	ZERO	SINGLE_REGISTERED_FORM	AIR	Lauf
qokol	MC024	qokol	ZERO	SINGLE_REGISTERED_FORM	OK+OL	ansetzen+weiter
dchedy	MC025	dchedy	D_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHD+CLOSE	umsetzen+Schluss
schedy	MC025	dchedy	S_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHD+CLOSE	umsetzen+Schluss
tchedy	MC025	dchedy	T_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHD+CLOSE	umsetzen+Schluss
choky	MC026	choky	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+Y	ansetzen+Posten
oky	MC026	choky	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+Y	ansetzen+Posten
qoky	MC026	choky	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+Y	ansetzen+Posten
oykchor	MC027	oykchor	ZERO	SINGLE_REGISTERED_FORM	Y+KCH+OR	Posten+bearbeiten+Ansatz
olchedy	MC028	olchedy	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OL+CHD+CLOSE	weiter+umsetzen+Schluss
qolchedy	MC028	olchedy	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL+CHD+CLOSE	weiter+umsetzen+Schluss
lar	MC029	lar	ZERO	SINGLE_REGISTERED_FORM	L+AR	abführen+Quelle
lo	MC030	lo	ZERO	SINGLE_REGISTERED_FORM	L	abführen
dalchdy	MC031	dalchdy	ZERO	SINGLE_REGISTERED_FORM	AL+CHD+CLOSE	Ziel+umsetzen+Schluss
cheeky	MC032	cheeky	ZERO	SINGLE_REGISTERED_FORM	CHK+EE+Y	wärmen+länger+Posten
oiiin	MC033	oiiin	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	IIN	Stufe
soiiin	MC033	oiiin	S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	IIN	Stufe
cho	MC034	cho	OTHER_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	HO	Zutat
sho	MC034	cho	S_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	HO	Zutat
chckhy	MC035	chckhy	OTHER_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CKH+Y	Durchlass+Posten
shckhy	MC035	chckhy	S_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CKH+Y	Durchlass+Posten
solkaiin	MC036	solkaiin	ZERO	SINGLE_REGISTERED_FORM	SOLK+AIIN	sammeln+Sollmaß
tchody	MC037	tchody	ZERO	SINGLE_REGISTERED_FORM	HO+CLOSE	Zutat+Schluss
lshedy	MC038	lshedy	ZERO	SINGLE_REGISTERED_FORM	WASH+CLOSE	waschen+Schluss
aiin	MC039	aiin	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	AIIN	Sollmaß
chaiin	MC039	aiin	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AIIN	Sollmaß
daiin	MC039	aiin	D_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AIIN	Sollmaß
saiin	MC039	aiin	S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AIIN	Sollmaß
taiin	MC039	aiin	T_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AIIN	Sollmaß
