statement_order	statement_id	record_unit_id	page	visible_surface_sequence	semantic_atom_program	owner_expanded_literal_statement_de	selected_content_layer	current_reading_de
1	H1-S001	H1	f10r	dchey cthoor char chty os chair otytchol oky daiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	Vorgang=bereithalten; Posten=Wurzel+Posten+Ansatz; Quelle=gesetzt; Zustand=bereit. Vorgang=teilen; Posten=Teil+Gefäß. Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Teil; Lauf=gesetzt. Vorgang=ansetzen; Posten=Posten+Teil; Wert=Sollmaß; Grad=kurz.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
2	H1-S002	H1	f10r	qokchy qotchol chol cthy	OK+Y | OT+OL | OL | CTH+Y	Vorgang=ansetzen; Posten=Posten. Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=bereithalten; Posten=Posten; Zustand=bereit.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
3	H2-S001	H2	f10r	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	Vorgang=bereithalten; Posten=Posten+Auszug+Ansatz; Zustand=bereit. Vorgang=bereithalten; Posten=Ansatz; Wert=Sollmaß; Zustand=bereit. Vorgang=bereithalten→weiterführen; Reihenfolge=weiter; Posten=Posten; Wert=Sollmaß; Zustand=bereit.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
4	H2-S002	H2	f10r	qotchor chor otol chol cholor chol daiin dar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Ansatz. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=weiterführen; Reihenfolge=weiter; Posten=Ansatz. Vorgang=weiterführen; Reihenfolge=weiter; Quelle=gesetzt; Wert=Sollmaß.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
5	H2-S003	H2	f10r	oykchor shor chor chy kaiiin dy chodaiin	Y+KCH+OR | OR | OR | Y | IIN | Y | HO+AIIN	Vorgang=bearbeiten→zugeben; Posten=Posten+Ansatz+Zutat; Wert=Stufe+Sollmaß.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
6	H3-S001	H3	f11r	tshol schoal cfhy shfydaiin cphy shey tchody	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	Vorgang=zugeben→abführen; Posten=Zutat. Vorgang=zugeben→auswringen; Posten=Zutat+Posten; Ziel=gesetzt. Vorgang=halten; Wert=Sollmaß. Vorgang=nachseihen→zugeben; Posten=Posten+Ergebnis+Zutat; Zustand=Ergebnis; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
7	H3-S002	H3	f11r	shoyty	HO+Y+TY	Vorgang=zugeben; Posten=Zutat+Posten+Teil.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.
8	H3-S003	H3	f11r	dchol chy kchy dy daiin	DCHOL | Y | KCH+Y | Y | AIIN	Vorgang=bearbeiten; Reihenfolge=vorher; Posten=Vorposten+Posten; Wert=Sollmaß.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
9	H3-S004	H3	f11r	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	Vorgang=folgen→ansetzen→weiterführen; Reihenfolge=danach+weiter; Posten=Posten. Vorgang=bereithalten; Posten=Posten; Zustand=bereit.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
10	H4-S001	H4	f55v	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+AIN | Y+AIN | ODY	Vorgang=ansetzen; Posten=Posten; Wert=Sollmaß+Anteil. Vorgang=kühlen; Posten=Posten; Wert=Anteil.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
